,QUARTER,TIME_REMAINING,PORTLAND_ACTION,SAN ANTONIO_ACTION,PORTLAND_SCORE,SAN ANTONIO_SCORE
0,1,11:43.0,,K. Leonard misses 3-pt jump shot from 24 ft,0,0
1,1,11:42.0,Defensive rebound by L. Aldridge,,0,0
2,1,11:29.0,W. Matthews makes 2-pt jump shot from 13 ft (assist by N. Batum),,2,0
3,1,11:13.0,,T. Duncan misses 2-pt jump shot from 5 ft,2,0
4,1,11:12.0,Defensive rebound by W. Matthews,,2,0
5,1,11:05.0,Turnover by W. Matthews (bad pass; steal by K. Leonard),,2,0
6,1,11:00.0,,K. Leonard makes 2-pt layup from 1 ft (assist by T. Splitter),2,2
7,1,10:39.0,L. Aldridge misses 2-pt layup from 2 ft,,2,2
8,1,10:37.0,,Defensive rebound by T. Duncan,2,2
9,1,10:29.0,,Personal foul by D. Lillard (drawn by D. Green),2,2
10,1,10:24.0,,T. Parker makes 2-pt jump shot from 13 ft,2,4
11,1,10:11.0,Turnover by N. Batum (lost ball; steal by D. Green),,2,4
12,1,10:07.0,,D. Green misses 2-pt layup from 1 ft (block by N. Batum),2,4
13,1,10:07.0,,Offensive rebound by Team,2,4
14,1,10:05.0,,K. Leonard makes 2-pt jump shot from 13 ft (assist by T. Splitter),2,6
15,1,9:49.0,,Violation by T. Duncan (kicked ball),2,6
16,1,9:34.0,L. Aldridge makes 2-pt layup from 1 ft (assist by C. Kaman),,4,6
17,1,9:16.0,,T. Parker makes 2-pt layup from 2 ft (assist by K. Leonard),4,8
18,1,8:55.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. Lillard),,6,8
19,1,8:39.0,,Shooting foul by C. Kaman (drawn by T. Duncan),6,8
20,1,8:39.0,,T. Duncan makes free throw 1 of 2,6,9
21,1,8:39.0,,T. Duncan makes free throw 2 of 2,6,10
22,1,8:25.0,D. Lillard makes 2-pt jump shot from 14 ft (assist by L. Aldridge),,8,10
23,1,8:14.0,,T. Parker misses 2-pt jump shot from 16 ft,8,10
24,1,8:13.0,Defensive rebound by N. Batum,,8,10
25,1,7:53.0,L. Aldridge misses 2-pt jump shot from 11 ft,,8,10
26,1,7:52.0,,Defensive rebound by D. Green,8,10
