,QUARTER,TIME_REMAINING,TORONTO_ACTION,SAN ANTONIO_ACTION,TORONTO_SCORE,SAN ANTONIO_SCORE
0,1,11:43.0,,T. Duncan misses 2-pt layup from 2 ft (block by J. Valančiūnas),0,0
1,1,11:41.0,,Offensive rebound by T. Duncan,0,0
2,1,11:41.0,,T. Duncan makes 2-pt layup from 1 ft,0,2
3,1,11:25.0,Personal foul by D. Green (drawn by D. DeRozan),,0,2
4,1,11:25.0,D. DeRozan makes free throw 1 of 2,,1,2
5,1,11:25.0,,M. Belinelli enters the game for D. Green,1,2
6,1,11:25.0,D. DeRozan misses free throw 2 of 2,,1,2
7,1,11:23.0,,Defensive rebound by Team,1,2
8,1,11:05.0,,K. Leonard misses 2-pt jump shot from 18 ft,1,2
9,1,11:04.0,Defensive rebound by J. Valančiūnas,,1,2
10,1,10:54.0,Personal foul by M. Belinelli (drawn by D. DeRozan),,1,2
11,1,10:54.0,,C. Joseph enters the game for M. Belinelli,1,2
12,1,10:47.0,D. DeRozan misses 2-pt jump shot from 20 ft,,1,2
13,1,10:47.0,,Defensive rebound by T. Duncan,1,2
14,1,10:38.0,,T. Parker makes 2-pt jump shot from 13 ft,1,4
15,1,10:28.0,K. Lowry makes 2-pt jump shot from 15 ft,,3,4
16,1,10:09.0,,T. Splitter misses 2-pt layup from 2 ft (block by T. Ross),3,4
17,1,10:08.0,,Offensive rebound by K. Leonard,3,4
18,1,10:07.0,,K. Leonard misses 2-pt layup from 2 ft,3,4
19,1,10:07.0,Defensive rebound by Team,,3,4
20,1,9:52.0,T. Ross makes 2-pt jump shot from 19 ft,,5,4
21,1,9:33.0,,T. Duncan misses 2-pt jump shot from 19 ft,5,4
22,1,9:32.0,Defensive rebound by D. DeRozan,,5,4
23,1,9:18.0,J. Valančiūnas makes 2-pt jump shot from 7 ft,,7,4
24,1,9:05.0,,K. Leonard misses 2-pt layup from 1 ft,7,4
25,1,9:04.0,,Offensive rebound by K. Leonard,7,4
26,1,9:03.0,,K. Leonard misses 2-pt layup from 1 ft,7,4
27,1,9:02.0,Defensive rebound by J. Valančiūnas,,7,4
28,1,9:02.0,Personal foul by K. Leonard (drawn by J. Valančiūnas),,7,4
29,1,8:46.0,Turnover by J. Valančiūnas (lost ball; steal by K. Leonard),,7,4
30,1,8:41.0,,C. Joseph misses 2-pt layup at rim,7,4
31,1,8:40.0,,Offensive rebound by K. Leonard,7,4
32,1,8:39.0,,Personal foul by A. Johnson (drawn by K. Leonard),7,4
