,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,NEW YORK_ACTION,WASHINGTON_SCORE,NEW YORK_SCORE
0,1,11:40.0,,Turnover by A. Stoudemire (lost ball; steal by N. Hilário),0,0
1,1,11:18.0,J. Wall makes 2-pt jump shot from 18 ft (assist by N. Hilário),,2,0
2,1,11:01.0,,S. Larkin makes 2-pt layup from 2 ft (assist by S. Dalembert),2,2
3,1,10:45.0,J. Wall makes 2-pt layup from 2 ft (assist by G. Temple),,4,2
4,1,10:22.0,,Offensive foul by C. Anthony (drawn by P. Pierce),4,2
5,1,10:22.0,,Turnover by C. Anthony (offensive foul),4,2
6,1,10:06.0,P. Pierce misses 2-pt jump shot from 15 ft,,4,2
7,1,10:05.0,,Defensive rebound by A. Stoudemire,4,2
8,1,9:50.0,,C. Anthony makes 2-pt jump shot from 22 ft (assist by A. Stoudemire),4,4
9,1,9:34.0,Turnover by N. Hilário (traveling),,4,4
10,1,9:14.0,,S. Dalembert misses 2-pt jump shot from 11 ft,4,4
11,1,9:13.0,Defensive rebound by P. Pierce,,4,4
12,1,9:05.0,Turnover by J. Wall (bad pass),,4,4
13,1,8:49.0,,Personal foul by G. Temple (drawn by I. Shumpert),4,4
14,1,8:46.0,,Turnover by C. Anthony (bad pass; steal by G. Temple),4,4
15,1,8:42.0,G. Temple misses 2-pt layup at rim,,4,4
16,1,8:40.0,Offensive rebound by N. Hilário,,4,4
17,1,8:35.0,Personal foul by A. Stoudemire (drawn by N. Hilário),,4,4
18,1,8:28.0,J. Wall misses 2-pt jump shot from 17 ft,,4,4
19,1,8:26.0,,Defensive rebound by I. Shumpert,4,4
20,1,8:09.0,,C. Anthony misses 2-pt jump shot from 20 ft,4,4
21,1,8:08.0,,Offensive rebound by Team,4,4
22,1,8:08.0,Loose ball foul by N. Hilário (drawn by S. Dalembert),,4,4
23,1,8:01.0,,S. Dalembert misses 2-pt jump shot from 7 ft,4,4
24,1,8:00.0,,Offensive rebound by C. Anthony,4,4
25,1,8:00.0,,C. Anthony misses 2-pt tip-in from 2 ft,4,4
26,1,7:59.0,Defensive rebound by P. Pierce,,4,4
27,1,7:49.0,Turnover by G. Temple (bad pass; steal by C. Anthony),,4,4
28,1,7:30.0,,C. Anthony misses 2-pt jump shot from 18 ft,4,4
29,1,7:28.0,Defensive rebound by N. Hilário,,4,4
30,1,7:18.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,6,4
31,1,7:12.0,,New York full timeout,6,4
32,1,6:58.0,,C. Anthony makes 2-pt jump shot from 18 ft (assist by S. Dalembert),6,6
33,1,6:36.0,N. Hilário misses 2-pt layup from 2 ft,,6,6
34,1,6:35.0,,Defensive rebound by Team,6,6
35,1,6:18.0,,I. Shumpert makes 2-pt layup from 1 ft,6,8
36,1,6:05.0,G. Temple misses 3-pt jump shot from 25 ft,,6,8
37,1,6:04.0,,Defensive rebound by A. Stoudemire,6,8
38,1,6:00.0,,Turnover by C. Anthony (bad pass),6,8
39,1,5:48.0,P. Pierce misses 2-pt jump shot from 15 ft,,6,8
40,1,5:47.0,,Defensive rebound by S. Dalembert,6,8
41,1,5:36.0,,Turnover by S. Larkin (bad pass; steal by N. Hilário),6,8
42,1,5:31.0,J. Wall misses 2-pt layup at rim,,6,8
43,1,5:30.0,,Defensive rebound by S. Larkin,6,8
44,1,5:24.0,,I. Shumpert makes 3-pt jump shot from 24 ft (assist by S. Larkin),6,11
45,1,5:10.0,Personal foul by A. Stoudemire (drawn by N. Hilário),,6,11
46,1,5:10.0,,J. Smith enters the game for A. Stoudemire,6,11
47,1,5:10.0,D. Gooden enters the game for N. Hilário,,6,11
48,1,5:06.0,,Violation by S. Dalembert (kicked ball),6,11
49,1,4:58.0,P. Pierce makes 2-pt layup from 2 ft,,8,11
50,1,4:44.0,,Turnover by S. Dalembert (bad pass; steal by J. Wall),8,11
51,1,4:36.0,D. Gooden makes 2-pt jump shot from 15 ft (assist by J. Wall),,10,11
52,1,4:18.0,,Turnover by S. Dalembert (bad pass),10,11
53,1,4:18.0,,C. Aldrich enters the game for S. Dalembert,10,11
54,1,4:18.0,O. Porter enters the game for P. Pierce,,10,11
55,1,4:18.0,Violation by Team (delay of game),,10,11
