,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BROOKLYN_ACTION,CLEVELAND_SCORE,BROOKLYN_SCORE
0,1,11:47.0,,Personal foul by S. Marion (drawn by K. Garnett),0,0
1,1,11:41.0,,M. Teletović makes 3-pt jump shot from 25 ft (assist by D. Williams),0,3
2,1,11:23.0,K. Love makes 2-pt jump shot from 15 ft (assist by L. James),,2,3
3,1,11:07.0,,B. Bogdanović makes 2-pt jump shot from 7 ft (assist by M. Teletović),2,5
4,1,10:51.0,K. Love makes 2-pt jump shot from 19 ft,,4,5
5,1,10:40.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,4,5
6,1,10:38.0,,Offensive rebound by B. Bogdanović,4,5
7,1,10:29.0,,D. Williams makes 2-pt layup from 1 ft,4,7
8,1,10:23.0,K. Irving misses 2-pt layup from 1 ft,,4,7
9,1,10:22.0,,Defensive rebound by M. Teletović,4,7
10,1,10:15.0,,D. Williams makes 3-pt jump shot from 24 ft (assist by M. Teletović),4,10
11,1,9:48.0,L. James makes 3-pt jump shot from 25 ft,,7,10
12,1,9:37.0,,M. Teletović misses 3-pt jump shot from 27 ft,7,10
13,1,9:36.0,Defensive rebound by S. Marion,,7,10
14,1,9:25.0,K. Love misses 2-pt hook shot from 12 ft,,7,10
15,1,9:23.0,,Defensive rebound by K. Garnett,7,10
16,1,9:15.0,,M. Teletović makes 2-pt layup from 3 ft (assist by D. Williams),7,12
17,1,8:53.0,S. Marion misses 2-pt jump shot from 9 ft,,7,12
18,1,8:52.0,,Defensive rebound by K. Garnett,7,12
19,1,8:42.0,,D. Williams misses 2-pt layup from 2 ft,7,12
20,1,8:41.0,Defensive rebound by A. Varejão,,7,12
21,1,8:18.0,K. Irving misses 3-pt jump shot from 24 ft,,7,12
22,1,8:17.0,Offensive rebound by Team,,7,12
23,1,8:03.0,A. Varejão misses 2-pt layup at rim,,7,12
24,1,8:03.0,Offensive rebound by A. Varejão,,7,12
25,1,7:59.0,S. Marion misses 3-pt jump shot from 22 ft,,7,12
26,1,7:58.0,,Defensive rebound by A. Anderson,7,12
27,1,7:53.0,,A. Anderson makes 2-pt layup from 1 ft,7,14
28,1,7:45.0,Cleveland full timeout,,7,14
29,1,7:28.0,L. James misses 2-pt jump shot from 17 ft,,7,14
30,1,7:27.0,Offensive rebound by A. Varejão,,7,14
31,1,7:18.0,L. James misses 3-pt jump shot from 24 ft,,7,14
32,1,7:17.0,Offensive rebound by Team,,7,14
33,1,7:15.0,Turnover by S. Marion (bad pass; steal by B. Bogdanović),,7,14
34,1,7:09.0,,Turnover by D. Williams (bad pass; steal by S. Marion),7,14
35,1,7:02.0,Turnover by L. James (lost ball),,7,14
36,1,6:56.0,,A. Anderson misses 3-pt jump shot from 23 ft,7,14
37,1,6:55.0,Defensive rebound by K. Love,,7,14
38,1,6:44.0,K. Irving misses 2-pt jump shot from 13 ft,,7,14
39,1,6:43.0,Offensive rebound by K. Love,,7,14
40,1,6:25.0,L. James misses 2-pt jump shot from 19 ft,,7,14
41,1,6:24.0,,Defensive rebound by K. Garnett,7,14
