,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,LA CLIPPERS_ACTION,SACRAMENTO_SCORE,LA CLIPPERS_SCORE
0,1,11:42.0,,Turnover by M. Barnes (bad pass; steal by B. McLemore),0,0
1,1,11:33.0,D. Collison misses 2-pt layup from 2 ft,,0,0
2,1,11:31.0,,Defensive rebound by B. Griffin,0,0
3,1,11:24.0,,M. Barnes makes 3-pt jump shot from 25 ft (assist by C. Paul),0,3
4,1,11:13.0,Personal foul by D. Jordan (drawn by D. Cousins),,0,3
5,1,11:09.0,D. Cousins makes 2-pt jump shot from 15 ft (assist by R. Gay),,2,3
6,1,10:58.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Griffin),2,6
7,1,10:42.0,J. Thompson misses 2-pt jump shot from 12 ft,,2,6
8,1,10:41.0,,Defensive rebound by D. Jordan,2,6
9,1,10:36.0,,Personal foul by J. Thompson (drawn by B. Griffin),2,6
10,1,10:25.0,,B. Griffin misses 2-pt jump shot from 19 ft,2,6
11,1,10:24.0,Defensive rebound by D. Cousins,,2,6
12,1,10:14.0,D. Cousins makes 2-pt jump shot from 18 ft (assist by D. Collison),,4,6
13,1,9:58.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),4,9
14,1,9:42.0,B. McLemore misses 2-pt jump shot from 8 ft,,4,9
15,1,9:41.0,Offensive rebound by Team,,4,9
16,1,9:37.0,Offensive foul by D. Cousins (drawn by M. Barnes),,4,9
17,1,9:37.0,Turnover by D. Cousins (offensive foul),,4,9
18,1,9:29.0,,J. Redick misses 3-pt jump shot from 25 ft,4,9
19,1,9:28.0,Defensive rebound by D. Cousins,,4,9
20,1,9:18.0,R. Gay misses 2-pt jump shot from 8 ft,,4,9
21,1,9:17.0,,Defensive rebound by D. Jordan,4,9
22,1,9:07.0,,B. Griffin misses 2-pt jump shot from 17 ft,4,9
23,1,9:04.0,Defensive rebound by R. Gay,,4,9
24,1,8:54.0,Turnover by R. Gay (lost ball),,4,9
25,1,8:31.0,,M. Barnes misses 3-pt jump shot from 23 ft,4,9
26,1,8:30.0,Defensive rebound by J. Thompson,,4,9
27,1,8:09.0,B. McLemore misses 3-pt jump shot from 26 ft,,4,9
28,1,8:08.0,Offensive rebound by D. Cousins,,4,9
29,1,8:07.0,D. Cousins makes 2-pt layup at rim,,6,9
30,1,7:54.0,Violation by J. Thompson (kicked ball),,6,9
31,1,7:45.0,,C. Paul makes 2-pt jump shot from 19 ft,6,11
32,1,7:25.0,D. Collison misses 2-pt jump shot from 19 ft,,6,11
33,1,7:24.0,,Defensive rebound by D. Jordan,6,11
34,1,7:07.0,,B. Griffin makes 2-pt jump shot from 8 ft,6,13
35,1,6:51.0,D. Cousins misses 2-pt jump shot from 20 ft (block by D. Jordan),,6,13
36,1,6:49.0,Offensive rebound by D. Cousins,,6,13
37,1,6:44.0,D. Cousins makes 2-pt jump shot from 19 ft (assist by D. Collison),,8,13
38,1,6:29.0,,C. Paul misses 2-pt jump shot from 7 ft (block by D. Collison),8,13
39,1,6:27.0,Defensive rebound by Team,,8,13
40,1,6:15.0,D. Cousins misses 2-pt jump shot from 19 ft,,8,13
41,1,6:14.0,,Defensive rebound by J. Redick,8,13
42,1,6:12.0,,B. Griffin misses flagrant free throw 1 of 2,8,13
43,1,6:12.0,,Offensive rebound by Team,8,13
44,1,6:12.0,,B. Griffin misses flagrant free throw 2 of 2,8,13
45,1,6:12.0,,Offensive rebound by Team,8,13
46,1,6:03.0,,J. Redick misses 3-pt jump shot from 24 ft,8,13
47,1,6:01.0,,Offensive rebound by D. Jordan,8,13
48,1,6:01.0,,D. Jordan misses 2-pt tip-in at rim,8,13
49,1,5:58.0,Defensive rebound by D. Cousins,,8,13
50,1,5:44.0,Def 3 sec tech foul by D. Jordan,,8,13
51,1,5:44.0,,LA Clippers full timeout,8,13
52,1,5:44.0,D. Collison makes technical free throw,,9,13
53,1,5:34.0,D. Cousins makes 2-pt jump shot from 16 ft (assist by R. Gay),,11,13
54,1,5:09.0,,J. Redick misses 2-pt jump shot from 9 ft (block by R. Gay),11,13
55,1,5:08.0,Defensive rebound by B. McLemore,,11,13
56,1,5:03.0,D. Collison makes 2-pt jump shot from 16 ft,,13,13
57,1,4:53.0,,Personal foul by B. McLemore (drawn by J. Redick),13,13
58,1,4:40.0,,B. Griffin misses 2-pt jump shot from 20 ft,13,13
59,1,4:39.0,Defensive rebound by D. Cousins,,13,13
60,1,4:33.0,Personal foul by C. Paul (drawn by D. Collison),,13,13
61,1,4:33.0,N. Stauskas enters the game for B. McLemore,,13,13
62,1,4:24.0,R. Gay makes 2-pt jump shot from 9 ft,,15,13
63,1,4:23.0,Violation by Team (delay of game),,15,13
64,1,4:11.0,,J. Redick misses 3-pt jump shot from 23 ft,15,13
65,1,4:10.0,,Offensive rebound by D. Jordan,15,13
66,1,4:09.0,,D. Jordan misses 2-pt layup from 1 ft (block by D. Cousins),15,13
67,1,4:08.0,,Offensive rebound by Team,15,13
68,1,4:08.0,,J. Farmar enters the game for J. Redick,15,13
69,1,3:50.0,,B. Griffin misses 2-pt jump shot from 4 ft (block by D. Cousins),15,13
70,1,3:50.0,,Offensive rebound by Team,15,13
71,1,3:47.0,,B. Griffin misses 3-pt jump shot from 24 ft,15,13
72,1,3:46.0,Defensive rebound by D. Collison,,15,13
73,1,3:34.0,R. Gay makes 2-pt jump shot from 13 ft (assist by D. Cousins),,17,13
74,1,3:20.0,,M. Barnes misses 2-pt layup from 1 ft,17,13
75,1,3:19.0,Defensive rebound by J. Thompson,,17,13
76,1,3:10.0,Shooting foul by M. Barnes (drawn by R. Gay),,17,13
77,1,3:10.0,R. Gay makes free throw 1 of 2,,18,13
78,1,3:10.0,,C. Douglas-Roberts enters the game for M. Barnes,18,13
79,1,3:10.0,,S. Hawes enters the game for D. Jordan,18,13
80,1,3:10.0,R. Gay makes free throw 2 of 2,,19,13
81,1,2:59.0,,J. Farmar misses 3-pt jump shot from 25 ft,19,13
82,1,2:58.0,Defensive rebound by R. Gay,,19,13
83,1,2:50.0,J. Thompson makes 2-pt dunk at rim (assist by D. Cousins),,21,13
84,1,2:25.0,,B. Griffin makes 2-pt layup from 1 ft (assist by J. Farmar),21,15
85,1,2:07.0,R. Gay makes 2-pt jump shot from 10 ft (assist by J. Thompson),,23,15
86,1,1:56.0,,S. Hawes makes 2-pt hook shot from 7 ft (assist by C. Paul),23,17
87,1,1:35.0,R. Gay makes 2-pt jump shot from 7 ft,,25,17
88,1,1:35.0,Shooting foul by S. Hawes (drawn by R. Gay),,25,17
89,1,1:35.0,Sacramento full timeout,,25,17
90,1,1:35.0,R. Evans enters the game for D. Cousins,,25,17
91,1,1:35.0,R. Gay misses free throw 1 of 1,,25,17
92,1,1:34.0,,Defensive rebound by B. Griffin,25,17
93,1,1:17.0,,B. Griffin misses 2-pt jump shot from 18 ft,25,17
94,1,1:16.0,Defensive rebound by J. Thompson,,25,17
95,1,0:55.0,Turnover by J. Thompson (bad pass; steal by C. Paul),,25,17
96,1,0:49.0,,B. Griffin misses 2-pt hook shot from 5 ft,25,17
97,1,0:48.0,,Offensive rebound by B. Griffin,25,17
98,1,0:47.0,,B. Griffin misses 2-pt layup from 1 ft (block by J. Thompson),25,17
99,1,0:47.0,,Offensive rebound by Team,25,17
100,1,0:41.0,,B. Griffin makes 2-pt layup from 2 ft,25,19
101,1,0:41.0,,Violation by Team (delay of game),25,19
102,1,0:29.0,D. Collison misses 2-pt jump shot from 14 ft,,25,19
103,1,0:26.0,,Defensive rebound by J. Farmar,25,19
104,1,0:22.0,,C. Douglas-Roberts misses 2-pt layup from 2 ft (block by J. Thompson),25,19
105,1,0:19.0,,Offensive rebound by B. Griffin,25,19
106,1,0:17.0,,B. Griffin misses 2-pt layup at rim (block by N. Stauskas),25,19
107,1,0:17.0,,Offensive rebound by Team,25,19
108,1,0:17.0,Loose ball foul by R. Evans (drawn by B. Griffin),,25,19
109,1,0:17.0,,J. Cunningham enters the game for C. Paul,25,19
110,1,0:01.0,,B. Griffin misses 2-pt jump shot from 20 ft,25,19
111,1,0:00.0,Defensive rebound by R. Gay,,25,19
112,2,11:43.0,N. Stauskas makes 3-pt jump shot from 25 ft (assist by C. Landry),,28,19
113,2,11:28.0,,Personal foul by R. Sessions (drawn by J. Farmar),28,19
114,2,11:12.0,,J. Farmar makes 3-pt jump shot from 29 ft (assist by J. Cunningham),28,22
115,2,10:48.0,C. Landry misses 2-pt jump shot from 19 ft,,28,22
116,2,10:47.0,,Defensive rebound by C. Douglas-Roberts,28,22
117,2,10:33.0,,H. Türkoğlu makes 3-pt jump shot from 23 ft (assist by S. Hawes),28,25
118,2,10:17.0,Personal foul by C. Douglas-Roberts (drawn by O. Casspi),,28,25
119,2,10:08.0,O. Casspi makes 2-pt layup from 2 ft,,30,25
120,2,9:53.0,,Shooting foul by O. Casspi (drawn by S. Hawes),30,25
121,2,9:53.0,,S. Hawes makes free throw 1 of 2,30,26
122,2,9:53.0,,S. Hawes makes free throw 2 of 2,30,27
123,2,9:35.0,Personal foul by C. Douglas-Roberts (drawn by O. Casspi),,30,27
124,2,9:35.0,D. Williams enters the game for R. Evans,,30,27
125,2,9:31.0,Offensive foul by C. Landry (drawn by J. Cunningham),,30,27
126,2,9:31.0,Turnover by C. Landry (offensive foul),,30,27
127,2,9:17.0,,J. Farmar misses 2-pt jump shot from 3 ft (block by N. Stauskas),30,27
128,2,9:17.0,,Offensive rebound by Team,30,27
129,2,9:08.0,,S. Hawes makes 2-pt jump shot from 16 ft,30,29
130,2,9:06.0,Sacramento full timeout,,30,29
131,2,8:55.0,Personal foul by J. Farmar (drawn by N. Stauskas),,30,29
132,2,8:44.0,N. Stauskas misses 3-pt jump shot from 26 ft,,30,29
133,2,8:43.0,,Defensive rebound by J. Cunningham,30,29
134,2,8:22.0,,J. Farmar makes 3-pt jump shot from 26 ft (assist by H. Türkoğlu),30,32
135,2,8:03.0,Turnover by D. Williams (bad pass; steal by J. Farmar),,30,32
136,2,7:53.0,,Shooting foul by O. Casspi (drawn by S. Hawes),30,32
137,2,7:53.0,,S. Hawes makes free throw 1 of 2,30,33
138,2,7:53.0,D. Collison enters the game for R. Sessions,,30,33
139,2,7:53.0,D. Cousins enters the game for C. Landry,,30,33
140,2,7:53.0,R. Gay enters the game for O. Casspi,,30,33
141,2,7:53.0,,S. Hawes makes free throw 2 of 2,30,34
142,2,7:37.0,D. Cousins misses 2-pt jump shot from 5 ft (block by S. Hawes),,30,34
143,2,7:35.0,,Defensive rebound by H. Türkoğlu,30,34
144,2,7:19.0,,J. Farmar makes 2-pt layup from 1 ft,30,36
145,2,7:18.0,Sacramento full timeout,,30,36
