,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW YORK_ACTION,PHOENIX_SCORE,NEW YORK_SCORE
0,1,11:41.0,E. Bledsoe makes 3-pt jump shot from 23 ft (assist by G. Dragić),,3,0
1,1,11:18.0,,T. Hardaway misses 2-pt jump shot from 17 ft,3,0
2,1,11:17.0,Defensive rebound by A. Len,,3,0
3,1,11:08.0,A. Len misses 2-pt jump shot from 14 ft,,3,0
4,1,11:07.0,,Defensive rebound by J. Calderón,3,0
5,1,10:53.0,,J. Calderón misses 2-pt jump shot from 17 ft,3,0
6,1,10:52.0,Defensive rebound by M. Morris,,3,0
7,1,10:47.0,M. Morris misses 2-pt layup from 1 ft,,3,0
8,1,10:46.0,,Defensive rebound by Team,3,0
9,1,10:23.0,,C. Anthony misses 2-pt jump shot from 18 ft,3,0
10,1,10:22.0,,Offensive rebound by Q. Acy,3,0
11,1,10:16.0,,C. Anthony makes 2-pt jump shot from 14 ft (assist by Q. Acy),3,2
12,1,9:55.0,M. Morris misses 2-pt jump shot from 11 ft,,3,2
13,1,9:54.0,,Defensive rebound by C. Aldrich,3,2
14,1,9:38.0,,Turnover by Q. Acy (bad pass; steal by M. Morris),3,2
15,1,9:31.0,G. Dragić misses 2-pt layup from 2 ft (block by C. Anthony),,3,2
16,1,9:30.0,,Defensive rebound by T. Hardaway,3,2
17,1,9:18.0,,C. Anthony misses 3-pt jump shot from 25 ft,3,2
18,1,9:17.0,,Offensive rebound by C. Anthony,3,2
19,1,9:12.0,,Turnover by C. Anthony (bad pass; steal by G. Dragić),3,2
20,1,9:00.0,G. Dragić makes 2-pt jump shot from 9 ft,,5,2
21,1,8:48.0,,T. Hardaway misses 2-pt layup from 2 ft (block by A. Len),5,2
22,1,8:47.0,Defensive rebound by A. Len,,5,2
23,1,8:41.0,G. Dragić misses 2-pt layup from 2 ft,,5,2
24,1,8:40.0,,Defensive rebound by C. Anthony,5,2
25,1,8:34.0,,T. Hardaway misses 3-pt jump shot from 22 ft,5,2
26,1,8:33.0,Defensive rebound by E. Bledsoe,,5,2
27,1,8:25.0,A. Len misses 2-pt layup from 3 ft (block by C. Aldrich),,5,2
28,1,8:24.0,,Defensive rebound by T. Hardaway,5,2
29,1,8:11.0,Violation by M. Morris (kicked ball),,5,2
30,1,7:58.0,,C. Anthony misses 2-pt jump shot from 10 ft,5,2
31,1,7:57.0,Defensive rebound by A. Len,,5,2
32,1,7:51.0,G. Dragić makes 2-pt layup from 1 ft (assist by E. Bledsoe),,7,2
33,1,7:51.0,Shooting foul by J. Calderón (drawn by G. Dragić),,7,2
34,1,7:51.0,,New York full timeout,7,2
35,1,7:51.0,G. Dragić makes free throw 1 of 1,,8,2
36,1,7:25.0,,C. Anthony makes 2-pt jump shot from 19 ft,8,4
37,1,7:09.0,E. Bledsoe makes 2-pt layup from 1 ft,,10,4
38,1,6:56.0,,T. Hardaway misses 2-pt jump shot from 21 ft,10,4
39,1,6:55.0,Defensive rebound by E. Bledsoe,,10,4
40,1,6:52.0,Turnover by E. Bledsoe (lost ball; steal by C. Anthony),,10,4
41,1,6:48.0,,Turnover by C. Anthony (lost ball; steal by P. Tucker),10,4
42,1,6:32.0,P. Tucker makes 3-pt jump shot from 25 ft,,13,4
43,1,6:14.0,,Turnover by Q. Acy (bad pass; steal by E. Bledsoe),13,4
44,1,6:10.0,E. Bledsoe makes 2-pt dunk at rim,,15,4
45,1,5:56.0,,J. Calderón makes 3-pt jump shot from 23 ft (assist by C. Aldrich),15,7
46,1,5:50.0,Shooting foul by Q. Acy (drawn by G. Dragić),,15,7
47,1,5:50.0,G. Dragić misses free throw 1 of 2,,15,7
48,1,5:50.0,Offensive rebound by Team,,15,7
