,QUARTER,TIME_REMAINING,BOSTON_ACTION,BROOKLYN_ACTION,BOSTON_SCORE,BROOKLYN_SCORE
0,1,11:40.0,,J. Johnson makes 2-pt jump shot from 6 ft,0,2
1,1,11:25.0,A. Bradley misses 2-pt jump shot from 18 ft,,0,2
2,1,11:24.0,Offensive rebound by B. Bass,,0,2
3,1,11:17.0,B. Bass misses 2-pt layup from 1 ft (block by B. Lopez),,0,2
4,1,11:16.0,,Defensive rebound by J. Johnson,0,2
5,1,11:09.0,,J. Johnson misses 3-pt jump shot from 23 ft,0,2
6,1,11:08.0,,Offensive rebound by T. Young,0,2
7,1,11:03.0,,D. Williams misses 3-pt jump shot from 24 ft,0,2
8,1,11:02.0,Defensive rebound by A. Bradley,,0,2
9,1,10:52.0,E. Turner makes 2-pt jump shot from 14 ft,,2,2
10,1,10:40.0,,T. Young makes 3-pt jump shot from 25 ft,2,5
11,1,10:30.0,T. Zeller misses 2-pt jump shot from 19 ft,,2,5
12,1,10:29.0,,Defensive rebound by Team,2,5
13,1,10:21.0,,T. Young misses 2-pt layup from 1 ft,2,5
14,1,10:20.0,Defensive rebound by T. Zeller,,2,5
15,1,10:10.0,E. Turner misses 3-pt jump shot from 24 ft,,2,5
16,1,10:09.0,,Defensive rebound by T. Young,2,5
17,1,10:01.0,,M. Brown misses 2-pt jump shot from 3 ft,2,5
18,1,10:00.0,Defensive rebound by T. Zeller,,2,5
19,1,9:50.0,E. Turner misses 2-pt jump shot from 16 ft,,2,5
20,1,9:49.0,,Defensive rebound by D. Williams,2,5
21,1,9:46.0,,Shooting foul by M. Smart (drawn by M. Brown),2,5
22,1,9:46.0,,M. Brown makes free throw 1 of 2,2,6
23,1,9:46.0,,M. Brown makes free throw 2 of 2,2,7
24,1,9:33.0,B. Bass misses 2-pt layup at rim,,2,7
25,1,9:32.0,Offensive rebound by B. Bass,,2,7
26,1,9:31.0,B. Bass misses 2-pt layup at rim (block by B. Lopez),,2,7
27,1,9:30.0,,Defensive rebound by M. Brown,2,7
28,1,9:19.0,,T. Young makes 2-pt layup from 1 ft,2,9
29,1,9:02.0,Turnover by E. Turner (bad pass; steal by T. Young),,2,9
30,1,9:01.0,,Turnover by T. Young (traveling),2,9
31,1,8:50.0,A. Bradley makes 2-pt jump shot from 19 ft (assist by E. Turner),,4,9
32,1,8:35.0,,Shooting foul by T. Zeller (drawn by B. Lopez),4,9
33,1,8:35.0,,B. Lopez makes free throw 1 of 2,4,10
34,1,8:35.0,,B. Lopez makes free throw 2 of 2,4,11
35,1,8:21.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by E. Turner),,7,11
36,1,8:05.0,,B. Lopez misses 2-pt jump shot from 19 ft,7,11
37,1,8:04.0,,Offensive rebound by M. Brown,7,11
38,1,7:59.0,,M. Brown makes 2-pt jump shot from 18 ft (assist by J. Johnson),7,13
39,1,7:45.0,T. Zeller makes 2-pt jump shot from 13 ft (assist by E. Turner),,9,13
40,1,7:25.0,,T. Young misses 2-pt hook shot from 9 ft,9,13
41,1,7:24.0,Defensive rebound by T. Zeller,,9,13
42,1,7:08.0,A. Bradley makes 3-pt jump shot from 25 ft,,12,13
43,1,6:42.0,,J. Johnson misses 2-pt jump shot from 6 ft,12,13
44,1,6:41.0,,Offensive rebound by J. Johnson,12,13
45,1,6:39.0,,B. Lopez misses 2-pt jump shot from 18 ft,12,13
46,1,6:38.0,,Offensive rebound by J. Johnson,12,13
47,1,6:37.0,,Turnover by J. Johnson (bad pass; steal by B. Bass),12,13
48,1,6:28.0,T. Zeller misses 2-pt jump shot from 17 ft,,12,13
49,1,6:27.0,,Defensive rebound by D. Williams,12,13
50,1,6:15.0,,T. Young makes 2-pt layup from 1 ft,12,15
51,1,6:15.0,,Shooting foul by T. Zeller (drawn by T. Young),12,15
52,1,6:15.0,J. Crowder enters the game for E. Turner,,12,15
53,1,6:15.0,J. Jerebko enters the game for B. Bass,,12,15
54,1,6:15.0,,T. Young makes free throw 1 of 1,12,16
55,1,5:59.0,T. Zeller makes 2-pt hook shot from 9 ft,,14,16
56,1,5:43.0,,T. Young misses 2-pt layup from 1 ft,14,16
57,1,5:42.0,Defensive rebound by J. Jerebko,,14,16
