,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PHILADELPHIA_ACTION,GOLDEN STATE_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,S. Curry misses 2-pt jump shot from 20 ft,,0,0
1,1,11:40.0,,Defensive rebound by R. Covington,0,0
2,1,11:30.0,,J. Sampson makes 2-pt layup from 1 ft (assist by T. Frazier),0,2
3,1,11:19.0,D. Green misses 2-pt jump shot from 21 ft,,0,2
4,1,11:18.0,,Defensive rebound by J. Sampson,0,2
5,1,10:59.0,,N. Noel makes 2-pt layup at rim (assist by T. Frazier),0,4
6,1,10:41.0,H. Barnes makes 2-pt jump shot from 7 ft,,2,4
7,1,10:24.0,,L. Mbah a Moute misses 2-pt jump shot from 17 ft,2,4
8,1,10:22.0,Defensive rebound by S. Curry,,2,4
9,1,10:12.0,Turnover by H. Barnes (bad pass; steal by R. Covington),,2,4
10,1,10:01.0,,N. Noel misses 2-pt jump shot from 18 ft,2,4
11,1,9:59.0,Defensive rebound by S. Curry,,2,4
12,1,9:51.0,S. Curry makes 2-pt layup from 1 ft,,4,4
13,1,9:42.0,,J. Sampson misses 3-pt jump shot from 25 ft,4,4
14,1,9:41.0,Defensive rebound by S. Curry,,4,4
15,1,9:33.0,S. Curry misses 3-pt jump shot from 25 ft,,4,4
16,1,9:32.0,,Defensive rebound by L. Mbah a Moute,4,4
17,1,9:09.0,,R. Covington misses 3-pt jump shot from 23 ft,4,4
18,1,9:07.0,Defensive rebound by A. Bogut,,4,4
19,1,9:00.0,K. Thompson misses 2-pt layup from 1 ft,,4,4
20,1,8:58.0,,Defensive rebound by L. Mbah a Moute,4,4
21,1,8:54.0,,Personal block foul by S. Curry (drawn by T. Frazier),4,4
22,1,8:43.0,,N. Noel makes 2-pt dunk at rim (assist by R. Covington),4,6
23,1,8:27.0,K. Thompson misses 3-pt jump shot from 26 ft,,4,6
24,1,8:26.0,,Defensive rebound by J. Sampson,4,6
25,1,8:18.0,,N. Noel makes 2-pt jump shot from 3 ft (assist by T. Frazier),4,8
26,1,8:10.0,Turnover by K. Thompson (bad pass; steal by N. Noel),,4,8
27,1,7:55.0,,L. Mbah a Moute makes 2-pt layup at rim (assist by N. Noel),4,10
28,1,7:52.0,Golden State full timeout,,4,10
29,1,7:37.0,H. Barnes makes 2-pt layup from 1 ft (assist by S. Curry),,6,10
30,1,7:16.0,,T. Frazier misses 2-pt jump shot from 15 ft,6,10
31,1,7:15.0,,Offensive rebound by N. Noel,6,10
32,1,7:15.0,,N. Noel makes 2-pt dunk at rim,6,12
33,1,6:55.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by K. Thompson),,9,12
34,1,6:28.0,,T. Frazier makes 2-pt jump shot from 11 ft,9,14
35,1,6:22.0,S. Curry misses 2-pt jump shot from 16 ft,,9,14
36,1,6:19.0,,Defensive rebound by N. Noel,9,14
37,1,6:15.0,,Turnover by T. Frazier (lost ball; steal by S. Curry),9,14
38,1,6:12.0,S. Curry makes 2-pt layup from 2 ft,,11,14
39,1,5:53.0,,Turnover by J. Sampson (lost ball; steal by A. Bogut),11,14
40,1,5:43.0,K. Thompson makes 3-pt jump shot from 22 ft (assist by D. Green),,14,14
41,1,5:27.0,,Turnover by L. Mbah a Moute (lost ball),14,14
42,1,5:27.0,,H. Thompson enters the game for J. Sampson,14,14
43,1,5:27.0,,H. Sims enters the game for N. Noel,14,14
44,1,5:16.0,H. Barnes misses 3-pt jump shot from 23 ft,,14,14
45,1,5:13.0,,Defensive rebound by L. Mbah a Moute,14,14
46,1,5:08.0,,R. Covington misses 3-pt jump shot from 26 ft,14,14
47,1,5:06.0,,Offensive rebound by H. Sims,14,14
48,1,5:04.0,,H. Thompson misses 3-pt jump shot from 26 ft,14,14
49,1,5:02.0,Defensive rebound by A. Bogut,,14,14
50,1,4:55.0,K. Thompson misses 3-pt jump shot from 26 ft,,14,14
51,1,4:53.0,,Defensive rebound by L. Mbah a Moute,14,14
52,1,4:49.0,,Philadelphia full timeout,14,14
53,1,4:49.0,M. Speights enters the game for H. Barnes,,14,14
