,QUARTER,TIME_REMAINING,DALLAS_ACTION,MILWAUKEE_ACTION,DALLAS_SCORE,MILWAUKEE_SCORE
0,1,11:46.0,,O. Mayo misses 2-pt jump shot from 5 ft,0,0
1,1,11:45.0,Defensive rebound by C. Parsons,,0,0
2,1,11:33.0,Personal foul by B. Knight (drawn by M. Ellis),,0,0
3,1,11:22.0,J. Nelson misses 3-pt jump shot from 26 ft,,0,0
4,1,11:20.0,,Defensive rebound by G. Antetokounmpo,0,0
5,1,11:14.0,,J. Parker makes 2-pt dunk at rim (assist by G. Antetokounmpo),0,2
6,1,10:55.0,M. Ellis misses 3-pt jump shot from 27 ft,,0,2
7,1,10:55.0,,Defensive rebound by Team,0,2
8,1,10:47.0,,B. Knight misses 2-pt jump shot from 6 ft,0,2
9,1,10:45.0,,Offensive rebound by J. Parker,0,2
10,1,10:36.0,,Turnover by J. Parker (lost ball; steal by J. Nelson),0,2
11,1,10:30.0,Turnover by A. Aminu (bad pass; steal by B. Knight),,0,2
12,1,10:22.0,,Shooting block foul by M. Ellis (drawn by J. Parker),0,2
13,1,10:22.0,,J. Parker makes free throw 1 of 2,0,3
14,1,10:22.0,,J. Parker makes free throw 2 of 2,0,4
15,1,9:58.0,Turnover by Team (shot clock),,0,4
16,1,9:47.0,,L. Sanders makes 2-pt dunk at rim (assist by B. Knight),0,6
17,1,9:45.0,Dallas full timeout,,0,6
18,1,9:28.0,A. Aminu makes 3-pt jump shot from 23 ft (assist by M. Ellis),,3,6
19,1,9:11.0,,O. Mayo makes 2-pt layup at rim,3,8
20,1,8:58.0,C. Parsons misses 3-pt jump shot from 23 ft,,3,8
21,1,8:58.0,Offensive rebound by Team,,3,8
22,1,8:52.0,Turnover by J. Nelson (bad pass; steal by B. Knight),,3,8
23,1,8:50.0,,Shooting foul by J. Nelson (drawn by G. Antetokounmpo),3,8
24,1,8:50.0,,G. Antetokounmpo misses free throw 1 of 2,3,8
25,1,8:50.0,,Offensive rebound by Team,3,8
26,1,8:50.0,,G. Antetokounmpo makes free throw 2 of 2,3,9
27,1,8:33.0,M. Ellis misses 2-pt jump shot from 15 ft,,3,9
28,1,8:32.0,Offensive rebound by C. Parsons,,3,9
29,1,8:32.0,A. Aminu makes 2-pt dunk at rim (assist by C. Parsons),,5,9
30,1,8:32.0,Shooting foul by G. Antetokounmpo (drawn by A. Aminu),,5,9
