,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,INDIANA_ACTION,GOLDEN STATE_SCORE,INDIANA_SCORE
0,1,11:40.0,S. Livingston makes 2-pt jump shot from 6 ft,,2,0
1,1,11:24.0,,D. West misses 2-pt jump shot from 16 ft,2,0
2,1,11:22.0,Defensive rebound by H. Barnes,,2,0
3,1,11:16.0,D. Green misses 3-pt jump shot from 25 ft,,2,0
4,1,11:14.0,,Defensive rebound by G. Hill,2,0
5,1,11:03.0,,R. Hibbert makes 2-pt jump shot from 19 ft (assist by G. Hill),2,2
6,1,10:45.0,Turnover by K. Thompson (lost ball),,2,2
7,1,10:34.0,,C. Miles misses 2-pt jump shot from 20 ft,2,2
8,1,10:33.0,Defensive rebound by S. Livingston,,2,2
9,1,10:24.0,H. Barnes makes 2-pt jump shot from 18 ft (assist by A. Bogut),,4,2
10,1,10:05.0,,Shooting foul by K. Thompson (drawn by S. Hill),4,2
11,1,10:05.0,,S. Hill makes free throw 1 of 2,4,3
12,1,10:05.0,,S. Hill makes free throw 2 of 2,4,4
13,1,9:51.0,A. Bogut misses 2-pt jump shot from 4 ft (block by C. Miles),,4,4
14,1,9:51.0,,Defensive rebound by D. West,4,4
15,1,9:51.0,Loose ball foul by A. Bogut (drawn by D. West),,4,4
16,1,9:37.0,,R. Hibbert misses 2-pt jump shot from 8 ft,4,4
17,1,9:36.0,Defensive rebound by D. Green,,4,4
18,1,9:18.0,K. Thompson makes 2-pt jump shot from 18 ft (assist by A. Bogut),,6,4
19,1,9:01.0,,G. Hill makes 2-pt jump shot from 15 ft,6,6
20,1,8:47.0,Shooting foul by S. Hill (drawn by K. Thompson),,6,6
21,1,8:47.0,K. Thompson makes free throw 1 of 2,,7,6
22,1,8:47.0,K. Thompson makes free throw 2 of 2,,8,6
23,1,8:34.0,,C. Miles makes 2-pt jump shot from 16 ft,8,8
24,1,8:10.0,H. Barnes misses 2-pt jump shot from 5 ft,,8,8
25,1,8:09.0,Offensive rebound by H. Barnes,,8,8
26,1,8:05.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),,11,8
27,1,7:35.0,,D. West misses 2-pt jump shot from 13 ft,11,8
28,1,7:33.0,Defensive rebound by A. Bogut,,11,8
29,1,7:28.0,K. Thompson misses 3-pt jump shot from 27 ft,,11,8
30,1,7:25.0,,Defensive rebound by C. Miles,11,8
31,1,7:13.0,,D. West misses 2-pt jump shot from 16 ft,11,8
32,1,7:12.0,Defensive rebound by K. Thompson,,11,8
33,1,7:08.0,Shooting foul by D. West (drawn by D. Green),,11,8
34,1,7:08.0,D. Green makes free throw 1 of 2,,12,8
35,1,7:08.0,D. Green makes free throw 2 of 2,,13,8
36,1,6:56.0,,Shooting foul by D. Green (drawn by G. Hill),13,8
37,1,6:56.0,,G. Hill makes free throw 1 of 3,13,9
38,1,6:56.0,,G. Hill makes free throw 2 of 3,13,10
39,1,6:56.0,,G. Hill misses free throw 3 of 3,13,10
40,1,6:54.0,,Offensive rebound by Team,13,10
41,1,6:47.0,,S. Hill misses 2-pt layup from 1 ft,13,10
42,1,6:47.0,Defensive rebound by S. Livingston,,13,10
43,1,6:23.0,D. Green makes 3-pt jump shot from 26 ft (assist by A. Bogut),,16,10
44,1,6:13.0,,Indiana full timeout,16,10
45,1,6:13.0,A. Iguodala enters the game for H. Barnes,,16,10
46,1,6:01.0,,D. West misses 2-pt jump shot from 5 ft,16,10
47,1,6:00.0,Defensive rebound by A. Iguodala,,16,10
48,1,5:44.0,K. Thompson makes 2-pt jump shot from 19 ft (assist by S. Livingston),,18,10
49,1,5:24.0,,D. West makes 2-pt jump shot from 5 ft,18,12
50,1,5:15.0,Personal foul by S. Hill (drawn by S. Livingston),,18,12
51,1,5:15.0,L. Barbosa enters the game for S. Livingston,,18,12
52,1,5:15.0,,R. Stuckey enters the game for S. Hill,18,12
53,1,5:08.0,K. Thompson makes 2-pt jump shot from 14 ft,,20,12
54,1,4:52.0,,G. Hill misses 2-pt jump shot from 18 ft,20,12
55,1,4:52.0,Defensive rebound by A. Bogut,,20,12
56,1,4:46.0,Personal foul by G. Hill (drawn by D. Green),,20,12
57,1,4:46.0,,I. Mahinmi enters the game for R. Hibbert,20,12
58,1,4:40.0,Shooting foul by G. Hill (drawn by K. Thompson),,20,12
59,1,4:40.0,K. Thompson makes free throw 1 of 2,,21,12
60,1,4:40.0,D. Lee enters the game for A. Bogut,,21,12
61,1,4:40.0,,C. Watson enters the game for G. Hill,21,12
62,1,4:40.0,K. Thompson makes free throw 2 of 2,,22,12
63,1,4:27.0,,Turnover by D. West (lost ball; steal by L. Barbosa),22,12
64,1,4:22.0,,Violation by I. Mahinmi (def goaltending),22,12
65,1,4:22.0,L. Barbosa makes 2-pt layup from 1 ft (assist by D. Green),,24,12
66,1,4:06.0,,R. Stuckey makes 2-pt jump shot from 19 ft,24,14
67,1,3:55.0,K. Thompson misses 3-pt jump shot from 26 ft,,24,14
68,1,3:53.0,Offensive rebound by D. Lee,,24,14
69,1,3:47.0,L. Barbosa misses 2-pt layup at rim,,24,14
70,1,3:46.0,Offensive rebound by D. Lee,,24,14
71,1,3:46.0,D. Lee makes 2-pt tip-in at rim,,26,14
72,1,3:34.0,,I. Mahinmi misses 2-pt jump shot from 6 ft,26,14
73,1,3:34.0,Defensive rebound by D. Lee,,26,14
74,1,3:27.0,Turnover by D. Green (lost ball; steal by R. Stuckey),,26,14
75,1,3:23.0,,C. Watson makes 2-pt layup from 1 ft (assist by R. Stuckey),26,16
76,1,3:16.0,Personal foul by C. Watson (drawn by A. Iguodala),,26,16
77,1,3:16.0,A. Iguodala makes free throw 1 of 2,,27,16
78,1,3:16.0,A. Iguodala makes free throw 2 of 2,,28,16
79,1,2:58.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by D. West),28,19
80,1,2:44.0,D. Lee misses 2-pt layup from 2 ft,,28,19
81,1,2:43.0,,Defensive rebound by I. Mahinmi,28,19
82,1,2:31.0,,C. Miles misses 3-pt jump shot from 26 ft,28,19
83,1,2:30.0,Defensive rebound by D. Lee,,28,19
84,1,2:23.0,K. Thompson misses 3-pt jump shot from 27 ft,,28,19
85,1,2:22.0,,Defensive rebound by D. West,28,19
86,1,2:11.0,,C. Watson makes 2-pt layup from 2 ft,28,21
87,1,2:04.0,Golden State full timeout,,28,21
88,1,1:59.0,D. Lee makes 2-pt layup at rim (assist by A. Iguodala),,30,21
89,1,1:39.0,,Turnover by D. West (bad pass; steal by D. Lee),30,21
90,1,1:30.0,L. Barbosa misses 2-pt jump shot from 9 ft,,30,21
91,1,1:27.0,Offensive rebound by D. Lee,,30,21
92,1,1:20.0,K. Thompson makes 2-pt layup from 1 ft,,32,21
93,1,1:04.0,,R. Stuckey makes 2-pt jump shot from 11 ft,32,23
94,1,0:44.0,A. Iguodala makes 3-pt jump shot from 23 ft (assist by D. Lee),,35,23
95,1,0:32.0,,Shooting foul by D. Lee (drawn by R. Stuckey),35,23
96,1,0:32.0,,R. Stuckey misses free throw 1 of 2,35,23
97,1,0:32.0,,Offensive rebound by Team,35,23
98,1,0:32.0,,D. Rudež enters the game for C. Miles,35,23
99,1,0:32.0,,L. Scola enters the game for D. West,35,23
100,1,0:32.0,H. Barnes enters the game for D. Green,,35,23
101,1,0:32.0,,R. Stuckey makes free throw 2 of 2,35,24
102,1,0:16.0,K. Thompson misses 2-pt jump shot from 20 ft,,35,24
103,1,0:15.0,,Defensive rebound by R. Stuckey,35,24
104,1,0:11.0,,D. Rudež makes 2-pt layup from 1 ft (assist by R. Stuckey),35,26
105,1,0:02.0,A. Iguodala makes 3-pt jump shot from 25 ft (assist by D. Lee),,38,26
106,1,0:00.0,,R. Stuckey misses 3-pt jump shot from 52 ft,38,26
107,1,0:00.0,,Offensive rebound by Team,38,26
108,2,11:52.0,,Personal foul by L. Barbosa (drawn by C. Watson),38,26
