,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHARLOTTE_ACTION,BROOKLYN_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,M. Brown misses 2-pt jump shot from 3 ft,,0,0
1,1,11:43.0,,Defensive rebound by M. Williams,0,0
2,1,11:32.0,,G. Henderson makes 2-pt jump shot from 16 ft (assist by A. Jefferson),0,2
3,1,11:13.0,D. Williams misses 2-pt jump shot from 9 ft,,0,2
4,1,11:11.0,Offensive rebound by M. Brown,,0,2
5,1,11:11.0,M. Brown makes 2-pt tip-in from 1 ft,,2,2
6,1,10:53.0,,K. Walker misses 2-pt layup from 2 ft (block by B. Lopez),2,2
7,1,10:53.0,,Offensive rebound by Team,2,2
8,1,10:48.0,,G. Henderson makes 2-pt jump shot from 16 ft (assist by M. Kidd-Gilchrist),2,4
9,1,10:32.0,Personal foul by K. Walker (drawn by M. Brown),,2,4
10,1,10:20.0,T. Young misses 2-pt hook shot from 7 ft,,2,4
11,1,10:19.0,,Defensive rebound by M. Kidd-Gilchrist,2,4
12,1,10:05.0,,G. Henderson misses 2-pt jump shot from 9 ft,2,4
13,1,10:03.0,Defensive rebound by B. Lopez,,2,4
14,1,9:53.0,M. Brown makes 2-pt layup at rim,,4,4
15,1,9:35.0,,A. Jefferson misses 2-pt jump shot from 4 ft,4,4
16,1,9:34.0,Defensive rebound by D. Williams,,4,4
17,1,9:26.0,B. Lopez makes 2-pt jump shot from 10 ft (assist by D. Williams),,6,4
18,1,9:15.0,,K. Walker makes 2-pt layup from 1 ft,6,6
19,1,9:15.0,,Shooting foul by D. Williams (drawn by K. Walker),6,6
20,1,9:15.0,,K. Walker misses free throw 1 of 1,6,6
21,1,9:13.0,Defensive rebound by J. Johnson,,6,6
22,1,9:00.0,T. Young misses 3-pt jump shot from 24 ft,,6,6
23,1,8:59.0,,Defensive rebound by A. Jefferson,6,6
24,1,8:49.0,,G. Henderson misses 2-pt jump shot from 18 ft,6,6
25,1,8:48.0,Defensive rebound by D. Williams,,6,6
26,1,8:40.0,D. Williams misses 2-pt layup from 1 ft,,6,6
27,1,8:39.0,,Defensive rebound by M. Kidd-Gilchrist,6,6
28,1,8:35.0,,M. Kidd-Gilchrist misses 2-pt layup from 1 ft (block by M. Brown),6,6
29,1,8:35.0,,Offensive rebound by Team,6,6
30,1,8:22.0,,M. Williams misses 2-pt layup at rim,6,6
31,1,8:20.0,,Offensive rebound by A. Jefferson,6,6
32,1,8:20.0,,A. Jefferson makes 2-pt tip-in from 1 ft,6,8
