,QUARTER,TIME_REMAINING,ORLANDO_ACTION,ATLANTA_ACTION,ORLANDO_SCORE,ATLANTA_SCORE
0,1,11:42.0,V. Oladipo makes 3-pt jump shot from 24 ft (assist by C. Frye),,3,0
1,1,11:24.0,,A. Horford makes 2-pt dunk at rim (assist by P. Millsap),3,2
2,1,11:03.0,Turnover by T. Harris (bad pass),,3,2
3,1,10:51.0,,D. Carroll makes 3-pt jump shot from 22 ft (assist by A. Horford),3,5
4,1,10:40.0,C. Frye misses 3-pt jump shot from 24 ft,,3,5
5,1,10:38.0,,Defensive rebound by A. Horford,3,5
6,1,10:29.0,,D. Carroll makes 2-pt jump shot from 7 ft,3,7
7,1,10:10.0,N. Vučević misses 2-pt jump shot from 19 ft,,3,7
8,1,10:06.0,,Defensive rebound by D. Carroll,3,7
9,1,10:02.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by D. Carroll),3,10
10,1,9:42.0,Turnover by C. Frye (bad pass; steal by J. Teague),,3,10
11,1,9:35.0,,P. Millsap makes 3-pt jump shot from 23 ft (assist by D. Carroll),3,13
12,1,9:32.0,Orlando full timeout,,3,13
13,1,9:18.0,T. Harris misses 2-pt jump shot from 4 ft,,3,13
14,1,9:16.0,,Defensive rebound by D. Carroll,3,13
15,1,9:11.0,,P. Millsap makes 3-pt jump shot from 22 ft (assist by A. Horford),3,16
16,1,8:58.0,C. Frye misses 3-pt jump shot from 24 ft,,3,16
17,1,8:57.0,,Defensive rebound by D. Carroll,3,16
18,1,8:50.0,,P. Millsap makes 3-pt jump shot from 24 ft (assist by J. Teague),3,19
19,1,8:25.0,V. Oladipo makes 2-pt jump shot from 21 ft,,5,19
20,1,8:19.0,,P. Millsap makes 2-pt dunk at rim (assist by J. Teague),5,21
21,1,8:19.0,Orlando full timeout,,5,21
22,1,8:19.0,D. Dedmon enters the game for C. Frye,,5,21
23,1,8:01.0,N. Vučević makes 2-pt jump shot from 12 ft,,7,21
24,1,7:38.0,,J. Teague misses 3-pt jump shot from 25 ft,7,21
25,1,7:36.0,Defensive rebound by V. Oladipo,,7,21
