,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,BOSTON_ACTION,SACRAMENTO_SCORE,BOSTON_SCORE
0,1,11:45.0,,J. Green misses 2-pt jump shot from 20 ft,0,0
1,1,11:44.0,Defensive rebound by D. Cousins,,0,0
2,1,11:22.0,D. Cousins misses 2-pt jump shot from 7 ft (block by T. Zeller),,0,0
3,1,11:21.0,Offensive rebound by D. Cousins,,0,0
4,1,11:19.0,D. Cousins misses 2-pt jump shot from 2 ft,,0,0
5,1,11:18.0,,Defensive rebound by J. Sullinger,0,0
6,1,11:12.0,,T. Zeller makes 2-pt layup at rim (assist by J. Sullinger),0,2
7,1,11:12.0,,Shooting foul by R. Hollins (drawn by T. Zeller),0,2
8,1,11:12.0,,T. Zeller makes free throw 1 of 1,0,3
9,1,10:56.0,D. Cousins misses 2-pt jump shot from 20 ft,,0,3
10,1,10:55.0,,Defensive rebound by J. Green,0,3
11,1,10:47.0,,J. Sullinger misses 3-pt jump shot from 24 ft,0,3
12,1,10:45.0,Defensive rebound by R. Hollins,,0,3
13,1,10:35.0,Turnover by D. Collison (traveling),,0,3
14,1,10:13.0,,J. Sullinger makes 2-pt jump shot from 14 ft,0,5
15,1,10:01.0,Personal foul by T. Zeller (drawn by D. Cousins),,0,5
16,1,9:56.0,D. Cousins misses 2-pt layup at rim,,0,5
17,1,9:55.0,,Defensive rebound by J. Sullinger,0,5
18,1,9:40.0,,A. Bradley makes 2-pt jump shot from 18 ft (assist by E. Turner),0,7
19,1,9:33.0,Turnover by D. Collison (lost ball; steal by A. Bradley),,0,7
20,1,9:23.0,,J. Sullinger misses 3-pt jump shot from 24 ft,0,7
21,1,9:22.0,Defensive rebound by B. McLemore,,0,7
22,1,9:12.0,R. Gay misses 2-pt jump shot from 9 ft,,0,7
23,1,9:11.0,,Defensive rebound by E. Turner,0,7
24,1,8:54.0,,J. Sullinger misses 2-pt jump shot from 18 ft,0,7
25,1,8:53.0,Defensive rebound by D. Cousins,,0,7
26,1,8:38.0,D. Cousins misses 2-pt layup at rim,,0,7
27,1,8:37.0,,Defensive rebound by T. Zeller,0,7
28,1,8:32.0,,E. Turner makes 2-pt jump shot from 13 ft,0,9
29,1,8:21.0,Sacramento full timeout,,0,9
30,1,8:21.0,C. Landry enters the game for R. Hollins,,0,9
31,1,8:14.0,Shooting foul by E. Turner (drawn by B. McLemore),,0,9
32,1,8:14.0,B. McLemore makes free throw 1 of 2,,1,9
33,1,8:14.0,B. McLemore makes free throw 2 of 2,,2,9
34,1,8:01.0,,J. Sullinger makes 2-pt jump shot from 18 ft (assist by E. Turner),2,11
35,1,7:48.0,Personal foul by J. Green (drawn by R. Gay),,2,11
36,1,7:39.0,R. Gay makes 2-pt jump shot from 7 ft,,4,11
37,1,7:28.0,,Personal foul by B. McLemore (drawn by E. Turner),4,11
38,1,7:20.0,,A. Bradley misses 2-pt jump shot from 20 ft,4,11
39,1,7:19.0,Defensive rebound by R. Gay,,4,11
40,1,7:10.0,D. Cousins makes 2-pt dunk at rim (assist by R. Gay),,6,11
41,1,6:57.0,,E. Turner misses 2-pt layup from 1 ft,6,11
42,1,6:56.0,Defensive rebound by D. Cousins,,6,11
43,1,6:48.0,B. McLemore makes 3-pt jump shot from 23 ft (assist by D. Collison),,9,11
44,1,6:36.0,,T. Zeller misses 2-pt hook shot from 8 ft,9,11
45,1,6:36.0,,Offensive rebound by Team,9,11
46,1,6:36.0,Loose ball foul by C. Landry (drawn by J. Sullinger),,9,11
47,1,6:29.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by E. Turner),9,13
48,1,6:15.0,Offensive foul by B. McLemore (drawn by E. Turner),,9,13
49,1,6:15.0,Turnover by B. McLemore (offensive foul),,9,13
50,1,6:15.0,N. Stauskas enters the game for B. McLemore,,9,13
51,1,6:04.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by E. Turner),9,15
52,1,5:47.0,R. Gay misses 2-pt jump shot from 8 ft,,9,15
53,1,5:45.0,Offensive rebound by D. Cousins,,9,15
54,1,5:43.0,D. Cousins misses 2-pt layup at rim,,9,15
55,1,5:42.0,,Defensive rebound by J. Sullinger,9,15
56,1,5:32.0,,J. Green misses 2-pt jump shot from 5 ft,9,15
57,1,5:31.0,Defensive rebound by R. Gay,,9,15
58,1,5:26.0,N. Stauskas misses 3-pt jump shot from 26 ft,,9,15
59,1,5:25.0,,Defensive rebound by E. Turner,9,15
