,QUARTER,TIME_REMAINING,ATLANTA_ACTION,GOLDEN STATE_ACTION,ATLANTA_SCORE,GOLDEN STATE_SCORE
0,1,11:44.0,D. Carroll misses 2-pt jump shot from 18 ft,,0,0
1,1,11:42.0,,Defensive rebound by A. Bogut,0,0
2,1,11:30.0,,A. Bogut misses 2-pt hook shot from 6 ft,0,0
3,1,11:29.0,Defensive rebound by D. Carroll,,0,0
4,1,11:19.0,J. Teague makes 2-pt jump shot from 12 ft,,2,0
5,1,11:09.0,,Turnover by S. Curry (bad pass; steal by A. Horford),2,0
6,1,11:00.0,A. Horford misses 2-pt jump shot from 20 ft,,2,0
7,1,10:59.0,Offensive rebound by P. Millsap,,2,0
8,1,10:59.0,P. Millsap misses 2-pt tip-in from 1 ft (block by A. Bogut),,2,0
9,1,10:57.0,,Defensive rebound by A. Bogut,2,0
10,1,10:45.0,,J. Holiday misses 3-pt jump shot from 26 ft,2,0
11,1,10:44.0,Defensive rebound by K. Bazemore,,2,0
12,1,10:38.0,K. Bazemore makes 2-pt layup from 1 ft (assist by A. Horford),,4,0
13,1,10:32.0,,J. Holiday makes 2-pt layup from 1 ft (assist by S. Curry),4,2
14,1,10:18.0,P. Millsap misses 2-pt jump shot from 8 ft,,4,2
15,1,10:16.0,,Defensive rebound by A. Bogut,4,2
16,1,10:07.0,,D. Green makes 3-pt jump shot from 26 ft (assist by J. Holiday),4,5
17,1,9:42.0,K. Bazemore misses 3-pt jump shot from 27 ft,,4,5
18,1,9:41.0,,Defensive rebound by A. Bogut,4,5
19,1,9:33.0,,S. Curry misses 2-pt jump shot from 19 ft,4,5
20,1,9:32.0,Defensive rebound by D. Carroll,,4,5
21,1,9:11.0,D. Carroll misses 2-pt jump shot from 14 ft,,4,5
22,1,9:10.0,Offensive rebound by A. Horford,,4,5
23,1,9:05.0,K. Bazemore misses 3-pt jump shot from 23 ft,,4,5
24,1,9:03.0,,Defensive rebound by Team,4,5
25,1,8:55.0,,Turnover by J. Holiday (bad pass; steal by J. Teague),4,5
26,1,8:50.0,Turnover by J. Teague (bad pass),,4,5
27,1,8:45.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by S. Curry),4,8
28,1,8:27.0,J. Teague makes 2-pt jump shot from 9 ft,,6,8
29,1,8:23.0,,Turnover by A. Bogut (bad pass; steal by J. Teague),6,8
30,1,8:17.0,P. Millsap makes 3-pt jump shot from 26 ft (assist by D. Carroll),,9,8
31,1,8:00.0,,Turnover by H. Barnes (bad pass; steal by J. Teague),9,8
32,1,7:57.0,J. Teague makes 2-pt layup from 1 ft,,11,8
33,1,7:41.0,,Turnover by A. Bogut (bad pass; steal by A. Horford),11,8
34,1,7:32.0,D. Carroll makes 2-pt layup from 1 ft (assist by P. Millsap),,13,8
35,1,7:07.0,,H. Barnes makes 2-pt hook shot from 11 ft,13,10
36,1,6:46.0,Personal foul by D. Green (drawn by J. Teague),,13,10
37,1,6:32.0,J. Teague misses 2-pt jump shot from 21 ft,,13,10
38,1,6:31.0,,Defensive rebound by A. Bogut,13,10
39,1,6:19.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by H. Barnes),13,12
40,1,6:00.0,,Violation by D. Green (kicked ball),13,12
41,1,6:00.0,Atlanta full timeout,,13,12
42,1,6:00.0,,A. Iguodala enters the game for H. Barnes,13,12
43,1,6:00.0,,L. Barbosa enters the game for J. Holiday,13,12
44,1,5:50.0,A. Horford misses 2-pt jump shot from 17 ft,,13,12
45,1,5:49.0,,Defensive rebound by A. Iguodala,13,12
46,1,5:40.0,,S. Curry makes 2-pt jump shot from 21 ft (assist by L. Barbosa),13,15
47,1,5:26.0,A. Horford misses 2-pt jump shot from 8 ft,,13,15
48,1,5:25.0,,Defensive rebound by A. Iguodala,13,15
49,1,5:12.0,,A. Iguodala makes 2-pt layup from 3 ft (assist by S. Curry),13,17
50,1,4:59.0,A. Horford misses 2-pt jump shot from 21 ft,,13,17
