,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PORTLAND_ACTION,MEMPHIS_SCORE,PORTLAND_SCORE
0,1,11:35.0,,N. Batum makes 2-pt jump shot from 15 ft,0,2
1,1,11:18.0,J. Green makes 2-pt layup from 1 ft (assist by M. Conley),,2,2
2,1,11:04.0,,R. Lopez misses 2-pt hook shot from 7 ft,2,2
3,1,11:03.0,Defensive rebound by M. Gasol,,2,2
4,1,10:53.0,C. Lee misses 2-pt jump shot from 15 ft,,2,2
5,1,10:52.0,,Defensive rebound by N. Batum,2,2
6,1,10:40.0,,W. Matthews misses 2-pt jump shot from 16 ft,2,2
7,1,10:40.0,Defensive rebound by Team,,2,2
8,1,10:40.0,,Loose ball foul by M. Leonard (drawn by Z. Randolph),2,2
9,1,10:23.0,M. Conley makes 2-pt jump shot from 21 ft (assist by Z. Randolph),,4,2
10,1,10:01.0,,M. Leonard makes 3-pt jump shot from 26 ft (assist by N. Batum),4,5
11,1,9:44.0,M. Conley misses 2-pt jump shot from 19 ft,,4,5
12,1,9:43.0,,Defensive rebound by D. Lillard,4,5
13,1,9:37.0,,D. Lillard misses 3-pt jump shot from 25 ft,4,5
14,1,9:36.0,Defensive rebound by Z. Randolph,,4,5
15,1,9:20.0,M. Gasol misses 2-pt jump shot from 11 ft,,4,5
16,1,9:19.0,,Defensive rebound by N. Batum,4,5
17,1,8:58.0,,N. Batum misses 3-pt jump shot from 25 ft,4,5
18,1,8:57.0,Defensive rebound by M. Conley,,4,5
19,1,8:51.0,J. Green misses 3-pt jump shot from 26 ft,,4,5
20,1,8:49.0,,Defensive rebound by N. Batum,4,5
21,1,8:30.0,,Turnover by W. Matthews (lost ball; steal by J. Green),4,5
22,1,8:24.0,Z. Randolph makes 2-pt layup from 2 ft (assist by C. Lee),,6,5
23,1,8:09.0,,M. Leonard misses 3-pt jump shot from 25 ft,6,5
24,1,8:08.0,Defensive rebound by C. Lee,,6,5
25,1,7:58.0,M. Gasol makes 2-pt jump shot from 5 ft,,8,5
26,1,7:58.0,Shooting foul by M. Leonard (drawn by M. Gasol),,8,5
27,1,7:58.0,M. Gasol makes free throw 1 of 1,,9,5
28,1,7:39.0,,M. Leonard misses 3-pt jump shot from 25 ft,9,5
