,QUARTER,TIME_REMAINING,INDIANA_ACTION,DALLAS_ACTION,INDIANA_SCORE,DALLAS_SCORE
0,1,11:45.0,,T. Chandler makes 2-pt dunk at rim (assist by M. Ellis),0,2
1,1,11:24.0,L. Scola makes 2-pt layup at rim,,2,2
2,1,11:04.0,,D. Nowitzki misses 2-pt jump shot from 18 ft (block by L. Scola),2,2
3,1,11:02.0,Defensive rebound by S. Hill,,2,2
4,1,10:57.0,Turnover by S. Hill (bad pass; steal by C. Parsons),,2,2
5,1,10:43.0,,C. Parsons misses 2-pt layup at rim,2,2
6,1,10:41.0,,Offensive rebound by T. Chandler,2,2
7,1,10:41.0,,T. Chandler misses 2-pt tip-in from 3 ft,2,2
8,1,10:40.0,Defensive rebound by I. Mahinmi,,2,2
9,1,10:36.0,,Offensive charge foul by L. Scola (drawn by J. Nelson),2,2
10,1,10:36.0,Turnover by L. Scola (offensive foul),,2,2
11,1,10:20.0,,D. Nowitzki makes 2-pt jump shot from 11 ft,2,4
12,1,10:03.0,S. Hill misses 2-pt jump shot from 16 ft (block by C. Parsons),,2,4
13,1,10:02.0,Offensive rebound by L. Scola,,2,4
14,1,9:59.0,I. Mahinmi makes 2-pt dunk at rim (assist by S. Hill),,4,4
15,1,9:34.0,,D. Nowitzki misses 2-pt jump shot from 21 ft,4,4
16,1,9:33.0,Defensive rebound by S. Hill,,4,4
17,1,9:23.0,D. Sloan makes 3-pt jump shot from 24 ft (assist by R. Stuckey),,7,4
18,1,9:11.0,,J. Nelson makes 3-pt jump shot from 24 ft (assist by M. Ellis),7,7
19,1,8:56.0,L. Scola misses 2-pt jump shot from 17 ft,,7,7
20,1,8:55.0,,Defensive rebound by C. Parsons,7,7
21,1,8:47.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by J. Nelson),7,10
22,1,8:24.0,D. Sloan makes 2-pt jump shot from 12 ft,,9,10
23,1,8:09.0,,J. Nelson misses 3-pt jump shot from 22 ft,9,10
24,1,8:08.0,Defensive rebound by L. Scola,,9,10
25,1,7:58.0,R. Stuckey misses 2-pt jump shot from 22 ft,,9,10
26,1,7:57.0,,Defensive rebound by D. Nowitzki,9,10
27,1,7:44.0,,Personal foul by D. Sloan (drawn by M. Ellis),9,10
28,1,7:41.0,,M. Ellis misses 3-pt jump shot from 24 ft,9,10
29,1,7:40.0,Defensive rebound by I. Mahinmi,,9,10
30,1,7:32.0,L. Scola misses 2-pt hook shot from 7 ft,,9,10
