,QUARTER,TIME_REMAINING,BOSTON_ACTION,DENVER_ACTION,BOSTON_SCORE,DENVER_SCORE
0,1,11:36.0,A. Bradley misses 2-pt jump shot from 16 ft,,0,0
1,1,11:35.0,,Defensive rebound by K. Faried,0,0
2,1,11:16.0,,J. Nelson makes 3-pt jump shot from 27 ft (assist by A. Afflalo),0,3
3,1,10:58.0,B. Bass makes 2-pt jump shot from 14 ft,,2,3
4,1,10:46.0,,J. Nelson misses 2-pt jump shot from 17 ft (block by E. Turner),2,3
5,1,10:43.0,Defensive rebound by J. Crowder,,2,3
6,1,10:35.0,E. Turner makes 2-pt jump shot from 13 ft,,4,3
7,1,10:29.0,,Denver full timeout,4,3
8,1,10:19.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by J. Nelson),4,5
9,1,10:03.0,J. Sullinger misses 2-pt hook shot from 6 ft,,4,5
10,1,10:00.0,,Defensive rebound by J. Nurkić,4,5
11,1,9:52.0,,J. Nurkić misses 2-pt layup from 1 ft,4,5
12,1,9:50.0,,Offensive rebound by J. Nurkić,4,5
13,1,9:50.0,,J. Nurkić makes 2-pt tip-in from 1 ft,4,7
14,1,9:35.0,B. Bass makes 2-pt jump shot from 9 ft (assist by E. Turner),,6,7
15,1,9:16.0,,W. Chandler makes 2-pt jump shot from 14 ft,6,9
16,1,8:58.0,B. Bass makes 2-pt jump shot from 5 ft,,8,9
17,1,8:45.0,,K. Faried misses 2-pt hook shot from 4 ft,8,9
18,1,8:44.0,,Offensive rebound by Team,8,9
19,1,8:37.0,,W. Chandler misses 2-pt jump shot from 20 ft,8,9
20,1,8:35.0,Defensive rebound by A. Bradley,,8,9
21,1,8:22.0,A. Bradley misses 2-pt layup from 2 ft,,8,9
22,1,8:20.0,,Defensive rebound by K. Faried,8,9
23,1,8:09.0,,W. Chandler makes 3-pt jump shot from 26 ft (assist by A. Afflalo),8,12
24,1,7:54.0,Turnover by E. Turner (lost ball),,8,12
25,1,7:43.0,,Turnover by J. Nurkić (traveling),8,12
26,1,7:29.0,B. Bass misses 2-pt jump shot from 17 ft,,8,12
27,1,7:27.0,Offensive rebound by J. Sullinger,,8,12
28,1,7:24.0,J. Sullinger makes 2-pt layup from 1 ft,,10,12
29,1,7:07.0,,A. Afflalo misses 3-pt jump shot from 23 ft,10,12
30,1,7:06.0,Defensive rebound by A. Bradley,,10,12
31,1,7:04.0,Turnover by A. Bradley (lost ball; steal by J. Nelson),,10,12
32,1,7:00.0,,J. Nelson misses 2-pt layup from 2 ft (block by E. Turner),10,12
33,1,6:59.0,Defensive rebound by E. Turner,,10,12
34,1,6:59.0,Personal foul by W. Chandler (drawn by J. Crowder),,10,12
35,1,6:59.0,,J. Hickson enters the game for J. Nurkić,10,12
36,1,6:47.0,J. Sullinger makes 2-pt jump shot from 8 ft (assist by B. Bass),,12,12
37,1,6:24.0,,J. Nelson makes 3-pt jump shot from 26 ft (assist by K. Faried),12,15
38,1,6:10.0,B. Bass misses 2-pt jump shot from 18 ft,,12,15
39,1,6:09.0,,Defensive rebound by W. Chandler,12,15
40,1,5:59.0,,J. Nelson misses 3-pt jump shot from 24 ft,12,15
41,1,5:58.0,,Offensive rebound by K. Faried,12,15
42,1,5:55.0,,K. Faried misses 2-pt layup at rim,12,15
43,1,5:55.0,,Offensive rebound by J. Hickson,12,15
44,1,5:55.0,,J. Hickson makes 2-pt tip-in from 1 ft,12,17
45,1,5:55.0,Boston full timeout,,12,17
46,1,5:55.0,T. Zeller enters the game for J. Crowder,,12,17
47,1,5:55.0,M. Smart enters the game for A. Bradley,,12,17
48,1,5:55.0,M. Thornton enters the game for J. Sullinger,,12,17
49,1,5:43.0,E. Turner misses 3-pt jump shot from 25 ft,,12,17
50,1,5:42.0,,Defensive rebound by W. Chandler,12,17
51,1,5:28.0,,Personal foul by M. Thornton (drawn by W. Chandler),12,17
52,1,5:18.0,,J. Nelson makes 2-pt jump shot from 21 ft,12,19
53,1,4:54.0,T. Zeller misses 2-pt hook shot from 5 ft,,12,19
54,1,4:53.0,,Defensive rebound by J. Hickson,12,19
55,1,4:45.0,,Turnover by J. Nelson (bad pass; steal by B. Bass),12,19
56,1,4:34.0,T. Zeller misses 2-pt hook shot from 6 ft,,12,19
57,1,4:33.0,,Defensive rebound by J. Hickson,12,19
58,1,4:25.0,,W. Chandler misses 2-pt layup from 2 ft,12,19
59,1,4:24.0,Defensive rebound by B. Bass,,12,19
60,1,4:09.0,M. Thornton misses 3-pt jump shot from 24 ft,,12,19
61,1,4:08.0,Offensive rebound by B. Bass,,12,19
62,1,3:57.0,M. Thornton makes 2-pt layup from 2 ft (assist by E. Turner),,14,19
63,1,3:43.0,,J. Nelson makes 3-pt jump shot from 25 ft,14,22
64,1,3:28.0,,D. Gallinari enters the game for W. Chandler,14,22
65,1,3:12.0,M. Smart misses 3-pt jump shot from 24 ft,,14,22
66,1,3:10.0,,Defensive rebound by K. Faried,14,22
67,1,2:57.0,,Denver full timeout,14,22
68,1,2:57.0,T. Prince enters the game for E. Turner,,14,22
69,1,2:48.0,,Turnover by Team (shot clock),14,22
70,1,2:29.0,Shooting foul by K. Faried (drawn by B. Bass),,14,22
71,1,2:29.0,B. Bass makes free throw 1 of 2,,15,22
72,1,2:29.0,B. Bass makes free throw 2 of 2,,16,22
73,1,2:14.0,,K. Faried misses 2-pt layup from 1 ft,16,22
74,1,2:13.0,Defensive rebound by B. Bass,,16,22
75,1,2:00.0,Turnover by T. Prince (bad pass; steal by J. Hickson),,16,22
76,1,1:53.0,,Shooting foul by M. Smart (drawn by J. Hickson),16,22
77,1,1:53.0,,J. Hickson makes free throw 1 of 2,16,23
78,1,1:53.0,G. Wallace enters the game for B. Bass,,16,23
79,1,1:53.0,,R. Foye enters the game for J. Nelson,16,23
80,1,1:53.0,,J. Hickson misses free throw 2 of 2,16,23
81,1,1:52.0,,Offensive rebound by K. Faried,16,23
82,1,1:45.0,,D. Gallinari misses 3-pt jump shot from 25 ft,16,23
83,1,1:43.0,,Offensive rebound by J. Hickson,16,23
84,1,1:39.0,,A. Afflalo makes 3-pt jump shot from 25 ft (assist by J. Hickson),16,26
85,1,1:17.0,T. Prince misses 2-pt jump shot from 15 ft,,16,26
86,1,1:16.0,,Defensive rebound by J. Hickson,16,26
87,1,1:11.0,,Shooting foul by T. Zeller (drawn by K. Faried),16,26
88,1,1:11.0,,K. Faried misses free throw 1 of 2,16,26
89,1,1:11.0,,Offensive rebound by Team,16,26
90,1,1:11.0,J. Sullinger enters the game for T. Zeller,,16,26
91,1,1:11.0,,K. Faried misses free throw 2 of 2,16,26
92,1,1:10.0,Defensive rebound by J. Sullinger,,16,26
93,1,0:50.0,J. Sullinger makes 2-pt jump shot from 9 ft,,18,26
94,1,0:41.0,,Personal foul by M. Smart (drawn by K. Faried),18,26
95,1,0:41.0,,K. Faried makes free throw 1 of 2,18,27
96,1,0:41.0,P. Pressey enters the game for M. Smart,,18,27
97,1,0:41.0,,K. Faried makes free throw 2 of 2,18,28
98,1,0:34.0,Shooting foul by R. Foye (drawn by P. Pressey),,18,28
99,1,0:34.0,P. Pressey makes free throw 1 of 2,,19,28
100,1,0:34.0,P. Pressey makes free throw 2 of 2,,20,28
101,1,0:20.0,,D. Gallinari misses 2-pt layup from 1 ft (block by T. Prince),20,28
102,1,0:18.0,Defensive rebound by J. Sullinger,,20,28
103,1,0:02.0,M. Thornton misses 2-pt layup from 2 ft (block by K. Faried),,20,28
104,1,0:01.0,Offensive rebound by T. Prince,,20,28
105,2,11:41.0,,D. Gallinari misses 2-pt jump shot from 17 ft,20,28
106,2,11:40.0,,Offensive rebound by J. Hickson,20,28
107,2,11:37.0,,Turnover by J. Hickson (lost ball; steal by G. Wallace),20,28
108,2,11:31.0,T. Prince makes 2-pt jump shot from 19 ft (assist by P. Pressey),,22,28
109,2,11:13.0,,Turnover by R. Foye (lost ball),22,28
110,2,10:59.0,T. Prince misses 3-pt jump shot from 23 ft,,22,28
111,2,10:58.0,Offensive rebound by J. Sullinger,,22,28
112,2,10:46.0,J. Sullinger misses 2-pt jump shot from 5 ft,,22,28
113,2,10:45.0,,Defensive rebound by D. Arthur,22,28
114,2,10:41.0,,Personal foul by P. Pressey (drawn by W. Chandler),22,28
115,2,10:37.0,,Turnover by D. Arthur (bad pass; steal by J. Sullinger),22,28
116,2,10:19.0,J. Sullinger makes 2-pt jump shot from 18 ft,,24,28
117,2,9:57.0,,W. Chandler makes 2-pt jump shot from 5 ft,24,30
118,2,9:44.0,J. Sullinger misses 3-pt jump shot from 25 ft,,24,30
119,2,9:43.0,,Defensive rebound by D. Arthur,24,30
120,2,9:36.0,,Turnover by R. Foye (bad pass; steal by J. Sullinger),24,30
121,2,9:30.0,Turnover by P. Pressey (bad pass; steal by D. Arthur),,24,30
122,2,9:20.0,,W. Chandler makes 2-pt jump shot from 19 ft,24,32
123,2,8:58.0,Offensive foul by T. Prince (drawn by D. Gallinari),,24,32
124,2,8:58.0,Turnover by T. Prince (offensive foul),,24,32
125,2,8:58.0,Official timeout,,24,32
126,2,8:58.0,A. Bradley enters the game for M. Thornton,,24,32
127,2,8:38.0,,R. Foye misses 3-pt jump shot from 26 ft,24,32
128,2,8:37.0,,Offensive rebound by W. Chandler,24,32
129,2,8:32.0,,D. Gallinari misses 3-pt jump shot from 26 ft,24,32
130,2,8:32.0,Defensive rebound by Team,,24,32
131,2,8:18.0,A. Bradley makes 3-pt jump shot from 22 ft (assist by P. Pressey),,27,32
132,2,8:05.0,,Shooting foul by J. Sullinger (drawn by J. Hickson),27,32
133,2,8:05.0,,J. Hickson makes free throw 1 of 2,27,33
134,2,8:05.0,,J. Hickson misses free throw 2 of 2,27,33
135,2,8:03.0,Defensive rebound by T. Prince,,27,33
136,2,7:43.0,J. Sullinger misses 2-pt jump shot from 18 ft,,27,33
137,2,7:42.0,Offensive rebound by Team,,27,33
138,2,7:42.0,,J. Nelson enters the game for J. Hickson,27,33
139,2,7:35.0,P. Pressey makes 3-pt jump shot from 25 ft (assist by J. Sullinger),,30,33
140,2,7:19.0,,R. Foye misses 3-pt jump shot from 25 ft,30,33
141,2,7:18.0,Defensive rebound by Team,,30,33
142,2,7:05.0,Turnover by J. Sullinger (lost ball; steal by W. Chandler),,30,33
143,2,7:00.0,,D. Gallinari misses 2-pt layup at rim (block by T. Prince),30,33
144,2,6:59.0,,Offensive rebound by Team,30,33
145,2,6:59.0,,A. Afflalo enters the game for R. Foye,30,33
146,2,6:59.0,,K. Faried enters the game for D. Gallinari,30,33
147,2,6:52.0,,J. Nelson makes 2-pt jump shot from 18 ft (assist by A. Afflalo),30,35
148,2,6:38.0,J. Sullinger makes 2-pt layup from 2 ft,,32,35
