,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHICAGO_ACTION,SAN ANTONIO_SCORE,CHICAGO_SCORE
0,1,11:48.0,Personal foul by J. Butler (drawn by T. Parker),,0,0
1,1,11:33.0,T. Parker makes 3-pt jump shot from 24 ft,,3,0
2,1,11:14.0,,D. Rose misses 3-pt jump shot from 23 ft,3,0
3,1,11:13.0,Defensive rebound by T. Splitter,,3,0
4,1,10:54.0,T. Splitter makes 2-pt hook shot from 6 ft (assist by T. Duncan),,5,0
5,1,10:34.0,,T. Snell misses 3-pt jump shot from 25 ft,5,0
6,1,10:33.0,Defensive rebound by K. Leonard,,5,0
7,1,10:21.0,K. Leonard misses 2-pt jump shot from 21 ft,,5,0
8,1,10:20.0,,Defensive rebound by T. Gibson,5,0
9,1,10:12.0,,Shooting foul by T. Splitter (drawn by T. Snell),5,0
10,1,10:12.0,,T. Snell makes free throw 1 of 2,5,1
11,1,10:12.0,,T. Snell makes free throw 2 of 2,5,2
12,1,9:46.0,T. Duncan makes 2-pt jump shot from 12 ft (assist by T. Parker),,7,2
13,1,9:26.0,,P. Gasol makes 2-pt jump shot from 17 ft (assist by T. Snell),7,4
14,1,9:12.0,T. Parker misses 2-pt jump shot from 19 ft,,7,4
15,1,9:11.0,,Defensive rebound by T. Gibson,7,4
16,1,8:54.0,,J. Butler misses 2-pt jump shot from 18 ft,7,4
17,1,8:53.0,Defensive rebound by K. Leonard,,7,4
18,1,8:39.0,T. Splitter misses 2-pt layup from 2 ft (block by T. Gibson),,7,4
19,1,8:37.0,,Defensive rebound by P. Gasol,7,4
20,1,8:26.0,,T. Gibson misses 2-pt jump shot from 11 ft,7,4
21,1,8:24.0,,Offensive rebound by D. Rose,7,4
22,1,8:23.0,,D. Rose makes 2-pt layup from 1 ft,7,6
23,1,8:07.0,T. Duncan misses 2-pt jump shot from 5 ft (block by P. Gasol),,7,6
24,1,8:05.0,,Defensive rebound by T. Gibson,7,6
25,1,8:00.0,,D. Rose makes 2-pt layup from 1 ft,7,8
