,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DALLAS_ACTION,HOUSTON_SCORE,DALLAS_SCORE
0,1,11:40.0,T. Jones misses 2-pt hook shot from 4 ft,,0,0
1,1,11:38.0,,Defensive rebound by R. Felton,0,0
2,1,11:28.0,,Personal foul by J. Harden (drawn by R. Jefferson),0,0
3,1,11:16.0,,M. Ellis makes 3-pt jump shot from 24 ft (assist by R. Jefferson),0,3
4,1,10:59.0,T. Ariza misses 2-pt jump shot from 5 ft,,0,3
5,1,10:58.0,Offensive rebound by T. Jones,,0,3
6,1,10:58.0,Personal foul by R. Jefferson (drawn by T. Jones),,0,3
7,1,10:44.0,J. Terry misses 2-pt hook shot from 6 ft,,0,3
8,1,10:43.0,Offensive rebound by T. Jones,,0,3
9,1,10:43.0,Shooting foul by T. Chandler (drawn by T. Jones),,0,3
10,1,10:43.0,T. Jones makes free throw 1 of 2,,1,3
11,1,10:43.0,T. Jones makes free throw 2 of 2,,2,3
12,1,10:20.0,,D. Nowitzki makes 2-pt jump shot from 10 ft,2,5
13,1,9:55.0,D. Howard makes 2-pt jump shot from 4 ft,,4,5
14,1,9:35.0,,R. Felton misses 3-pt jump shot from 25 ft,4,5
15,1,9:34.0,,Offensive rebound by T. Chandler,4,5
16,1,9:30.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,4,5
17,1,9:29.0,,Offensive rebound by T. Chandler,4,5
18,1,9:29.0,,Turnover by T. Chandler (step out of bounds),4,5
19,1,9:17.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),,7,5
20,1,9:01.0,,Turnover by D. Nowitzki (bad pass),7,5
21,1,8:56.0,Personal foul by R. Felton (drawn by J. Harden),,7,5
22,1,8:56.0,,D. Harris enters the game for R. Felton,7,5
23,1,8:43.0,T. Jones makes 2-pt jump shot from 7 ft,,9,5
24,1,8:35.0,,D. Harris makes 2-pt jump shot from 15 ft,9,7
25,1,8:21.0,Turnover by J. Harden (bad pass; steal by R. Jefferson),,9,7
26,1,8:12.0,,D. Harris misses 3-pt jump shot from 24 ft,9,7
27,1,8:11.0,Defensive rebound by T. Jones,,9,7
28,1,8:02.0,J. Harden makes 3-pt jump shot from 24 ft (assist by T. Ariza),,12,7
29,1,7:53.0,,T. Chandler makes 2-pt dunk at rim (assist by M. Ellis),12,9
30,1,7:29.0,Turnover by T. Ariza (bad pass; steal by R. Jefferson),,12,9
31,1,7:25.0,Offensive charge foul by R. Jefferson (drawn by T. Ariza),,12,9
32,1,7:25.0,,Turnover by R. Jefferson (offensive foul),12,9
33,1,7:25.0,,A. Aminu enters the game for D. Nowitzki,12,9
34,1,7:18.0,T. Jones makes 2-pt dunk at rim (assist by J. Harden),,14,9
35,1,7:17.0,,Dallas full timeout,14,9
36,1,7:17.0,,C. Villanueva enters the game for R. Jefferson,14,9
37,1,6:58.0,,D. Harris makes 2-pt layup from 2 ft (assist by M. Ellis),14,11
38,1,6:47.0,J. Terry makes 2-pt layup from 1 ft,,16,11
39,1,6:32.0,,M. Ellis misses 2-pt jump shot from 16 ft,16,11
40,1,6:31.0,Defensive rebound by D. Howard,,16,11
41,1,6:26.0,Personal foul by A. Aminu (drawn by J. Terry),,16,11
42,1,6:16.0,D. Howard misses 2-pt hook shot from 11 ft,,16,11
43,1,6:15.0,Offensive rebound by D. Howard,,16,11
44,1,6:11.0,J. Harden makes 3-pt jump shot from 24 ft (assist by D. Howard),,19,11
45,1,6:00.0,,Personal block foul by T. Ariza (drawn by M. Ellis),19,11
46,1,5:55.0,,Shooting foul by T. Jones (drawn by T. Chandler),19,11
