,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DENVER_ACTION,LA CLIPPERS_SCORE,DENVER_SCORE
0,1,11:34.0,C. Paul makes 3-pt jump shot from 25 ft (assist by B. Griffin),,3,0
1,1,11:12.0,,Turnover by J. Nelson (lost ball),3,0
2,1,10:56.0,M. Barnes makes 3-pt jump shot from 26 ft (assist by J. Redick),,6,0
3,1,10:31.0,,Turnover by Team (shot clock),6,0
4,1,10:19.0,J. Redick makes 2-pt jump shot from 19 ft (assist by C. Paul),,8,0
5,1,10:03.0,,J. Nelson misses 3-pt jump shot from 25 ft,8,0
6,1,10:01.0,Defensive rebound by D. Jordan,,8,0
7,1,9:53.0,B. Griffin makes 2-pt jump shot from 20 ft (assist by C. Paul),,10,0
8,1,9:46.0,,Denver full timeout,10,0
9,1,9:33.0,,K. Faried misses 2-pt layup from 2 ft,10,0
10,1,9:32.0,Defensive rebound by D. Jordan,,10,0
11,1,9:25.0,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),,12,0
12,1,9:06.0,,W. Chandler misses 2-pt jump shot from 16 ft,12,0
13,1,9:04.0,Defensive rebound by C. Paul,,12,0
14,1,8:56.0,B. Griffin misses 2-pt jump shot from 20 ft,,12,0
15,1,8:54.0,Offensive rebound by C. Paul,,12,0
16,1,8:54.0,Shooting foul by J. Nelson (drawn by D. Jordan),,12,0
17,1,8:54.0,D. Jordan misses free throw 1 of 2,,12,0
18,1,8:54.0,Offensive rebound by Team,,12,0
19,1,8:54.0,D. Jordan makes free throw 2 of 2,,13,0
20,1,8:41.0,,J. Hickson makes 2-pt jump shot from 6 ft (assist by R. Foye),13,2
21,1,8:24.0,M. Barnes makes 3-pt jump shot from 23 ft (assist by B. Griffin),,16,2
22,1,8:04.0,,Turnover by K. Faried (bad pass; steal by C. Paul),16,2
23,1,7:53.0,J. Redick makes 2-pt jump shot from 20 ft (assist by B. Griffin),,18,2
24,1,7:33.0,,R. Foye misses 2-pt jump shot from 18 ft,18,2
25,1,7:32.0,Defensive rebound by Team,,18,2
26,1,7:19.0,B. Griffin misses 2-pt jump shot from 20 ft,,18,2
27,1,7:18.0,,Defensive rebound by K. Faried,18,2
28,1,7:12.0,,W. Chandler misses 2-pt layup at rim,18,2
29,1,7:11.0,,Offensive rebound by W. Chandler,18,2
30,1,7:10.0,,W. Chandler makes 2-pt layup from 1 ft,18,4
31,1,7:10.0,,Violation by Team (delay of game),18,4
32,1,6:54.0,C. Paul makes 3-pt jump shot from 24 ft (assist by B. Griffin),,21,4
33,1,6:42.0,,J. Hickson makes 2-pt jump shot from 5 ft (assist by J. Nelson),21,6
34,1,6:28.0,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),,24,6
35,1,6:18.0,,Offensive foul by J. Hickson (drawn by J. Redick),24,6
36,1,6:18.0,,Turnover by J. Hickson (offensive foul),24,6
37,1,6:06.0,J. Redick misses 3-pt jump shot from 25 ft,,24,6
38,1,6:04.0,Offensive rebound by B. Griffin,,24,6
39,1,6:00.0,M. Barnes misses 3-pt jump shot from 24 ft,,24,6
40,1,5:57.0,,Defensive rebound by K. Faried,24,6
41,1,5:47.0,,J. Hickson misses 2-pt layup from 2 ft,24,6
42,1,5:45.0,,Offensive rebound by J. Hickson,24,6
43,1,5:45.0,,J. Hickson misses 2-pt tip-in at rim,24,6
44,1,5:44.0,,Offensive rebound by K. Faried,24,6
45,1,5:41.0,,R. Foye misses 3-pt jump shot from 25 ft,24,6
46,1,5:40.0,Defensive rebound by C. Paul,,24,6
47,1,5:28.0,B. Griffin misses 2-pt dunk at rim,,24,6
48,1,5:27.0,,Defensive rebound by W. Chandler,24,6
49,1,5:21.0,,J. Nelson misses 3-pt jump shot from 24 ft,24,6
50,1,5:19.0,,Offensive rebound by K. Faried,24,6
51,1,5:14.0,,Turnover by W. Chandler (lost ball; steal by B. Griffin),24,6
52,1,5:14.0,Shooting foul by W. Chandler (drawn by B. Griffin),,24,6
53,1,5:14.0,,Denver full timeout,24,6
54,1,5:14.0,,W. Barton enters the game for J. Hickson,24,6
55,1,5:14.0,,J. Nurkić enters the game for R. Foye,24,6
56,1,5:14.0,A. Rivers enters the game for J. Redick,,24,6
57,1,5:14.0,B. Griffin misses free throw 1 of 2,,24,6
58,1,5:14.0,Offensive rebound by Team,,24,6
59,1,5:14.0,B. Griffin misses free throw 2 of 2,,24,6
60,1,5:13.0,,Defensive rebound by W. Chandler,24,6
61,1,4:47.0,,W. Barton misses 3-pt jump shot from 25 ft,24,6
62,1,4:45.0,,Offensive rebound by J. Nelson,24,6
63,1,4:42.0,,K. Faried makes 2-pt dunk at rim (assist by J. Nelson),24,8
64,1,4:18.0,B. Griffin misses 2-pt hook shot from 3 ft,,24,8
65,1,4:18.0,,Defensive rebound by Team,24,8
66,1,4:18.0,G. Davis enters the game for B. Griffin,,24,8
67,1,4:06.0,,K. Faried misses 2-pt jump shot from 5 ft,24,8
68,1,4:05.0,Defensive rebound by D. Jordan,,24,8
69,1,3:56.0,C. Paul misses 2-pt jump shot from 16 ft,,24,8
70,1,3:55.0,Offensive rebound by M. Barnes,,24,8
71,1,3:51.0,Turnover by M. Barnes (bad pass; steal by J. Nurkić),,24,8
72,1,3:46.0,,W. Chandler misses 3-pt jump shot from 24 ft,24,8
73,1,3:45.0,,Offensive rebound by Team,24,8
74,1,3:45.0,Loose ball foul by C. Paul (drawn by K. Faried),,24,8
75,1,3:45.0,S. Hawes enters the game for D. Jordan,,24,8
76,1,3:42.0,Violation by G. Davis (kicked ball),,24,8
77,1,3:37.0,,J. Nurkić makes 2-pt hook shot from 5 ft (assist by W. Chandler),24,10
78,1,3:23.0,Turnover by C. Paul (bad pass; steal by J. Nelson),,24,10
79,1,3:20.0,,Shooting foul by A. Rivers (drawn by W. Barton),24,10
80,1,3:20.0,,W. Barton makes free throw 1 of 2,24,11
81,1,3:20.0,,R. Foye enters the game for J. Nelson,24,11
82,1,3:20.0,L. Hudson enters the game for C. Paul,,24,11
83,1,3:20.0,,W. Barton makes free throw 2 of 2,24,12
84,1,2:58.0,L. Hudson misses 2-pt jump shot from 22 ft (block by R. Foye),,24,12
85,1,2:56.0,,Defensive rebound by J. Nurkić,24,12
86,1,2:52.0,,K. Faried misses 2-pt dunk at rim,24,12
87,1,2:48.0,Defensive rebound by L. Hudson,,24,12
88,1,2:46.0,Turnover by L. Hudson (bad pass; steal by W. Barton),,24,12
89,1,2:43.0,,R. Foye misses 3-pt jump shot from 25 ft,24,12
90,1,2:41.0,Defensive rebound by S. Hawes,,24,12
91,1,2:37.0,LA Clippers full timeout,,24,12
92,1,2:37.0,H. Türkoğlu enters the game for M. Barnes,,24,12
93,1,2:37.0,,J. Hickson enters the game for W. Chandler,24,12
94,1,2:37.0,,G. Harris enters the game for K. Faried,24,12
95,1,2:18.0,H. Türkoğlu makes 3-pt jump shot from 25 ft,,27,12
96,1,2:06.0,,Personal foul by G. Davis (drawn by J. Nurkić),27,12
97,1,1:48.0,,R. Foye makes 2-pt jump shot from 15 ft (assist by W. Barton),27,14
98,1,1:30.0,L. Hudson makes 2-pt layup from 2 ft,,29,14
99,1,1:13.0,,G. Harris misses 3-pt jump shot from 24 ft,29,14
100,1,1:12.0,,Offensive rebound by J. Nurkić,29,14
101,1,1:09.0,,J. Nurkić misses 2-pt jump shot from 4 ft,29,14
102,1,1:06.0,Defensive rebound by A. Rivers,,29,14
103,1,0:50.0,L. Hudson misses 3-pt jump shot from 25 ft,,29,14
104,1,0:48.0,,Defensive rebound by W. Barton,29,14
105,1,0:41.0,,Shooting foul by G. Davis (drawn by J. Nurkić),29,14
106,1,0:41.0,,J. Nurkić misses free throw 1 of 2,29,14
107,1,0:41.0,,Offensive rebound by Team,29,14
108,1,0:41.0,,J. Nurkić makes free throw 2 of 2,29,15
109,1,0:28.0,S. Hawes misses 3-pt jump shot from 25 ft,,29,15
110,1,0:26.0,,Defensive rebound by J. Nurkić,29,15
111,1,0:10.0,,W. Barton misses 2-pt jump shot from 3 ft (block by H. Türkoğlu),29,15
112,1,0:09.0,,Offensive rebound by Team,29,15
113,1,0:03.0,,J. Hickson misses 2-pt jump shot from 5 ft (block by S. Hawes),29,15
114,1,0:01.0,Defensive rebound by G. Davis,,29,15
115,2,11:35.0,,J. Lauvergne misses 2-pt jump shot from 20 ft,29,15
116,2,11:33.0,Defensive rebound by L. Hudson,,29,15
117,2,11:15.0,G. Davis makes 2-pt layup from 1 ft,,31,15
118,2,11:15.0,Shooting foul by J. Nurkić (drawn by G. Davis),,31,15
119,2,11:15.0,,K. Faried enters the game for J. Nurkić,31,15
120,2,11:15.0,G. Davis misses free throw 1 of 1,,31,15
121,2,11:13.0,,Defensive rebound by J. Lauvergne,31,15
122,2,11:01.0,,G. Harris misses 2-pt jump shot from 14 ft,31,15
123,2,10:59.0,Defensive rebound by S. Hawes,,31,15
124,2,10:39.0,A. Rivers misses 2-pt jump shot from 9 ft,,31,15
125,2,10:38.0,,Defensive rebound by K. Faried,31,15
126,2,10:33.0,,W. Barton misses 3-pt jump shot from 23 ft,31,15
127,2,10:32.0,,Offensive rebound by Team,31,15
128,2,10:32.0,,J. Nelson enters the game for J. Lauvergne,31,15
129,2,10:32.0,B. Griffin enters the game for G. Davis,,31,15
130,2,10:22.0,,W. Barton misses 3-pt jump shot from 24 ft,31,15
131,2,10:20.0,,Offensive rebound by J. Nelson,31,15
132,2,10:18.0,,Turnover by J. Nelson (bad pass; steal by L. Hudson),31,15
133,2,10:08.0,S. Hawes misses 2-pt jump shot from 13 ft,,31,15
134,2,10:08.0,Offensive rebound by Team,,31,15
135,2,10:08.0,,Loose ball foul by W. Barton (drawn by H. Türkoğlu),31,15
136,2,10:00.0,S. Hawes misses 3-pt jump shot from 26 ft,,31,15
137,2,9:57.0,Offensive rebound by B. Griffin,,31,15
138,2,9:57.0,B. Griffin makes 2-pt tip-in at rim,,33,15
139,2,9:42.0,,Shooting foul by S. Hawes (drawn by W. Barton),33,15
140,2,9:42.0,,W. Barton makes free throw 1 of 2,33,16
141,2,9:42.0,,W. Chandler enters the game for G. Harris,33,16
142,2,9:42.0,,W. Barton misses free throw 2 of 2,33,16
143,2,9:41.0,Defensive rebound by L. Hudson,,33,16
144,2,9:28.0,Personal foul by W. Chandler (drawn by S. Hawes),,33,16
145,2,9:28.0,,J. Lauvergne enters the game for W. Barton,33,16
146,2,9:13.0,S. Hawes makes 2-pt layup from 2 ft,,35,16
147,2,9:03.0,,Personal foul by L. Hudson (drawn by R. Foye),35,16
148,2,9:03.0,J. Redick enters the game for L. Hudson,,35,16
149,2,8:52.0,,Turnover by J. Nelson (bad pass; steal by A. Rivers),35,16
150,2,8:41.0,H. Türkoğlu misses 3-pt jump shot from 24 ft,,35,16
151,2,8:39.0,,Defensive rebound by R. Foye,35,16
152,2,8:26.0,,J. Lauvergne makes 2-pt layup from 1 ft,35,18
153,2,8:04.0,B. Griffin makes 2-pt jump shot from 15 ft,,37,18
154,2,7:40.0,,J. Nelson makes 2-pt layup from 1 ft,37,20
155,2,7:40.0,,Technical foul by Team,37,20
156,2,7:40.0,Official timeout,,37,20
157,2,7:40.0,D. Jordan enters the game for A. Rivers,,37,20
158,2,7:40.0,C. Paul enters the game for S. Hawes,,37,20
159,2,7:40.0,M. Barnes enters the game for H. Türkoğlu,,37,20
160,2,7:40.0,J. Redick makes technical free throw,,38,20
161,2,7:29.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Griffin),,41,20
162,2,7:14.0,,K. Faried misses 2-pt layup from 2 ft,41,20
163,2,7:13.0,Defensive rebound by Team,,41,20
164,2,7:11.0,Shooting foul by J. Nelson (drawn by J. Redick),,41,20
165,2,7:11.0,J. Redick makes free throw 1 of 2,,42,20
166,2,7:11.0,J. Redick makes free throw 2 of 2,,43,20
167,2,7:04.0,Violation by D. Jordan (kicked ball),,43,20
168,2,6:54.0,,J. Nelson misses 3-pt jump shot from 25 ft,43,20
169,2,6:51.0,,Offensive rebound by W. Chandler,43,20
170,2,6:47.0,,W. Chandler misses 2-pt jump shot from 16 ft,43,20
171,2,6:46.0,Defensive rebound by D. Jordan,,43,20
172,2,6:34.0,M. Barnes misses 3-pt jump shot from 25 ft,,43,20
173,2,6:33.0,Offensive rebound by Team,,43,20
