,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,UTAH_ACTION,SAN ANTONIO_SCORE,UTAH_SCORE
0,1,11:42.0,A. Baynes misses 2-pt hook shot from 6 ft,,0,0
1,1,11:41.0,,Defensive rebound by R. Gobert,0,0
2,1,11:23.0,,G. Hayward misses 2-pt jump shot from 8 ft,0,0
3,1,11:22.0,Defensive rebound by T. Duncan,,0,0
4,1,11:10.0,K. Leonard makes 2-pt jump shot from 13 ft,,2,0
5,1,10:48.0,,R. Gobert misses 2-pt layup from 3 ft (block by T. Duncan),2,0
6,1,10:47.0,,Offensive rebound by R. Gobert,2,0
7,1,10:47.0,,R. Gobert misses 2-pt tip-in from 3 ft,2,0
8,1,10:46.0,Defensive rebound by D. Green,,2,0
9,1,10:37.0,Turnover by T. Duncan (bad pass; steal by D. Favors),,2,0
10,1,10:14.0,,D. Favors misses 2-pt layup from 4 ft,2,0
11,1,10:13.0,Defensive rebound by D. Green,,2,0
12,1,10:05.0,T. Duncan makes 2-pt layup from 2 ft (assist by T. Parker),,4,0
13,1,9:47.0,,J. Ingles misses 2-pt jump shot from 5 ft,4,0
14,1,9:47.0,,Offensive rebound by R. Gobert,4,0
15,1,9:44.0,,D. Exum makes 3-pt jump shot from 25 ft (assist by J. Ingles),4,3
16,1,9:29.0,T. Duncan misses 2-pt jump shot from 21 ft,,4,3
17,1,9:27.0,,Defensive rebound by D. Favors,4,3
18,1,9:13.0,,D. Exum makes 2-pt layup from 1 ft,4,5
19,1,8:57.0,A. Baynes makes 2-pt jump shot from 14 ft (assist by T. Parker),,6,5
20,1,8:32.0,,D. Exum misses 2-pt jump shot from 16 ft,6,5
21,1,8:29.0,,Offensive rebound by R. Gobert,6,5
22,1,8:29.0,,R. Gobert misses 2-pt tip-in from 2 ft,6,5
23,1,8:29.0,,Offensive rebound by D. Favors,6,5
24,1,8:29.0,,Personal foul by D. Green (drawn by D. Favors),6,5
25,1,8:22.0,,Turnover by J. Ingles (bad pass; steal by K. Leonard),6,5
26,1,8:16.0,D. Green makes 2-pt layup from 1 ft (assist by K. Leonard),,8,5
27,1,8:11.0,,Shooting foul by A. Baynes (drawn by G. Hayward),8,5
28,1,8:11.0,,G. Hayward makes free throw 1 of 2,8,6
29,1,8:11.0,,G. Hayward makes free throw 2 of 2,8,7
30,1,7:53.0,T. Parker misses 2-pt jump shot from 18 ft,,8,7
31,1,7:51.0,,Defensive rebound by R. Gobert,8,7
32,1,7:32.0,,D. Favors misses 2-pt jump shot from 17 ft,8,7
33,1,7:31.0,Defensive rebound by T. Parker,,8,7
34,1,7:18.0,T. Duncan misses 2-pt layup from 3 ft (block by D. Favors),,8,7
35,1,7:16.0,,Defensive rebound by G. Hayward,8,7
36,1,7:08.0,,D. Favors makes 2-pt dunk at rim (assist by G. Hayward),8,9
37,1,6:53.0,Turnover by D. Green (lost ball; steal by G. Hayward),,8,9
38,1,6:49.0,,R. Gobert makes 2-pt dunk at rim (assist by J. Ingles),8,11
39,1,6:49.0,San Antonio full timeout,,8,11
40,1,6:49.0,M. Ginóbili enters the game for A. Baynes,,8,11
41,1,6:49.0,B. Diaw enters the game for D. Green,,8,11
42,1,6:34.0,Turnover by T. Parker (bad pass; steal by D. Exum),,8,11
43,1,6:28.0,,J. Ingles makes 2-pt layup from 3 ft (assist by D. Exum),8,13
44,1,6:13.0,Personal foul by D. Favors (drawn by K. Leonard),,8,13
45,1,6:05.0,Shooting foul by D. Favors (drawn by K. Leonard),,8,13
46,1,6:05.0,K. Leonard makes free throw 1 of 2,,9,13
47,1,6:05.0,,T. Booker enters the game for D. Favors,9,13
48,1,6:05.0,,T. Burke enters the game for D. Exum,9,13
49,1,6:05.0,K. Leonard misses free throw 2 of 2,,9,13
50,1,6:03.0,,Defensive rebound by R. Gobert,9,13
51,1,5:54.0,,Shooting foul by T. Duncan (drawn by G. Hayward),9,13
52,1,5:54.0,,G. Hayward makes free throw 1 of 2,9,14
53,1,5:54.0,,G. Hayward makes free throw 2 of 2,9,15
54,1,5:33.0,T. Duncan makes 2-pt jump shot from 14 ft,,11,15
55,1,5:22.0,,T. Booker misses 2-pt jump shot from 13 ft,11,15
56,1,5:19.0,Defensive rebound by K. Leonard,,11,15
57,1,5:19.0,Personal foul by R. Gobert (drawn by T. Duncan),,11,15
58,1,5:19.0,P. Mills enters the game for T. Parker,,11,15
59,1,5:02.0,M. Ginóbili misses 3-pt jump shot from 24 ft,,11,15
60,1,5:00.0,Offensive rebound by T. Duncan,,11,15
61,1,4:58.0,T. Duncan misses 2-pt layup from 1 ft (block by R. Gobert),,11,15
62,1,4:56.0,Offensive rebound by K. Leonard,,11,15
63,1,4:51.0,K. Leonard misses 2-pt layup from 3 ft,,11,15
64,1,4:50.0,,Defensive rebound by R. Gobert,11,15
65,1,4:45.0,,Turnover by T. Booker (lost ball; steal by K. Leonard),11,15
66,1,4:37.0,T. Duncan misses 2-pt jump shot from 19 ft,,11,15
67,1,4:36.0,,Defensive rebound by R. Gobert,11,15
68,1,4:27.0,,G. Hayward makes 2-pt jump shot from 17 ft,11,17
69,1,4:05.0,K. Leonard misses 2-pt jump shot from 18 ft,,11,17
70,1,4:03.0,Offensive rebound by T. Duncan,,11,17
71,1,3:53.0,T. Duncan misses 2-pt jump shot from 4 ft (block by R. Gobert),,11,17
72,1,3:53.0,Offensive rebound by Team,,11,17
73,1,3:53.0,T. Splitter enters the game for T. Duncan,,11,17
74,1,3:53.0,,E. Millsap enters the game for J. Ingles,11,17
75,1,3:51.0,M. Ginóbili makes 2-pt jump shot from 16 ft (assist by B. Diaw),,13,17
76,1,3:38.0,,Shooting foul by P. Mills (drawn by G. Hayward),13,17
77,1,3:38.0,,G. Hayward makes free throw 1 of 2,13,18
78,1,3:38.0,,G. Hayward makes free throw 2 of 2,13,19
79,1,3:26.0,Turnover by M. Ginóbili (bad pass; steal by R. Gobert),,13,19
80,1,3:20.0,,R. Gobert makes 2-pt dunk at rim (assist by G. Hayward),13,21
81,1,3:14.0,,Offensive charge foul by M. Ginóbili (drawn by E. Millsap),13,21
82,1,3:14.0,Turnover by M. Ginóbili (offensive foul),,13,21
83,1,3:14.0,M. Belinelli enters the game for K. Leonard,,13,21
84,1,2:54.0,,T. Burke makes 2-pt jump shot from 14 ft,13,23
85,1,2:40.0,M. Ginóbili makes 2-pt layup from 1 ft,,15,23
86,1,2:34.0,,Shooting foul by T. Splitter (drawn by G. Hayward),15,23
87,1,2:34.0,,Utah full timeout,15,23
88,1,2:34.0,,G. Hayward misses free throw 1 of 2,15,23
89,1,2:34.0,,Offensive rebound by Team,15,23
90,1,2:34.0,,G. Hayward makes free throw 2 of 2,15,24
91,1,2:20.0,Turnover by M. Ginóbili (lost ball; steal by E. Millsap),,15,24
