,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,LA CLIPPERS_ACTION,CLEVELAND_SCORE,LA CLIPPERS_SCORE
0,1,11:43.0,,J. Redick misses 2-pt jump shot from 19 ft,0,0
1,1,11:41.0,Defensive rebound by Team,,0,0
2,1,11:28.0,J. Smith makes 2-pt jump shot from 19 ft (assist by K. Irving),,2,0
3,1,11:14.0,,M. Barnes makes 3-pt jump shot from 25 ft (assist by B. Griffin),2,3
4,1,10:55.0,J. Smith misses 2-pt jump shot from 15 ft,,2,3
5,1,10:54.0,,Defensive rebound by C. Paul,2,3
6,1,10:42.0,,B. Griffin makes 2-pt jump shot from 17 ft (assist by C. Paul),2,5
7,1,10:18.0,J. Smith misses 3-pt jump shot from 25 ft,,2,5
8,1,10:17.0,Offensive rebound by T. Thompson,,2,5
9,1,10:17.0,T. Thompson makes 2-pt layup from 1 ft,,4,5
10,1,10:17.0,Shooting foul by D. Jordan (drawn by T. Thompson),,4,5
11,1,10:17.0,T. Thompson makes free throw 1 of 1,,5,5
12,1,10:00.0,,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),5,7
13,1,9:40.0,Turnover by T. Mozgov (3 sec),,5,7
14,1,9:33.0,,C. Paul misses 2-pt jump shot from 15 ft,5,7
15,1,9:31.0,,Offensive rebound by D. Jordan,5,7
16,1,9:29.0,,D. Jordan makes 2-pt layup at rim,5,9
17,1,9:18.0,Shooting foul by C. Paul (drawn by K. Irving),,5,9
18,1,9:18.0,K. Irving makes free throw 1 of 2,,6,9
19,1,9:18.0,K. Irving makes free throw 2 of 2,,7,9
20,1,9:07.0,,Def 3 sec tech foul by T. Mozgov,7,9
21,1,9:07.0,,C. Paul makes technical free throw,7,10
22,1,8:56.0,,B. Griffin misses 2-pt hook shot from 7 ft,7,10
23,1,8:51.0,,Offensive rebound by D. Jordan,7,10
24,1,8:51.0,,D. Jordan makes 2-pt tip-in at rim,7,12
25,1,8:37.0,L. James misses 3-pt jump shot from 26 ft,,7,12
26,1,8:36.0,,Defensive rebound by D. Jordan,7,12
27,1,8:34.0,,Turnover by D. Jordan (bad pass; steal by J. Smith),7,12
28,1,8:27.0,K. Irving makes 3-pt jump shot from 24 ft (assist by L. James),,10,12
29,1,8:19.0,,M. Barnes misses 3-pt jump shot from 23 ft,10,12
30,1,8:17.0,Defensive rebound by T. Thompson,,10,12
31,1,8:11.0,K. Irving makes 2-pt layup from 1 ft,,12,12
32,1,7:59.0,,J. Redick makes 3-pt jump shot from 23 ft (assist by C. Paul),12,15
33,1,7:43.0,Turnover by T. Thompson (bad pass; steal by C. Paul),,12,15
34,1,7:43.0,,Personal foul by T. Thompson (drawn by C. Paul),12,15
35,1,7:30.0,,M. Barnes misses 2-pt layup from 2 ft (block by T. Thompson),12,15
36,1,7:27.0,Defensive rebound by L. James,,12,15
37,1,7:21.0,T. Thompson misses 2-pt layup from 2 ft (block by D. Jordan),,12,15
38,1,7:19.0,,Defensive rebound by C. Paul,12,15
39,1,7:14.0,,C. Paul misses 3-pt jump shot from 24 ft,12,15
40,1,7:12.0,Defensive rebound by K. Irving,,12,15
41,1,7:06.0,K. Irving misses 3-pt jump shot from 24 ft,,12,15
42,1,7:03.0,,Defensive rebound by D. Jordan,12,15
43,1,6:52.0,,J. Redick misses 3-pt jump shot from 25 ft,12,15
44,1,6:51.0,Defensive rebound by L. James,,12,15
45,1,6:48.0,J. Smith makes 2-pt dunk at rim (assist by L. James),,14,15
46,1,6:40.0,,Personal foul by J. Smith (drawn by J. Redick),14,15
