,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MIAMI_ACTION,PHILADELPHIA_SCORE,MIAMI_SCORE
0,1,11:43.0,,Turnover by D. Wade (bad pass; steal by R. Covington),0,0
1,1,11:33.0,R. Covington misses 2-pt layup from 1 ft,,0,0
2,1,11:32.0,,Defensive rebound by H. Whiteside,0,0
3,1,11:25.0,,D. Wade misses 3-pt jump shot from 24 ft,0,0
4,1,11:24.0,Defensive rebound by H. Sims,,0,0
5,1,11:07.0,N. Noel misses 2-pt hook shot from 8 ft,,0,0
6,1,11:06.0,,Defensive rebound by U. Haslem,0,0
7,1,10:51.0,,D. Wade makes 2-pt jump shot from 14 ft,0,2
8,1,10:43.0,N. Noel misses 2-pt layup at rim,,0,2
9,1,10:42.0,Offensive rebound by N. Noel,,0,2
10,1,10:40.0,N. Noel misses 2-pt hook shot from 4 ft,,0,2
11,1,10:39.0,,Defensive rebound by H. Whiteside,0,2
12,1,10:29.0,,U. Haslem misses 2-pt jump shot from 19 ft,0,2
13,1,10:28.0,,Offensive rebound by H. Whiteside,0,2
14,1,10:27.0,,H. Whiteside makes 2-pt layup from 1 ft,0,4
15,1,10:06.0,H. Sims makes 2-pt layup from 2 ft (assist by R. Covington),,2,4
16,1,9:42.0,,U. Haslem misses 2-pt layup from 2 ft,2,4
17,1,9:41.0,,Offensive rebound by H. Whiteside,2,4
18,1,9:38.0,,H. Whiteside misses 2-pt hook shot from 3 ft (block by N. Noel),2,4
19,1,9:37.0,Defensive rebound by L. Mbah a Moute,,2,4
20,1,9:28.0,H. Sims misses 2-pt jump shot from 16 ft,,2,4
21,1,9:27.0,Offensive rebound by N. Noel,,2,4
22,1,9:19.0,I. Canaan misses 3-pt jump shot from 25 ft,,2,4
23,1,9:18.0,,Defensive rebound by G. Dragić,2,4
24,1,8:54.0,,L. Deng misses 2-pt jump shot from 18 ft,2,4
25,1,8:53.0,,Offensive rebound by U. Haslem,2,4
26,1,8:47.0,,Turnover by D. Wade (bad pass; steal by R. Covington),2,4
27,1,8:41.0,R. Covington makes 3-pt jump shot from 25 ft,,5,4
28,1,8:27.0,,Shooting foul by I. Canaan (drawn by L. Deng),5,4
29,1,8:27.0,,L. Deng misses free throw 1 of 2,5,4
30,1,8:27.0,,Offensive rebound by Team,5,4
31,1,8:27.0,,L. Deng makes free throw 2 of 2,5,5
32,1,8:13.0,L. Mbah a Moute makes 2-pt jump shot from 20 ft (assist by H. Sims),,7,5
33,1,8:05.0,,Turnover by D. Wade (bad pass; steal by R. Covington),7,5
34,1,7:58.0,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by H. Sims),,9,5
35,1,7:39.0,,L. Deng makes 3-pt jump shot from 24 ft (assist by G. Dragić),9,8
36,1,7:28.0,N. Noel makes 2-pt layup from 1 ft (assist by L. Mbah a Moute),,11,8
37,1,7:09.0,,L. Deng misses 2-pt layup from 1 ft,11,8
38,1,7:08.0,Defensive rebound by H. Sims,,11,8
39,1,7:02.0,Turnover by I. Canaan (bad pass; steal by G. Dragić),,11,8
40,1,6:57.0,,D. Wade makes 2-pt jump shot from 5 ft (assist by L. Deng),11,10
41,1,6:40.0,Personal foul by U. Haslem (drawn by H. Sims),,11,10
42,1,6:33.0,R. Covington misses 3-pt jump shot from 24 ft,,11,10
43,1,6:32.0,,Defensive rebound by D. Wade,11,10
44,1,6:31.0,,Shooting foul by L. Mbah a Moute (drawn by L. Deng),11,10
45,1,6:31.0,,L. Deng makes free throw 1 of 2,11,11
46,1,6:31.0,,L. Deng makes free throw 2 of 2,11,12
47,1,6:31.0,Philadelphia full timeout,,11,12
