,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DENVER_ACTION,SACRAMENTO_SCORE,DENVER_SCORE
0,1,11:43.0,,K. Faried misses 2-pt hook shot from 7 ft,0,0
1,1,11:41.0,Defensive rebound by R. Gay,,0,0
2,1,11:29.0,Turnover by R. Gay (bad pass),,0,0
3,1,11:12.0,,K. Faried misses 2-pt layup from 1 ft,0,0
4,1,11:11.0,Defensive rebound by J. Thompson,,0,0
5,1,11:06.0,B. McLemore misses 3-pt jump shot from 24 ft,,0,0
6,1,11:05.0,Offensive rebound by J. Thompson,,0,0
7,1,10:50.0,D. Cousins misses 2-pt layup from 1 ft,,0,0
8,1,10:48.0,,Defensive rebound by T. Mozgov,0,0
9,1,10:39.0,,A. Afflalo misses 3-pt jump shot from 24 ft,0,0
10,1,10:38.0,Defensive rebound by D. Collison,,0,0
11,1,10:29.0,J. Thompson misses 2-pt layup from 1 ft (block by T. Mozgov),,0,0
12,1,10:27.0,,Defensive rebound by T. Mozgov,0,0
13,1,10:20.0,,T. Lawson misses 2-pt layup at rim,0,0
14,1,10:19.0,,Offensive rebound by T. Lawson,0,0
15,1,10:18.0,,Shooting foul by D. Cousins (drawn by T. Lawson),0,0
16,1,10:18.0,,T. Lawson misses free throw 1 of 2,0,0
17,1,10:18.0,,Offensive rebound by Team,0,0
18,1,10:18.0,,T. Lawson makes free throw 2 of 2,0,1
19,1,10:01.0,D. Collison misses 2-pt jump shot from 16 ft,,0,1
20,1,9:59.0,,Defensive rebound by W. Chandler,0,1
21,1,9:54.0,,Turnover by W. Chandler (traveling),0,1
22,1,9:38.0,R. Gay misses 2-pt jump shot from 15 ft,,0,1
23,1,9:37.0,,Defensive rebound by Team,0,1
24,1,9:27.0,,T. Mozgov makes 2-pt layup from 1 ft (assist by T. Lawson),0,3
25,1,9:20.0,Personal foul by W. Chandler (drawn by D. Cousins),,0,3
26,1,9:13.0,D. Cousins misses 2-pt jump shot from 14 ft,,0,3
27,1,9:12.0,,Defensive rebound by W. Chandler,0,3
28,1,9:04.0,,T. Mozgov misses 2-pt jump shot from 14 ft,0,3
29,1,9:02.0,Defensive rebound by B. McLemore,,0,3
30,1,8:57.0,D. Cousins makes 2-pt layup from 1 ft (assist by D. Collison),,2,3
31,1,8:57.0,Shooting foul by T. Mozgov (drawn by D. Cousins),,2,3
32,1,8:57.0,D. Cousins makes free throw 1 of 1,,3,3
33,1,8:38.0,,A. Afflalo misses 2-pt jump shot from 11 ft,3,3
34,1,8:36.0,Defensive rebound by J. Thompson,,3,3
35,1,8:29.0,Personal foul by W. Chandler (drawn by J. Thompson),,3,3
36,1,8:21.0,R. Gay makes 2-pt jump shot from 8 ft,,5,3
37,1,8:07.0,,W. Chandler misses 3-pt jump shot from 25 ft,5,3
38,1,8:05.0,Defensive rebound by D. Collison,,5,3
39,1,7:58.0,Personal foul by T. Mozgov (drawn by D. Cousins),,5,3
40,1,7:58.0,,J. McGee enters the game for T. Mozgov,5,3
41,1,7:48.0,R. Gay misses 2-pt jump shot from 3 ft,,5,3
42,1,7:47.0,,Defensive rebound by J. McGee,5,3
43,1,7:40.0,,A. Afflalo misses 2-pt jump shot from 9 ft,5,3
44,1,7:37.0,Defensive rebound by B. McLemore,,5,3
45,1,7:37.0,Offensive foul by R. Gay (drawn by W. Chandler),,5,3
46,1,7:37.0,Turnover by R. Gay (offensive foul),,5,3
47,1,7:28.0,,T. Lawson misses 2-pt layup from 2 ft,5,3
48,1,7:27.0,Defensive rebound by Team,,5,3
49,1,7:12.0,Turnover by B. McLemore (step out of bounds),,5,3
50,1,6:52.0,,J. McGee misses 2-pt layup at rim,5,3
51,1,6:50.0,Defensive rebound by D. Cousins,,5,3
52,1,6:45.0,D. Collison misses 2-pt layup from 2 ft (block by J. McGee),,5,3
53,1,6:41.0,Offensive rebound by J. Thompson,,5,3
54,1,6:41.0,J. Thompson makes 2-pt tip-in at rim,,7,3
55,1,6:38.0,,Shooting foul by D. Collison (drawn by T. Lawson),7,3
56,1,6:38.0,,T. Lawson makes free throw 1 of 2,7,4
57,1,6:38.0,,T. Lawson makes free throw 2 of 2,7,5
58,1,6:29.0,Personal foul by J. McGee (drawn by D. Cousins),,7,5
59,1,6:29.0,D. Cousins misses free throw 1 of 2,,7,5
60,1,6:29.0,Offensive rebound by Team,,7,5
61,1,6:29.0,D. Cousins makes free throw 2 of 2,,8,5
62,1,6:26.0,,Personal foul by B. McLemore (drawn by A. Afflalo),8,5
63,1,6:14.0,Violation by D. Cousins (def goaltending),,8,5
64,1,6:14.0,,J. McGee makes 2-pt layup from 1 ft (assist by T. Lawson),8,7
65,1,5:52.0,D. Cousins misses 2-pt jump shot from 3 ft (block by J. McGee),,8,7
66,1,5:51.0,Offensive rebound by Team,,8,7
67,1,5:50.0,Turnover by Team (shot clock),,8,7
68,1,5:50.0,,Denver full timeout,8,7
69,1,5:50.0,N. Stauskas enters the game for R. Gay,,8,7
70,1,5:50.0,O. Casspi enters the game for B. McLemore,,8,7
71,1,5:50.0,,D. Gallinari enters the game for W. Chandler,8,7
72,1,5:35.0,,Turnover by J. McGee (bad pass; steal by D. Cousins),8,7
73,1,5:21.0,Personal foul by J. McGee (drawn by D. Cousins),,8,7
74,1,5:21.0,D. Cousins makes free throw 1 of 2,,9,7
75,1,5:21.0,,J. Nurkić enters the game for J. McGee,9,7
76,1,5:21.0,D. Cousins makes free throw 2 of 2,,10,7
77,1,5:13.0,,Personal foul by N. Stauskas (drawn by A. Afflalo),10,7
78,1,5:08.0,,Personal foul by N. Stauskas (drawn by A. Afflalo),10,7
79,1,5:08.0,,A. Afflalo makes free throw 1 of 2,10,8
80,1,5:08.0,,A. Afflalo makes free throw 2 of 2,10,9
81,1,4:44.0,D. Cousins makes 2-pt layup from 1 ft,,12,9
82,1,4:35.0,,K. Faried misses 2-pt jump shot from 4 ft,12,9
83,1,4:34.0,,Offensive rebound by J. Nurkić,12,9
84,1,4:33.0,,J. Nurkić misses 2-pt layup from 2 ft,12,9
85,1,4:33.0,Defensive rebound by Team,,12,9
86,1,4:33.0,,Technical foul by K. Faried,12,9
