,QUARTER,TIME_REMAINING,MIAMI_ACTION,CLEVELAND_ACTION,MIAMI_SCORE,CLEVELAND_SCORE
0,1,11:38.0,C. Bosh misses 2-pt jump shot from 3 ft (block by T. Mozgov),,0,0
1,1,11:36.0,Offensive rebound by H. Whiteside,,0,0
2,1,11:35.0,H. Whiteside makes 2-pt layup at rim,,2,0
3,1,11:11.0,,L. James misses 2-pt jump shot from 11 ft,2,0
4,1,11:08.0,Defensive rebound by M. Chalmers,,2,0
5,1,11:03.0,Turnover by L. Deng (bad pass; steal by K. Love),,2,0
6,1,10:44.0,,J. Smith misses 2-pt jump shot from 18 ft,2,0
7,1,10:43.0,,Offensive rebound by T. Mozgov,2,0
8,1,10:37.0,,K. Irving makes 3-pt jump shot from 27 ft (assist by T. Mozgov),2,3
9,1,10:22.0,C. Bosh makes 2-pt jump shot from 19 ft (assist by S. Napier),,4,3
10,1,10:02.0,,K. Love makes 2-pt jump shot from 16 ft (assist by J. Smith),4,5
11,1,9:45.0,S. Napier makes 2-pt jump shot from 10 ft,,6,5
12,1,9:26.0,,T. Mozgov makes 2-pt layup at rim,6,7
13,1,9:09.0,Turnover by L. Deng (lost ball; steal by K. Love),,6,7
14,1,9:04.0,,L. James makes 2-pt dunk at rim (assist by T. Mozgov),6,9
15,1,8:49.0,Turnover by L. Deng (lost ball),,6,9
16,1,8:39.0,,K. Love misses 3-pt jump shot from 26 ft,6,9
17,1,8:38.0,,Offensive rebound by K. Irving,6,9
18,1,8:33.0,,J. Smith misses 3-pt jump shot from 26 ft,6,9
19,1,8:32.0,Defensive rebound by H. Whiteside,,6,9
20,1,8:26.0,S. Napier misses 3-pt jump shot from 25 ft,,6,9
21,1,8:24.0,,Defensive rebound by T. Mozgov,6,9
22,1,8:16.0,,Personal foul by M. Chalmers (drawn by J. Smith),6,9
23,1,8:09.0,,Turnover by L. James (bad pass; steal by S. Napier),6,9
24,1,8:03.0,M. Chalmers makes 2-pt layup at rim (assist by S. Napier),,8,9
25,1,7:51.0,,Turnover by K. Irving (lost ball; steal by C. Bosh),8,9
26,1,7:38.0,H. Whiteside misses 2-pt jump shot from 6 ft,,8,9
27,1,7:37.0,,Defensive rebound by L. James,8,9
28,1,7:25.0,,L. James makes 2-pt layup at rim,8,11
29,1,7:07.0,M. Chalmers makes 2-pt jump shot from 5 ft (assist by L. Deng),,10,11
30,1,6:47.0,,K. Love makes 2-pt jump shot from 4 ft (assist by L. James),10,13
31,1,6:36.0,S. Napier makes 2-pt jump shot from 15 ft,,12,13
32,1,6:21.0,,K. Irving misses 2-pt layup from 1 ft,12,13
33,1,6:20.0,,Offensive rebound by K. Irving,12,13
34,1,6:16.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by K. Irving),12,16
35,1,6:16.0,Miami full timeout,,12,16
36,1,6:16.0,,I. Shumpert enters the game for L. James,12,16
37,1,6:01.0,C. Bosh misses 2-pt jump shot from 6 ft,,12,16
38,1,6:01.0,,Defensive rebound by Team,12,16
39,1,5:51.0,,K. Irving misses 2-pt jump shot from 9 ft (block by S. Napier),12,16
40,1,5:49.0,Defensive rebound by S. Napier,,12,16
41,1,5:46.0,L. Deng makes 2-pt dunk at rim (assist by S. Napier),,14,16
42,1,5:34.0,,Turnover by I. Shumpert (lost ball; steal by L. Deng),14,16
43,1,5:27.0,L. Deng misses 3-pt jump shot from 23 ft,,14,16
44,1,5:26.0,Offensive rebound by H. Whiteside,,14,16
45,1,5:23.0,H. Whiteside misses 2-pt layup at rim (block by K. Love),,14,16
46,1,5:22.0,,Defensive rebound by K. Love,14,16
47,1,5:18.0,,T. Mozgov makes 2-pt dunk at rim (assist by J. Smith),14,18
48,1,5:00.0,C. Bosh misses 2-pt jump shot from 18 ft,,14,18
49,1,5:00.0,Offensive rebound by Team,,14,18
50,1,5:00.0,,Loose ball foul by J. Smith (drawn by L. Deng),14,18
51,1,5:00.0,D. Granger enters the game for C. Bosh,,14,18
52,1,4:46.0,Turnover by L. Deng (lost ball),,14,18
53,1,4:35.0,,Personal foul by D. Granger (drawn by K. Love),14,18
54,1,4:35.0,,T. Thompson enters the game for T. Mozgov,14,18
55,1,4:27.0,,K. Love makes 2-pt hook shot from 6 ft (assist by J. Smith),14,20
56,1,4:16.0,M. Chalmers misses 3-pt jump shot from 22 ft,,14,20
57,1,4:15.0,,Defensive rebound by K. Love,14,20
58,1,4:10.0,,J. Smith makes 2-pt dunk at rim (assist by K. Love),14,22
59,1,3:52.0,Turnover by H. Whiteside (3 sec),,14,22
60,1,3:52.0,N. Cole enters the game for S. Napier,,14,22
61,1,3:52.0,,L. James enters the game for J. Smith,14,22
62,1,3:42.0,,Personal foul by D. Granger (drawn by K. Love),14,22
63,1,3:42.0,C. Andersen enters the game for H. Whiteside,,14,22
64,1,3:42.0,C. Bosh enters the game for D. Granger,,14,22
65,1,3:35.0,,I. Shumpert makes 3-pt jump shot from 22 ft (assist by K. Love),14,25
66,1,3:16.0,Personal foul by L. James (drawn by M. Chalmers),,14,25
67,1,3:06.0,C. Bosh makes 2-pt jump shot from 5 ft,,16,25
68,1,2:59.0,,Personal foul by N. Cole (drawn by K. Irving),16,25
69,1,2:59.0,,Cleveland full timeout,16,25
70,1,2:52.0,,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),16,28
71,1,2:29.0,N. Cole makes 2-pt jump shot from 8 ft (assist by C. Bosh),,18,28
72,1,2:06.0,,T. Thompson makes 2-pt layup from 1 ft (assist by K. Love),18,30
73,1,2:06.0,,Shooting foul by M. Chalmers (drawn by T. Thompson),18,30
74,1,2:06.0,D. Granger enters the game for L. Deng,,18,30
75,1,2:06.0,,T. Mozgov enters the game for K. Love,18,30
76,1,2:06.0,T. Johnson enters the game for M. Chalmers,,18,30
77,1,2:06.0,,T. Thompson makes free throw 1 of 1,18,31
78,1,1:47.0,D. Granger misses 3-pt jump shot from 24 ft,,18,31
79,1,1:46.0,,Defensive rebound by K. Irving,18,31
80,1,1:34.0,,T. Thompson makes 2-pt jump shot from 4 ft (assist by L. James),18,33
81,1,1:20.0,Turnover by C. Bosh (bad pass; steal by K. Irving),,18,33
82,1,1:00.0,,K. Irving makes 3-pt jump shot from 23 ft (assist by L. James),18,36
83,1,0:41.0,Turnover by N. Cole (lost ball; steal by L. James),,18,36
84,1,0:37.0,,T. Thompson makes 2-pt dunk at rim (assist by L. James),18,38
85,1,0:21.0,C. Bosh makes 2-pt jump shot from 18 ft,,20,38
86,1,0:04.0,,L. James misses 2-pt jump shot from 6 ft,20,38
87,1,0:01.0,Defensive rebound by T. Johnson,,20,38
88,1,0:00.0,T. Johnson makes 3-pt jump shot from 41 ft,,23,38
89,2,11:41.0,,Turnover by L. James (bad pass; steal by N. Cole),23,38
90,2,11:26.0,Personal foul by T. Mozgov (drawn by C. Andersen),,23,38
91,2,11:19.0,N. Cole misses 3-pt jump shot from 25 ft,,23,38
92,2,11:18.0,,Defensive rebound by L. James,23,38
93,2,11:09.0,,T. Thompson makes 2-pt jump shot from 10 ft (assist by L. James),23,40
94,2,10:47.0,C. Andersen makes 2-pt jump shot from 16 ft (assist by T. Johnson),,25,40
95,2,10:29.0,,I. Shumpert makes 3-pt jump shot from 24 ft (assist by M. Dellavedova),25,43
96,2,10:12.0,T. Johnson misses 2-pt jump shot from 4 ft (block by T. Mozgov),,25,43
97,2,10:10.0,,Defensive rebound by L. James,25,43
98,2,10:09.0,,L. James makes 2-pt layup from 1 ft,25,45
99,2,10:09.0,,Shooting foul by C. Bosh (drawn by L. James),25,45
100,2,10:09.0,,L. James makes free throw 1 of 1,25,46
101,2,10:05.0,Miami full timeout,,25,46
102,2,10:05.0,,K. Love enters the game for T. Mozgov,25,46
103,2,9:57.0,N. Cole misses 2-pt jump shot from 15 ft,,25,46
104,2,9:56.0,,Defensive rebound by K. Love,25,46
105,2,9:50.0,,L. James makes 2-pt dunk at rim,25,48
106,2,9:27.0,C. Bosh misses 2-pt jump shot from 11 ft,,25,48
107,2,9:25.0,,Defensive rebound by K. Love,25,48
108,2,9:16.0,,Shooting foul by T. Johnson (drawn by L. James),25,48
109,2,9:16.0,,L. James makes free throw 1 of 2,25,49
110,2,9:16.0,L. Deng enters the game for D. Granger,,25,49
111,2,9:16.0,M. Chalmers enters the game for N. Cole,,25,49
112,2,9:16.0,,L. James makes free throw 2 of 2,25,50
113,2,8:58.0,T. Johnson misses 2-pt jump shot from 21 ft,,25,50
114,2,8:57.0,,Defensive rebound by T. Thompson,25,50
115,2,8:50.0,,L. James misses 2-pt layup at rim,25,50
116,2,8:48.0,Defensive rebound by L. Deng,,25,50
117,2,8:38.0,Shooting foul by I. Shumpert (drawn by M. Chalmers),,25,50
118,2,8:38.0,M. Chalmers makes free throw 1 of 2,,26,50
119,2,8:38.0,M. Chalmers misses free throw 2 of 2,,26,50
120,2,8:38.0,,Defensive rebound by T. Thompson,26,50
121,2,8:18.0,,T. Thompson makes 2-pt jump shot from 4 ft (assist by M. Dellavedova),26,52
122,2,8:11.0,Personal foul by I. Shumpert (drawn by T. Johnson),,26,52
123,2,8:11.0,,J. Smith enters the game for L. James,26,52
124,2,8:11.0,,K. Irving enters the game for I. Shumpert,26,52
125,2,7:58.0,Shooting foul by T. Thompson (drawn by C. Bosh),,26,52
126,2,7:58.0,C. Bosh makes free throw 1 of 2,,27,52
127,2,7:58.0,H. Whiteside enters the game for C. Andersen,,27,52
128,2,7:58.0,C. Bosh makes free throw 2 of 2,,28,52
129,2,7:34.0,,M. Dellavedova misses 3-pt jump shot from 24 ft,28,52
130,2,7:33.0,Defensive rebound by L. Deng,,28,52
131,2,7:24.0,H. Whiteside makes 2-pt dunk at rim (assist by M. Chalmers),,30,52
132,2,7:11.0,,T. Thompson makes 2-pt dunk at rim (assist by K. Irving),30,54
133,2,6:56.0,C. Bosh misses 3-pt jump shot from 24 ft,,30,54
134,2,6:54.0,,Defensive rebound by K. Irving,30,54
135,2,6:49.0,,Turnover by K. Irving (lost ball),30,54
136,2,6:49.0,,T. Mozgov enters the game for T. Thompson,30,54
137,2,6:30.0,M. Chalmers misses 2-pt jump shot from 7 ft,,30,54
138,2,6:30.0,,Defensive rebound by Team,30,54
