,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHICAGO_ACTION,BROOKLYN_SCORE,CHICAGO_SCORE
0,1,11:54.0,B. Lopez makes 2-pt jump shot from 10 ft (assist by J. Johnson),,2,0
1,1,11:32.0,,P. Gasol misses 2-pt hook shot from 12 ft,2,0
2,1,11:31.0,Defensive rebound by B. Lopez,,2,0
3,1,11:24.0,S. Karasev misses 2-pt layup from 2 ft (block by J. Butler),,2,0
4,1,11:23.0,,Defensive rebound by D. Rose,2,0
5,1,11:10.0,,J. Butler misses 3-pt jump shot from 24 ft,2,0
6,1,11:09.0,Defensive rebound by Team,,2,0
7,1,10:48.0,J. Johnson makes 2-pt jump shot from 11 ft,,4,0
8,1,10:24.0,,D. Rose misses 3-pt jump shot from 24 ft,4,0
9,1,10:23.0,,Offensive rebound by Team,4,0
10,1,10:17.0,Loose ball foul by M. Plumlee (drawn by J. Noah),,4,0
11,1,10:17.0,,M. Dunleavy makes 2-pt jump shot from 20 ft (assist by D. Rose),4,2
12,1,10:01.0,B. Lopez misses 2-pt jump shot from 16 ft,,4,2
13,1,10:00.0,,Defensive rebound by P. Gasol,4,2
14,1,9:54.0,,J. Noah makes 2-pt layup from 1 ft (assist by D. Rose),4,4
15,1,9:39.0,B. Lopez misses 2-pt layup from 1 ft,,4,4
16,1,9:38.0,Offensive rebound by M. Plumlee,,4,4
17,1,9:38.0,M. Plumlee makes 2-pt tip-in from 1 ft,,6,4
18,1,9:19.0,,M. Dunleavy makes 3-pt jump shot from 25 ft,6,7
19,1,9:09.0,Turnover by J. Johnson (lost ball; steal by J. Noah),,6,7
20,1,9:05.0,,P. Gasol makes 2-pt dunk at rim (assist by D. Rose),6,9
21,1,8:53.0,Brooklyn full timeout,,6,9
22,1,8:44.0,B. Lopez makes 2-pt layup from 1 ft,,8,9
23,1,8:32.0,,Turnover by D. Rose (lost ball; steal by M. Plumlee),8,9
24,1,8:17.0,S. Karasev misses 2-pt jump shot from 3 ft,,8,9
25,1,8:15.0,,Defensive rebound by M. Dunleavy,8,9
26,1,8:05.0,,M. Dunleavy misses 3-pt jump shot from 26 ft,8,9
27,1,8:04.0,Defensive rebound by M. Plumlee,,8,9
28,1,7:42.0,J. Jack misses 2-pt jump shot from 11 ft,,8,9
29,1,7:42.0,,Defensive rebound by J. Noah,8,9
30,1,7:26.0,,J. Butler makes 2-pt jump shot from 16 ft,8,11
31,1,7:10.0,B. Lopez misses 2-pt jump shot from 9 ft,,8,11
32,1,7:09.0,,Defensive rebound by D. Rose,8,11
33,1,7:03.0,,D. Rose misses 2-pt jump shot from 9 ft,8,11
34,1,7:02.0,Defensive rebound by M. Plumlee,,8,11
35,1,6:49.0,B. Lopez makes 2-pt jump shot from 9 ft (assist by J. Jack),,10,11
36,1,6:30.0,,M. Dunleavy misses 3-pt jump shot from 25 ft,10,11
37,1,6:29.0,Defensive rebound by M. Plumlee,,10,11
38,1,6:22.0,J. Jack misses 2-pt jump shot from 16 ft (block by D. Rose),,10,11
39,1,6:21.0,Offensive rebound by J. Jack,,10,11
40,1,6:10.0,Shooting foul by M. Dunleavy (drawn by S. Karasev),,10,11
41,1,6:10.0,S. Karasev makes free throw 1 of 2,,11,11
42,1,6:10.0,S. Karasev makes free throw 2 of 2,,12,11
43,1,5:49.0,,P. Gasol makes 2-pt layup from 1 ft (assist by J. Butler),12,13
44,1,5:48.0,B. Lopez misses 2-pt jump shot from 17 ft (block by J. Butler),,12,13
45,1,5:47.0,,Defensive rebound by J. Butler,12,13
