,QUARTER,TIME_REMAINING,DENVER_ACTION,UTAH_ACTION,DENVER_SCORE,UTAH_SCORE
0,1,11:52.0,K. Faried makes 2-pt dunk at rim (assist by T. Lawson),,2,0
1,1,11:35.0,,A. Burks misses 2-pt jump shot from 18 ft,2,0
2,1,11:34.0,Defensive rebound by T. Mozgov,,2,0
3,1,11:22.0,Shooting foul by T. Booker (drawn by K. Faried),,2,0
4,1,11:22.0,K. Faried makes free throw 1 of 2,,3,0
5,1,11:22.0,K. Faried misses free throw 2 of 2,,3,0
6,1,11:20.0,,Defensive rebound by E. Freedom,3,0
7,1,11:06.0,,E. Freedom misses 2-pt layup from 2 ft,3,0
8,1,11:04.0,Defensive rebound by T. Mozgov,,3,0
9,1,10:55.0,T. Lawson misses 2-pt jump shot from 20 ft,,3,0
10,1,10:53.0,,Defensive rebound by A. Burks,3,0
11,1,10:48.0,,Turnover by G. Hayward (bad pass; steal by T. Lawson),3,0
12,1,10:44.0,Turnover by T. Lawson (traveling),,3,0
13,1,10:19.0,,A. Burks misses 2-pt jump shot from 13 ft,3,0
14,1,10:18.0,,Offensive rebound by T. Booker,3,0
15,1,10:05.0,,A. Burks makes 2-pt layup from 1 ft (assist by E. Freedom),3,2
16,1,9:41.0,A. Afflalo misses 3-pt jump shot from 24 ft,,3,2
17,1,9:39.0,,Defensive rebound by T. Booker,3,2
18,1,9:23.0,,A. Burks makes 2-pt layup from 2 ft,3,4
19,1,9:01.0,W. Chandler misses 3-pt jump shot from 24 ft,,3,4
20,1,8:59.0,,Defensive rebound by T. Booker,3,4
21,1,8:46.0,,G. Hayward misses 3-pt jump shot from 24 ft,3,4
22,1,8:45.0,Defensive rebound by K. Faried,,3,4
23,1,8:34.0,K. Faried misses 2-pt jump shot from 3 ft,,3,4
24,1,8:33.0,Offensive rebound by K. Faried,,3,4
25,1,8:25.0,K. Faried makes 2-pt jump shot from 3 ft (assist by T. Lawson),,5,4
26,1,8:13.0,,Shooting foul by W. Chandler (drawn by G. Hayward),5,4
27,1,8:13.0,,G. Hayward makes free throw 1 of 2,5,5
28,1,8:13.0,,G. Hayward makes free throw 2 of 2,5,6
29,1,8:05.0,T. Lawson makes 2-pt layup from 2 ft,,7,6
30,1,7:49.0,,T. Burke makes 3-pt jump shot from 24 ft (assist by A. Burks),7,9
31,1,7:33.0,Turnover by T. Lawson (bad pass; steal by T. Booker),,7,9
32,1,7:28.0,,G. Hayward makes 2-pt dunk at rim (assist by T. Booker),7,11
33,1,7:04.0,W. Chandler makes 2-pt hook shot from 4 ft (assist by T. Mozgov),,9,11
34,1,6:50.0,,E. Freedom misses 2-pt jump shot from 19 ft,9,11
35,1,6:50.0,Defensive rebound by Team,,9,11
36,1,6:37.0,K. Faried misses 2-pt jump shot from 11 ft,,9,11
37,1,6:36.0,,Defensive rebound by E. Freedom,9,11
38,1,6:27.0,,E. Freedom makes 2-pt layup from 1 ft (assist by A. Burks),9,13
