,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PHILADELPHIA_ACTION,SAN ANTONIO_SCORE,PHILADELPHIA_SCORE
0,1,11:37.0,B. Diaw misses 2-pt layup from 1 ft,,0,0
1,1,11:36.0,,Defensive rebound by M. Carter-Williams,0,0
2,1,11:21.0,,L. Mbah a Moute misses 2-pt jump shot from 20 ft,0,0
3,1,11:19.0,Defensive rebound by C. Joseph,,0,0
4,1,11:00.0,K. Leonard misses 2-pt jump shot from 7 ft,,0,0
5,1,10:58.0,Offensive rebound by A. Baynes,,0,0
6,1,10:51.0,C. Joseph misses 2-pt layup from 2 ft,,0,0
7,1,10:49.0,Offensive rebound by A. Baynes,,0,0
8,1,10:49.0,A. Baynes makes 2-pt tip-in from 1 ft,,2,0
9,1,10:28.0,,M. Carter-Williams misses 2-pt jump shot from 17 ft,2,0
10,1,10:27.0,Defensive rebound by A. Baynes,,2,0
11,1,10:22.0,D. Green misses 3-pt jump shot from 26 ft,,2,0
12,1,10:19.0,,Defensive rebound by M. Carter-Williams,2,0
13,1,10:14.0,,Turnover by L. Mbah a Moute (lost ball; steal by K. Leonard),2,0
14,1,10:11.0,Shooting foul by H. Sims (drawn by K. Leonard),,2,0
15,1,10:11.0,K. Leonard makes free throw 1 of 2,,3,0
16,1,10:11.0,K. Leonard makes free throw 2 of 2,,4,0
17,1,10:03.0,,L. Mbah a Moute misses 2-pt dunk at rim,4,0
18,1,10:01.0,Defensive rebound by A. Baynes,,4,0
19,1,9:45.0,D. Green misses 3-pt jump shot from 25 ft,,4,0
20,1,9:42.0,,Defensive rebound by M. Carter-Williams,4,0
21,1,9:37.0,,H. Thompson misses 2-pt jump shot from 22 ft,4,0
22,1,9:37.0,Defensive rebound by Team,,4,0
23,1,9:27.0,Personal foul by B. Davies (drawn by B. Diaw),,4,0
24,1,9:15.0,C. Joseph makes 2-pt jump shot from 6 ft (assist by B. Diaw),,6,0
25,1,8:51.0,,H. Sims makes 2-pt jump shot from 16 ft (assist by B. Davies),6,2
26,1,8:39.0,B. Diaw misses 2-pt jump shot from 4 ft,,6,2
27,1,8:38.0,Offensive rebound by Team,,6,2
28,1,8:38.0,,Loose ball foul by M. Carter-Williams (drawn by B. Diaw),6,2
29,1,8:31.0,K. Leonard makes 2-pt jump shot from 15 ft (assist by D. Green),,8,2
30,1,8:22.0,,Personal foul by C. Joseph (drawn by M. Carter-Williams),8,2
31,1,8:10.0,,B. Davies misses 2-pt jump shot from 12 ft,8,2
32,1,8:09.0,Defensive rebound by A. Baynes,,8,2
33,1,7:57.0,A. Baynes makes 2-pt jump shot from 12 ft (assist by B. Diaw),,10,2
34,1,7:56.0,,Philadelphia full timeout,10,2
35,1,7:46.0,,L. Mbah a Moute makes 2-pt layup from 1 ft,10,4
36,1,7:25.0,C. Joseph makes 2-pt jump shot from 12 ft,,12,4
37,1,7:05.0,,M. Carter-Williams misses 2-pt jump shot from 19 ft,12,4
38,1,7:04.0,Defensive rebound by K. Leonard,,12,4
39,1,6:51.0,K. Leonard misses 3-pt jump shot from 26 ft,,12,4
40,1,6:48.0,Offensive rebound by A. Baynes,,12,4
41,1,6:48.0,A. Baynes misses 2-pt tip-in at rim,,12,4
42,1,6:46.0,,Defensive rebound by H. Sims,12,4
43,1,6:34.0,,M. Carter-Williams makes 3-pt jump shot from 24 ft (assist by H. Thompson),12,7
44,1,6:06.0,C. Joseph misses 3-pt jump shot from 22 ft,,12,7
45,1,6:05.0,,Defensive rebound by H. Thompson,12,7
46,1,5:53.0,,B. Davies misses 2-pt jump shot from 4 ft,12,7
47,1,5:49.0,Defensive rebound by C. Joseph,,12,7
48,1,5:47.0,Turnover by B. Diaw (bad pass),,12,7
49,1,5:47.0,M. Ginóbili enters the game for D. Green,,12,7
50,1,5:47.0,,K. McDaniels enters the game for B. Davies,12,7
51,1,5:37.0,,Shooting foul by A. Baynes (drawn by M. Carter-Williams),12,7
52,1,5:37.0,,M. Carter-Williams misses free throw 1 of 2,12,7
53,1,5:37.0,,Offensive rebound by Team,12,7
54,1,5:37.0,,A. Shved enters the game for H. Thompson,12,7
55,1,5:37.0,J. Ayres enters the game for A. Baynes,,12,7
56,1,5:37.0,,M. Carter-Williams makes free throw 2 of 2,12,8
57,1,5:27.0,C. Joseph misses 2-pt layup from 2 ft,,12,8
58,1,5:25.0,Offensive rebound by J. Ayres,,12,8
59,1,5:25.0,J. Ayres misses 2-pt tip-in from 1 ft,,12,8
60,1,5:23.0,,Defensive rebound by K. McDaniels,12,8
61,1,5:17.0,,A. Shved makes 3-pt jump shot from 23 ft (assist by L. Mbah a Moute),12,11
62,1,4:59.0,J. Ayres misses 2-pt layup at rim,,12,11
63,1,4:57.0,,Defensive rebound by H. Sims,12,11
64,1,4:54.0,,M. Carter-Williams makes 2-pt layup from 1 ft,12,13
65,1,4:35.0,K. Leonard misses 2-pt layup from 1 ft,,12,13
66,1,4:33.0,Offensive rebound by K. Leonard,,12,13
67,1,4:18.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by C. Joseph),,15,13
68,1,4:06.0,,M. Carter-Williams misses 2-pt jump shot from 12 ft,15,13
69,1,4:05.0,Defensive rebound by K. Leonard,,15,13
70,1,3:58.0,M. Ginóbili misses 2-pt layup from 2 ft,,15,13
71,1,3:56.0,,Defensive rebound by M. Carter-Williams,15,13
72,1,3:48.0,,Personal foul by C. Joseph (drawn by H. Sims),15,13
73,1,3:48.0,M. Belinelli enters the game for C. Joseph,,15,13
74,1,3:48.0,M. Bonner enters the game for B. Diaw,,15,13
75,1,3:48.0,,D. Gordon enters the game for L. Mbah a Moute,15,13
76,1,3:48.0,,J. Grant enters the game for H. Sims,15,13
77,1,3:48.0,,R. Covington enters the game for M. Carter-Williams,15,13
78,1,3:48.0,D. Green enters the game for K. Leonard,,15,13
79,1,3:41.0,,J. Grant misses 2-pt jump shot from 4 ft (block by M. Bonner),15,13
80,1,3:39.0,Defensive rebound by J. Ayres,,15,13
81,1,3:21.0,M. Belinelli makes 2-pt jump shot from 17 ft (assist by M. Bonner),,17,13
82,1,3:01.0,,A. Shved misses 2-pt jump shot from 7 ft,17,13
83,1,3:01.0,Defensive rebound by Team,,17,13
84,1,3:01.0,San Antonio full timeout,,17,13
85,1,2:38.0,M. Belinelli misses 2-pt jump shot from 3 ft,,17,13
86,1,2:37.0,Offensive rebound by J. Ayres,,17,13
87,1,2:36.0,Turnover by J. Ayres (bad pass; steal by K. McDaniels),,17,13
88,1,2:31.0,,K. McDaniels makes 2-pt layup from 1 ft,17,15
89,1,2:14.0,J. Ayres misses 2-pt jump shot from 3 ft,,17,15
90,1,2:12.0,,Defensive rebound by K. McDaniels,17,15
91,1,2:06.0,,A. Shved misses 3-pt jump shot from 25 ft,17,15
92,1,2:03.0,Defensive rebound by D. Green,,17,15
93,1,1:56.0,M. Ginóbili makes 2-pt jump shot from 10 ft (assist by M. Bonner),,19,15
94,1,1:56.0,Shooting foul by K. McDaniels (drawn by M. Ginóbili),,19,15
95,1,1:56.0,M. Ginóbili makes free throw 1 of 1,,20,15
96,1,1:45.0,,J. Grant makes 2-pt layup from 1 ft (assist by A. Shved),20,17
97,1,1:26.0,M. Ginóbili makes 3-pt jump shot from 25 ft (assist by D. Green),,23,17
98,1,1:11.0,Offensive charge foul by D. Gordon (drawn by J. Ayres),,23,17
99,1,1:11.0,,Turnover by D. Gordon (offensive foul),23,17
100,1,0:58.0,J. Ayres makes 2-pt dunk at rim (assist by M. Ginóbili),,25,17
101,1,0:40.0,,D. Gordon misses 2-pt jump shot from 20 ft,25,17
102,1,0:38.0,Defensive rebound by M. Belinelli,,25,17
103,1,0:20.0,D. Green misses 2-pt jump shot from 11 ft,,25,17
104,1,0:19.0,,Defensive rebound by K. McDaniels,25,17
105,1,0:18.0,,Personal foul by J. Ayres (drawn by K. McDaniels),25,17
106,1,0:06.0,,A. Shved makes 2-pt layup from 1 ft,25,19
107,1,0:06.0,,Shooting foul by J. Ayres (drawn by A. Shved),25,19
108,1,0:06.0,,J. Sampson enters the game for D. Gordon,25,19
109,1,0:06.0,,A. Shved makes free throw 1 of 1,25,20
110,1,0:02.0,J. Ayres misses 2-pt layup at rim,,25,20
111,1,0:01.0,Offensive rebound by M. Ginóbili,,25,20
112,1,0:01.0,M. Ginóbili makes 2-pt tip-in at rim,,27,20
113,2,11:41.0,,Shooting foul by M. Bonner (drawn by K. McDaniels),27,20
114,2,11:41.0,,K. McDaniels makes free throw 1 of 2,27,21
115,2,11:41.0,,K. McDaniels makes free throw 2 of 2,27,22
