,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA CLIPPERS_ACTION,SAN ANTONIO_SCORE,LA CLIPPERS_SCORE
0,1,11:42.0,T. Parker misses 2-pt jump shot from 20 ft,,0,0
1,1,11:41.0,,Defensive rebound by D. Jordan,0,0
2,1,11:25.0,,B. Griffin misses 2-pt jump shot from 4 ft,0,0
3,1,11:24.0,,Offensive rebound by D. Jordan,0,0
4,1,11:24.0,,D. Jordan misses 2-pt tip-in from 3 ft,0,0
5,1,11:21.0,Defensive rebound by K. Leonard,,0,0
6,1,11:10.0,K. Leonard misses 2-pt layup from 4 ft,,0,0
7,1,11:07.0,,Defensive rebound by B. Griffin,0,0
8,1,10:58.0,,C. Paul makes 2-pt jump shot from 19 ft,0,2
9,1,10:42.0,T. Duncan makes 2-pt jump shot from 8 ft (assist by T. Parker),,2,2
10,1,10:20.0,,M. Barnes misses 2-pt dunk at rim,2,2
11,1,10:19.0,Defensive rebound by T. Duncan,,2,2
12,1,10:11.0,T. Parker misses 2-pt jump shot from 18 ft,,2,2
13,1,10:10.0,,Defensive rebound by M. Barnes,2,2
14,1,9:53.0,,D. Jordan makes 2-pt hook shot from 4 ft (assist by B. Griffin),2,4
15,1,9:41.0,Shooting foul by B. Griffin (drawn by T. Splitter),,2,4
16,1,9:41.0,T. Splitter makes free throw 1 of 2,,3,4
17,1,9:41.0,T. Splitter misses free throw 2 of 2,,3,4
18,1,9:41.0,,Defensive rebound by C. Paul,3,4
19,1,9:26.0,,Turnover by Team (back court),3,4
20,1,9:17.0,T. Parker misses 2-pt layup at rim (block by D. Jordan),,3,4
21,1,9:17.0,Offensive rebound by Team,,3,4
22,1,9:08.0,T. Duncan makes 2-pt layup from 3 ft (assist by T. Splitter),,5,4
23,1,8:46.0,,B. Griffin misses 2-pt jump shot from 18 ft,5,4
24,1,8:43.0,Defensive rebound by T. Duncan,,5,4
25,1,8:28.0,T. Duncan makes 2-pt hook shot from 9 ft,,7,4
26,1,8:28.0,Shooting foul by D. Jordan (drawn by T. Duncan),,7,4
27,1,8:28.0,T. Duncan misses free throw 1 of 1,,7,4
