,QUARTER,TIME_REMAINING,DENVER_ACTION,DETROIT_ACTION,DENVER_SCORE,DETROIT_SCORE
102,1,0:10.0,T. Lawson makes 2-pt jump shot from 12 ft,,21,28
103,1,0:01.0,,J. Lucas III misses 2-pt jump shot from 16 ft,21,28
104,1,0:01.0,Defensive rebound by D. Gallinari,,21,28
105,2,11:45.0,Shooting foul by A. Tolliver (drawn by D. Arthur),,21,28
106,2,11:45.0,D. Arthur makes free throw 1 of 2,,22,28
107,2,11:45.0,D. Arthur makes free throw 2 of 2,,23,28
108,2,11:22.0,,A. Drummond makes 2-pt hook shot from 5 ft,23,30
109,2,11:17.0,Personal foul by J. Lucas III (drawn by T. Lawson),,23,30
110,2,11:06.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by G. Harris),,26,30
111,2,10:50.0,,J. Meeks makes 2-pt jump shot from 7 ft (assist by J. Lucas III),26,32
112,2,10:45.0,Shooting foul by J. Lucas III (drawn by T. Lawson),,26,32
113,2,10:45.0,T. Lawson makes free throw 1 of 2,,27,32
114,2,10:45.0,T. Lawson makes free throw 2 of 2,,28,32
115,2,10:18.0,,C. Butler misses 3-pt jump shot from 26 ft,28,32
116,2,10:16.0,Defensive rebound by J. Hickson,,28,32
117,2,10:13.0,Turnover by T. Lawson (bad pass; steal by A. Tolliver),,28,32
118,2,10:09.0,,Shooting foul by G. Harris (drawn by A. Drummond),28,32
119,2,10:09.0,,A. Drummond misses free throw 1 of 2,28,32
120,2,10:09.0,,Offensive rebound by Team,28,32
121,2,10:09.0,E. Green enters the game for T. Lawson,,28,32
122,2,10:09.0,A. Afflalo enters the game for G. Harris,,28,32
123,2,10:09.0,,A. Drummond misses free throw 2 of 2,28,32
124,2,10:08.0,Defensive rebound by J. Hickson,,28,32
125,2,9:54.0,Turnover by J. Hickson (traveling),,28,32
126,2,9:42.0,,A. Tolliver misses 3-pt jump shot from 25 ft,28,32
127,2,9:42.0,Defensive rebound by Team,,28,32
128,2,9:19.0,D. Arthur makes 2-pt jump shot from 20 ft (assist by D. Gallinari),,30,32
129,2,8:59.0,,Shooting foul by D. Arthur (drawn by A. Drummond),30,32
130,2,8:59.0,Official timeout,,30,32
131,2,8:59.0,W. Chandler enters the game for D. Arthur,,30,32
132,2,8:59.0,,A. Drummond misses free throw 1 of 2,30,32
133,2,8:59.0,,Offensive rebound by Team,30,32
134,2,8:59.0,,A. Drummond makes free throw 2 of 2,30,33
135,2,8:44.0,D. Gallinari misses 2-pt layup from 1 ft,,30,33
136,2,8:42.0,,Defensive rebound by A. Tolliver,30,33
137,2,8:28.0,,C. Butler misses 3-pt jump shot from 23 ft,30,33
138,2,8:27.0,Defensive rebound by D. Gallinari,,30,33
139,2,8:08.0,D. Gallinari misses 3-pt jump shot from 25 ft,,30,33
140,2,8:07.0,,Defensive rebound by A. Tolliver,30,33
141,2,8:00.0,,C. Butler makes 3-pt jump shot from 23 ft (assist by J. Lucas III),30,36
142,2,7:39.0,W. Chandler makes 2-pt layup from 1 ft,,32,36
143,2,7:18.0,,Personal foul by W. Chandler (drawn by C. Butler),32,36
144,2,7:18.0,,G. Monroe enters the game for A. Drummond,32,36
145,2,7:18.0,K. Faried enters the game for D. Gallinari,,32,36
146,2,7:02.0,,C. Butler misses 3-pt jump shot from 26 ft,32,36
147,2,7:01.0,,Offensive rebound by G. Monroe,32,36
148,2,6:59.0,,G. Monroe makes 2-pt layup at rim,32,38
149,2,6:46.0,Shooting foul by A. Tolliver (drawn by K. Faried),,32,38
150,2,6:46.0,K. Faried misses free throw 1 of 2,,32,38
151,2,6:46.0,Offensive rebound by Team,,32,38
152,2,6:46.0,J. Nurkić enters the game for J. Hickson,,32,38
153,2,6:46.0,T. Lawson enters the game for E. Green,,32,38
154,2,6:46.0,K. Faried makes free throw 2 of 2,,33,38
155,2,6:27.0,,G. Monroe misses 2-pt jump shot from 5 ft,33,38
156,2,6:26.0,Defensive rebound by W. Chandler,,33,38
157,2,6:13.0,W. Chandler misses 2-pt jump shot from 19 ft,,33,38
158,2,6:12.0,,Defensive rebound by A. Tolliver,33,38
159,2,6:04.0,,G. Monroe makes 2-pt hook shot from 4 ft (assist by J. Lucas III),33,40
160,2,5:45.0,W. Chandler makes 2-pt hook shot from 5 ft,,35,40
161,2,5:37.0,,J. Lucas III makes 2-pt layup at rim,35,42
162,2,5:21.0,K. Faried makes 2-pt dunk at rim (assist by J. Nurkić),,37,42
163,2,5:04.0,,J. Meeks misses 3-pt jump shot from 26 ft,37,42
164,2,5:03.0,,Offensive rebound by C. Butler,37,42
165,2,4:55.0,,J. Meeks makes 2-pt layup at rim (assist by G. Monroe),37,44
166,2,4:53.0,Denver full timeout,,37,44
167,2,4:53.0,,D. Augustin enters the game for J. Lucas III,37,44
168,2,4:33.0,Turnover by T. Lawson (traveling),,37,44
169,2,4:23.0,,J. Meeks misses 3-pt jump shot from 25 ft,37,44
170,2,4:22.0,Defensive rebound by J. Nurkić,,37,44
171,2,4:11.0,,Offensive charge foul by W. Chandler (drawn by A. Tolliver),37,44
172,2,4:11.0,Turnover by W. Chandler (offensive foul),,37,44
