,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MIAMI_ACTION,WASHINGTON_SCORE,MIAMI_SCORE
0,1,11:38.0,M. Gortat misses 2-pt jump shot from 8 ft,,0,0
1,1,11:37.0,,Defensive rebound by L. Deng,0,0
2,1,11:23.0,,Turnover by L. Deng (bad pass),0,0
3,1,11:08.0,M. Gortat makes 2-pt jump shot from 9 ft (assist by B. Beal),,2,0
4,1,10:42.0,,M. Chalmers misses 2-pt jump shot from 8 ft,2,0
5,1,10:41.0,,Offensive rebound by M. Chalmers,2,0
6,1,10:41.0,,Turnover by Team (shot clock),2,0
7,1,10:27.0,M. Gortat misses 2-pt jump shot from 15 ft,,2,0
8,1,10:26.0,,Defensive rebound by D. Wade,2,0
9,1,10:20.0,,M. Chalmers makes 3-pt jump shot from 25 ft (assist by D. Wade),2,3
10,1,10:01.0,B. Beal misses 2-pt jump shot from 9 ft,,2,3
11,1,9:59.0,Offensive rebound by K. Humphries,,2,3
12,1,9:59.0,K. Humphries misses 2-pt tip-in at rim,,2,3
13,1,9:58.0,Offensive rebound by M. Gortat,,2,3
14,1,9:53.0,Personal foul by L. Deng (drawn by P. Pierce),,2,3
15,1,9:43.0,P. Pierce makes 3-pt jump shot from 24 ft (assist by M. Gortat),,5,3
16,1,9:21.0,,S. Williams misses 3-pt jump shot from 24 ft,5,3
17,1,9:20.0,Defensive rebound by B. Beal,,5,3
18,1,9:10.0,P. Pierce misses 2-pt jump shot from 11 ft,,5,3
19,1,9:09.0,Offensive rebound by Team,,5,3
20,1,8:55.0,K. Humphries misses 2-pt layup from 1 ft (block by C. Andersen),,5,3
21,1,8:54.0,,Defensive rebound by C. Andersen,5,3
22,1,8:43.0,,S. Williams makes 3-pt jump shot from 25 ft (assist by M. Chalmers),5,6
23,1,8:30.0,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),,7,6
24,1,8:16.0,,M. Chalmers makes 2-pt layup from 1 ft,7,8
25,1,8:09.0,K. Humphries makes 2-pt dunk at rim (assist by J. Wall),,9,8
26,1,7:55.0,,C. Andersen makes 2-pt dunk at rim (assist by M. Chalmers),9,10
27,1,7:43.0,B. Beal misses 2-pt jump shot from 17 ft,,9,10
28,1,7:42.0,,Defensive rebound by L. Deng,9,10
29,1,7:32.0,,D. Wade misses 2-pt jump shot from 10 ft,9,10
30,1,7:31.0,Defensive rebound by M. Gortat,,9,10
31,1,7:25.0,B. Beal misses 3-pt jump shot from 24 ft,,9,10
32,1,7:24.0,,Defensive rebound by D. Wade,9,10
33,1,7:14.0,,D. Wade misses 2-pt jump shot from 19 ft,9,10
34,1,7:13.0,Defensive rebound by J. Wall,,9,10
35,1,7:08.0,M. Gortat makes 2-pt layup at rim (assist by J. Wall),,11,10
36,1,6:50.0,,L. Deng misses 2-pt hook shot from 5 ft,11,10
37,1,6:49.0,,Offensive rebound by Team,11,10
38,1,6:49.0,,Personal foul by M. Gortat (drawn by C. Andersen),11,10
39,1,6:49.0,,N. Cole enters the game for M. Chalmers,11,10
40,1,6:30.0,,C. Andersen makes 2-pt dunk at rim (assist by D. Wade),11,12
41,1,6:30.0,,Shooting foul by M. Gortat (drawn by C. Andersen),11,12
42,1,6:30.0,N. Hilário enters the game for M. Gortat,,11,12
43,1,6:30.0,,C. Andersen makes free throw 1 of 1,11,13
44,1,6:25.0,Washington full timeout,,11,13
45,1,6:10.0,B. Beal misses 2-pt layup from 1 ft,,11,13
