,QUARTER,TIME_REMAINING,NEW YORK_ACTION,INDIANA_ACTION,NEW YORK_SCORE,INDIANA_SCORE
0,1,11:34.0,C. Anthony misses 2-pt jump shot from 16 ft,,0,0
1,1,11:33.0,,Defensive rebound by R. Hibbert,0,0
2,1,11:12.0,,D. West misses 2-pt jump shot from 17 ft,0,0
3,1,11:11.0,Defensive rebound by L. Amundson,,0,0
4,1,10:59.0,L. Amundson makes 2-pt layup from 2 ft (assist by J. Calderón),,2,0
5,1,10:41.0,,S. Hill misses 3-pt jump shot from 27 ft,2,0
6,1,10:40.0,Defensive rebound by L. Galloway,,2,0
7,1,10:25.0,L. Amundson makes 2-pt jump shot from 19 ft (assist by J. Calderón),,4,0
8,1,10:06.0,Violation by C. Anthony (kicked ball),,4,0
9,1,10:01.0,,Personal foul by L. Amundson (drawn by R. Hibbert),4,0
10,1,9:49.0,,C. Watson misses 2-pt layup from 2 ft,4,0
11,1,9:48.0,Defensive rebound by L. Amundson,,4,0
12,1,9:30.0,J. Calderón makes 2-pt jump shot from 18 ft,,6,0
13,1,9:03.0,,Shooting foul by J. Smith (drawn by D. West),6,0
14,1,9:03.0,,D. West makes free throw 1 of 2,6,1
15,1,9:03.0,,D. West makes free throw 2 of 2,6,2
16,1,8:50.0,Turnover by C. Anthony (bad pass; steal by R. Hibbert),,6,2
17,1,8:40.0,,R. Stuckey makes 2-pt jump shot from 7 ft,6,4
18,1,8:24.0,J. Smith makes 2-pt jump shot from 15 ft (assist by J. Calderón),,8,4
19,1,8:06.0,,S. Hill misses 2-pt layup from 1 ft (block by L. Amundson),8,4
20,1,8:04.0,Defensive rebound by J. Smith,,8,4
21,1,7:59.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by J. Calderón),,11,4
22,1,7:38.0,Offensive charge foul by R. Hibbert (drawn by L. Amundson),,11,4
23,1,7:38.0,,Turnover by R. Hibbert (offensive foul),11,4
24,1,7:29.0,L. Amundson misses 2-pt jump shot from 5 ft,,11,4
25,1,7:28.0,,Defensive rebound by R. Hibbert,11,4
26,1,7:19.0,,D. West makes 2-pt layup from 1 ft (assist by S. Hill),11,6
27,1,6:58.0,L. Amundson makes 2-pt layup from 1 ft (assist by J. Smith),,13,6
28,1,6:58.0,Shooting foul by S. Hill (drawn by L. Amundson),,13,6
29,1,6:58.0,L. Amundson misses free throw 1 of 1,,13,6
30,1,6:58.0,,Defensive rebound by C. Watson,13,6
31,1,6:40.0,,R. Stuckey makes 2-pt jump shot from 15 ft,13,8
32,1,6:28.0,Personal foul by C. Watson (drawn by J. Calderón),,13,8
33,1,6:16.0,J. Calderón makes 2-pt jump shot from 18 ft (assist by L. Amundson),,15,8
34,1,6:15.0,,Indiana full timeout,15,8
35,1,6:00.0,,S. Hill misses 2-pt layup at rim (block by C. Anthony),15,8
36,1,5:59.0,Defensive rebound by L. Galloway,,15,8
37,1,5:43.0,C. Anthony makes 2-pt layup from 2 ft (assist by J. Smith),,17,8
38,1,5:30.0,,Personal foul by L. Amundson (drawn by R. Hibbert),17,8
39,1,5:30.0,,I. Mahinmi enters the game for R. Hibbert,17,8
40,1,5:30.0,L. Thomas enters the game for L. Amundson,,17,8
41,1,5:20.0,,Turnover by D. West (lost ball),17,8
42,1,5:12.0,Personal foul by S. Hill (drawn by C. Anthony),,17,8
43,1,5:12.0,,C. Miles enters the game for S. Hill,17,8
44,1,5:12.0,,G. Hill enters the game for C. Watson,17,8
45,1,5:03.0,C. Anthony misses 2-pt jump shot from 20 ft,,17,8
46,1,5:02.0,,Defensive rebound by R. Stuckey,17,8
47,1,4:48.0,,I. Mahinmi makes 2-pt layup at rim (assist by G. Hill),17,10
48,1,4:48.0,,Shooting foul by J. Calderón (drawn by I. Mahinmi),17,10
49,1,4:48.0,,I. Mahinmi misses free throw 1 of 1,17,10
50,1,4:47.0,,Offensive rebound by D. West,17,10
51,1,4:31.0,,C. Miles misses 3-pt jump shot from 22 ft,17,10
52,1,4:30.0,Defensive rebound by J. Smith,,17,10
53,1,4:16.0,C. Anthony makes 2-pt jump shot from 13 ft,,19,10
54,1,4:05.0,,Personal foul by L. Thomas (drawn by G. Hill),19,10
55,1,4:05.0,,G. Hill makes free throw 1 of 2,19,11
56,1,4:05.0,,G. Hill makes free throw 2 of 2,19,12
57,1,3:52.0,C. Anthony makes 3-pt jump shot from 26 ft (assist by L. Galloway),,22,12
58,1,3:38.0,,R. Stuckey makes 2-pt layup from 1 ft (assist by D. West),22,14
59,1,3:22.0,Shooting foul by C. Miles (drawn by C. Anthony),,22,14
60,1,3:22.0,C. Anthony makes free throw 1 of 2,,23,14
61,1,3:22.0,T. Hardaway enters the game for J. Calderón,,23,14
62,1,3:22.0,Q. Acy enters the game for J. Smith,,23,14
63,1,3:22.0,C. Anthony makes free throw 2 of 2,,24,14
64,1,3:11.0,,D. West misses 2-pt jump shot from 16 ft,24,14
65,1,3:10.0,Defensive rebound by T. Hardaway,,24,14
66,1,2:54.0,L. Galloway misses 2-pt jump shot from 19 ft,,24,14
67,1,2:52.0,,Defensive rebound by D. West,24,14
68,1,2:38.0,,G. Hill misses 2-pt layup at rim,24,14
69,1,2:37.0,Defensive rebound by Q. Acy,,24,14
70,1,2:25.0,L. Thomas misses 2-pt jump shot from 14 ft,,24,14
71,1,2:24.0,,Defensive rebound by R. Stuckey,24,14
72,1,2:21.0,,Shooting block foul by L. Galloway (drawn by R. Stuckey),24,14
73,1,2:21.0,New York full timeout,,24,14
74,1,2:21.0,S. Larkin enters the game for L. Galloway,,24,14
75,1,2:21.0,,R. Stuckey makes free throw 1 of 2,24,15
76,1,2:21.0,,R. Stuckey makes free throw 2 of 2,24,16
77,1,2:08.0,T. Hardaway makes 3-pt jump shot from 27 ft (assist by C. Anthony),,27,16
78,1,1:49.0,,G. Hill makes 2-pt layup from 1 ft (assist by R. Stuckey),27,18
79,1,1:34.0,C. Anthony misses 2-pt jump shot from 15 ft,,27,18
80,1,1:33.0,,Defensive rebound by D. West,27,18
81,1,1:24.0,,Personal block foul by Q. Acy (drawn by I. Mahinmi),27,18
82,1,1:24.0,,I. Mahinmi misses free throw 1 of 2,27,18
83,1,1:24.0,,Offensive rebound by Team,27,18
84,1,1:24.0,C. Early enters the game for C. Anthony,,27,18
85,1,1:24.0,,I. Mahinmi misses free throw 2 of 2,27,18
86,1,1:24.0,Defensive rebound by T. Hardaway,,27,18
87,1,1:10.0,Turnover by L. Thomas (traveling),,27,18
88,1,1:10.0,,D. Rudež enters the game for R. Stuckey,27,18
89,1,0:57.0,,C. Miles makes 2-pt dunk at rim,27,20
90,1,0:42.0,C. Early misses 2-pt jump shot from 16 ft,,27,20
91,1,0:41.0,,Defensive rebound by D. West,27,20
92,1,0:27.0,,D. West misses 2-pt jump shot from 7 ft (block by Q. Acy),27,20
93,1,0:25.0,Defensive rebound by S. Larkin,,27,20
94,1,0:16.0,Personal foul by D. West (drawn by Q. Acy),,27,20
95,1,0:16.0,Q. Acy makes free throw 1 of 2,,28,20
96,1,0:16.0,Q. Acy misses free throw 2 of 2,,28,20
97,1,0:16.0,,Defensive rebound by I. Mahinmi,28,20
98,1,0:09.0,,Personal foul by Q. Acy (drawn by D. West),28,20
99,1,0:09.0,,D. West makes free throw 1 of 2,28,21
100,1,0:09.0,,D. West makes free throw 2 of 2,28,22
101,1,0:05.0,Personal block foul by C. Miles (drawn by T. Hardaway),,28,22
102,1,0:05.0,T. Hardaway makes free throw 1 of 2,,29,22
103,1,0:05.0,T. Hardaway misses free throw 2 of 2,,29,22
104,1,0:05.0,,Defensive rebound by I. Mahinmi,29,22
105,1,0:00.0,,C. Miles misses 3-pt jump shot from 36 ft,29,22
106,1,0:00.0,,Offensive rebound by Team,29,22
