,QUARTER,TIME_REMAINING,UTAH_ACTION,PHILADELPHIA_ACTION,UTAH_SCORE,PHILADELPHIA_SCORE
0,1,11:37.0,G. Hayward makes 2-pt jump shot from 19 ft,,2,0
1,1,11:13.0,,J. Richardson misses 3-pt jump shot from 25 ft,2,0
2,1,11:10.0,Defensive rebound by R. Gobert,,2,0
3,1,10:52.0,Turnover by J. Ingles (lost ball; steal by N. Noel),,2,0
4,1,10:46.0,,J. Richardson misses 2-pt layup from 1 ft,2,0
5,1,10:44.0,,Offensive rebound by N. Noel,2,0
6,1,10:44.0,,N. Noel makes 2-pt layup from 1 ft,2,2
7,1,10:20.0,D. Exum misses 2-pt layup at rim,,2,2
8,1,10:19.0,,Defensive rebound by L. Mbah a Moute,2,2
9,1,10:08.0,,L. Mbah a Moute makes 2-pt layup at rim (assist by N. Noel),2,4
10,1,9:42.0,D. Favors misses 2-pt jump shot from 16 ft,,2,4
11,1,9:42.0,Offensive rebound by Team,,2,4
12,1,9:42.0,Turnover by Team (shot clock),,2,4
13,1,9:32.0,,Personal foul by J. Ingles (drawn by J. Richardson),2,4
14,1,9:28.0,,Turnover by I. Canaan (lost ball; steal by D. Exum),2,4
15,1,9:07.0,D. Exum misses 2-pt jump shot from 5 ft,,2,4
16,1,9:06.0,Offensive rebound by D. Favors,,2,4
17,1,9:05.0,Shooting foul by L. Mbah a Moute (drawn by D. Favors),,2,4
18,1,9:05.0,D. Favors makes free throw 1 of 2,,3,4
19,1,9:05.0,D. Favors makes free throw 2 of 2,,4,4
20,1,8:51.0,,J. Sampson misses 2-pt layup from 2 ft,4,4
21,1,8:50.0,Defensive rebound by R. Gobert,,4,4
22,1,8:44.0,D. Favors makes 2-pt dunk at rim (assist by G. Hayward),,6,4
23,1,8:29.0,,I. Canaan misses 3-pt jump shot from 25 ft,6,4
24,1,8:27.0,Defensive rebound by G. Hayward,,6,4
25,1,8:16.0,R. Gobert misses 2-pt jump shot from 3 ft,,6,4
26,1,8:14.0,,Defensive rebound by J. Richardson,6,4
27,1,8:06.0,,N. Noel misses 2-pt jump shot from 19 ft,6,4
28,1,8:04.0,Defensive rebound by R. Gobert,,6,4
29,1,7:44.0,D. Favors misses 2-pt jump shot from 18 ft,,6,4
30,1,7:42.0,,Defensive rebound by I. Canaan,6,4
31,1,7:38.0,,Shooting foul by D. Favors (drawn by L. Mbah a Moute),6,4
32,1,7:38.0,,L. Mbah a Moute misses free throw 1 of 2,6,4
33,1,7:38.0,,Offensive rebound by Team,6,4
34,1,7:38.0,,L. Mbah a Moute makes free throw 2 of 2,6,5
35,1,7:28.0,J. Ingles makes 3-pt jump shot from 25 ft,,9,5
