,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,BOSTON_ACTION,GOLDEN STATE_SCORE,BOSTON_SCORE
0,1,11:42.0,Turnover by H. Barnes (traveling),,0,0
1,1,11:30.0,,Turnover by E. Turner (bad pass),0,0
2,1,11:22.0,S. Curry makes 2-pt layup at rim (assist by A. Bogut),,2,0
3,1,11:06.0,,T. Zeller makes 2-pt hook shot from 3 ft,2,2
4,1,11:06.0,,Shooting foul by A. Bogut (drawn by T. Zeller),2,2
5,1,11:06.0,,T. Zeller makes free throw 1 of 1,2,3
6,1,10:56.0,K. Thompson makes 2-pt jump shot from 15 ft (assist by S. Curry),,4,3
7,1,10:31.0,,M. Smart misses 3-pt jump shot from 27 ft,4,3
8,1,10:30.0,Defensive rebound by A. Bogut,,4,3
9,1,10:22.0,K. Thompson misses 3-pt jump shot from 25 ft,,4,3
10,1,10:20.0,,Defensive rebound by B. Bass,4,3
11,1,10:14.0,,E. Turner misses 2-pt jump shot from 8 ft,4,3
12,1,10:13.0,,Offensive rebound by T. Zeller,4,3
13,1,10:05.0,,Shooting foul by K. Thompson (drawn by A. Bradley),4,3
14,1,10:05.0,,A. Bradley misses free throw 1 of 3,4,3
15,1,10:05.0,,Offensive rebound by Team,4,3
16,1,10:05.0,,A. Bradley makes free throw 2 of 3,4,4
17,1,10:05.0,,A. Bradley makes free throw 3 of 3,4,5
18,1,9:56.0,Turnover by S. Curry (bad pass; steal by M. Smart),,4,5
19,1,9:56.0,,M. Smart makes 2-pt layup from 1 ft,4,7
20,1,9:35.0,D. Green misses 3-pt jump shot from 25 ft,,4,7
21,1,9:33.0,,Defensive rebound by E. Turner,4,7
22,1,9:29.0,,A. Bradley makes 2-pt layup from 1 ft (assist by E. Turner),4,9
23,1,9:23.0,Personal foul by A. Bradley (drawn by K. Thompson),,4,9
24,1,9:05.0,Turnover by S. Curry (lost ball),,4,9
25,1,8:56.0,,A. Bradley makes 2-pt jump shot from 20 ft,4,11
26,1,8:41.0,H. Barnes makes 3-pt jump shot from 22 ft (assist by A. Bogut),,7,11
27,1,8:30.0,,E. Turner misses 2-pt jump shot from 18 ft,7,11
28,1,8:29.0,Defensive rebound by Team,,7,11
29,1,8:21.0,S. Curry makes 3-pt jump shot from 25 ft,,10,11
30,1,8:00.0,,T. Zeller misses 2-pt jump shot from 12 ft,10,11
31,1,7:58.0,,Offensive rebound by B. Bass,10,11
32,1,7:47.0,,E. Turner makes 2-pt jump shot from 18 ft,10,13
33,1,7:33.0,K. Thompson misses 3-pt jump shot from 25 ft,,10,13
34,1,7:32.0,,Defensive rebound by E. Turner,10,13
35,1,7:24.0,,E. Turner makes 2-pt jump shot from 15 ft,10,15
36,1,7:10.0,A. Bogut misses 2-pt dunk at rim,,10,15
37,1,7:08.0,,Defensive rebound by M. Smart,10,15
38,1,7:00.0,,A. Bradley misses 2-pt layup from 1 ft (block by A. Bogut),10,15
39,1,6:59.0,Defensive rebound by H. Barnes,,10,15
40,1,6:49.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by K. Thompson),,13,15
41,1,6:36.0,,E. Turner makes 2-pt jump shot from 18 ft,13,17
42,1,6:22.0,H. Barnes misses 2-pt jump shot from 3 ft,,13,17
43,1,6:21.0,,Defensive rebound by E. Turner,13,17
44,1,6:15.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by E. Turner),13,20
45,1,5:58.0,S. Curry misses 2-pt layup from 1 ft,,13,20
46,1,5:57.0,,Defensive rebound by B. Bass,13,20
47,1,5:50.0,,E. Turner makes 2-pt jump shot from 4 ft,13,22
48,1,5:43.0,Golden State full timeout,,13,22
49,1,5:26.0,S. Curry misses 3-pt jump shot from 26 ft,,13,22
50,1,5:25.0,,Defensive rebound by B. Bass,13,22
51,1,5:19.0,Violation by S. Curry (kicked ball),,13,22
52,1,5:11.0,,T. Zeller makes 2-pt layup from 1 ft (assist by B. Bass),13,24
53,1,4:59.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),,16,24
54,1,4:43.0,,E. Turner misses 2-pt jump shot from 15 ft (block by D. Green),16,24
55,1,4:42.0,Defensive rebound by A. Bogut,,16,24
56,1,4:33.0,D. Green misses 2-pt layup from 1 ft,,16,24
57,1,4:32.0,Offensive rebound by A. Bogut,,16,24
58,1,4:32.0,A. Bogut misses 2-pt tip-in at rim,,16,24
59,1,4:31.0,,Defensive rebound by E. Turner,16,24
60,1,4:19.0,,B. Bass makes 2-pt hook shot from 3 ft (assist by T. Zeller),16,26
61,1,4:08.0,K. Thompson misses 3-pt jump shot from 25 ft,,16,26
62,1,4:07.0,,Defensive rebound by T. Zeller,16,26
63,1,3:55.0,,T. Zeller misses 2-pt jump shot from 15 ft,16,26
64,1,3:54.0,Defensive rebound by A. Bogut,,16,26
65,1,3:45.0,S. Curry makes 2-pt jump shot from 5 ft,,18,26
66,1,3:28.0,,T. Zeller makes 2-pt layup from 2 ft (assist by E. Turner),18,28
67,1,3:06.0,H. Barnes misses 3-pt jump shot from 25 ft,,18,28
68,1,3:05.0,,Defensive rebound by B. Bass,18,28
69,1,2:57.0,,A. Bradley misses 2-pt jump shot from 17 ft,18,28
70,1,2:56.0,,Offensive rebound by T. Zeller,18,28
71,1,2:54.0,,T. Zeller misses 2-pt layup from 2 ft,18,28
72,1,2:53.0,Defensive rebound by A. Bogut,,18,28
73,1,2:37.0,A. Bogut misses 2-pt layup from 2 ft,,18,28
74,1,2:36.0,Offensive rebound by H. Barnes,,18,28
75,1,2:36.0,H. Barnes misses 2-pt tip-in at rim,,18,28
76,1,2:35.0,,Defensive rebound by E. Turner,18,28
77,1,2:31.0,,Shooting foul by A. Bogut (drawn by E. Turner),18,28
78,1,2:31.0,,Boston full timeout,18,28
79,1,2:31.0,,I. Thomas enters the game for M. Smart,18,28
80,1,2:31.0,,J. Crowder enters the game for B. Bass,18,28
81,1,2:31.0,A. Iguodala enters the game for H. Barnes,,18,28
82,1,2:31.0,D. Lee enters the game for A. Bogut,,18,28
83,1,2:31.0,,E. Turner makes free throw 1 of 2,18,29
84,1,2:31.0,,E. Turner makes free throw 2 of 2,18,30
85,1,2:15.0,S. Curry makes 2-pt layup at rim,,20,30
86,1,2:09.0,,A. Bradley misses 2-pt layup from 2 ft (block by K. Thompson),20,30
87,1,2:08.0,Defensive rebound by D. Green,,20,30
88,1,1:59.0,S. Curry makes 3-pt jump shot from 25 ft,,23,30
89,1,1:43.0,,J. Crowder misses 2-pt layup at rim,23,30
90,1,1:42.0,,Offensive rebound by J. Crowder,23,30
91,1,1:42.0,,J. Crowder misses 2-pt tip-in at rim,23,30
92,1,1:41.0,Defensive rebound by D. Lee,,23,30
93,1,1:33.0,D. Green misses 2-pt jump shot from 3 ft,,23,30
94,1,1:32.0,,Defensive rebound by E. Turner,23,30
95,1,1:29.0,,I. Thomas misses 3-pt jump shot from 23 ft,23,30
96,1,1:27.0,Defensive rebound by D. Green,,23,30
97,1,1:17.0,D. Lee misses 2-pt jump shot from 5 ft,,23,30
98,1,1:15.0,,Defensive rebound by J. Crowder,23,30
99,1,1:09.0,,I. Thomas makes 3-pt jump shot from 22 ft (assist by A. Bradley),23,33
100,1,0:56.0,S. Curry makes 2-pt jump shot from 4 ft,,25,33
101,1,0:44.0,,I. Thomas makes 2-pt layup from 2 ft,25,35
102,1,0:36.0,S. Curry misses 2-pt jump shot from 21 ft,,25,35
103,1,0:34.0,Offensive rebound by D. Lee,,25,35
104,1,0:24.0,S. Curry misses 3-pt jump shot from 25 ft,,25,35
105,1,0:22.0,,Defensive rebound by A. Bradley,25,35
106,1,0:03.0,,I. Thomas makes 3-pt jump shot from 24 ft,25,38
107,1,0:00.0,D. Lee misses 3-pt jump shot from 27 ft,,25,38
108,1,0:00.0,Offensive rebound by Team,,25,38
109,2,11:45.0,,J. Crowder misses 3-pt jump shot from 27 ft,25,38
110,2,11:42.0,,Offensive rebound by J. Jerebko,25,38
111,2,11:34.0,,M. Smart misses 3-pt jump shot from 27 ft,25,38
112,2,11:33.0,Defensive rebound by D. Green,,25,38
113,2,11:16.0,Offensive foul by S. Livingston (drawn by M. Smart),,25,38
114,2,11:16.0,Turnover by S. Livingston (offensive foul),,25,38
115,2,11:02.0,,J. Crowder misses 2-pt jump shot from 5 ft,25,38
116,2,11:01.0,,Offensive rebound by Team,25,38
117,2,11:01.0,H. Barnes enters the game for D. Green,,25,38
118,2,10:53.0,,M. Smart makes 2-pt jump shot from 14 ft (assist by J. Crowder),25,40
