,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,INDIANA_ACTION,BROOKLYN_SCORE,INDIANA_SCORE
0,1,11:41.0,D. Williams makes 2-pt jump shot from 8 ft,,2,0
1,1,11:27.0,,G. Hill makes 2-pt layup from 2 ft (assist by D. West),2,2
2,1,11:08.0,B. Lopez makes 2-pt jump shot from 16 ft (assist by D. Williams),,4,2
3,1,11:03.0,,Personal foul by B. Lopez (drawn by R. Hibbert),4,2
4,1,10:46.0,,S. Hill makes 2-pt jump shot from 11 ft,4,4
5,1,10:32.0,J. Johnson makes 2-pt jump shot from 12 ft,,6,4
6,1,10:32.0,Shooting foul by S. Hill (drawn by J. Johnson),,6,4
7,1,10:32.0,J. Johnson makes free throw 1 of 1,,7,4
8,1,10:13.0,,Personal foul by T. Young (drawn by R. Hibbert),7,4
9,1,10:05.0,,S. Hill misses 2-pt jump shot from 16 ft,7,4
10,1,10:02.0,,Offensive rebound by R. Hibbert,7,4
11,1,9:58.0,,G. Hill misses 3-pt jump shot from 26 ft,7,4
12,1,9:57.0,Defensive rebound by T. Young,,7,4
13,1,9:50.0,D. Williams makes 2-pt jump shot from 19 ft,,9,4
14,1,9:35.0,,R. Hibbert makes 2-pt hook shot from 6 ft (assist by D. West),9,6
15,1,9:29.0,Shooting foul by R. Hibbert (drawn by D. Williams),,9,6
16,1,9:29.0,D. Williams misses free throw 1 of 2,,9,6
17,1,9:29.0,Offensive rebound by Team,,9,6
18,1,9:29.0,D. Williams makes free throw 2 of 2,,10,6
19,1,9:12.0,,S. Hill makes 2-pt layup at rim (assist by G. Hill),10,8
20,1,9:01.0,B. Lopez makes 2-pt jump shot from 22 ft (assist by D. Williams),,12,8
21,1,8:48.0,,G. Hill misses 2-pt jump shot from 3 ft (block by B. Lopez),12,8
22,1,8:46.0,,Offensive rebound by G. Hill,12,8
23,1,8:45.0,,G. Hill misses 2-pt jump shot from 10 ft,12,8
24,1,8:44.0,Defensive rebound by J. Johnson,,12,8
25,1,8:33.0,J. Johnson misses 2-pt jump shot from 10 ft,,12,8
26,1,8:32.0,,Defensive rebound by R. Hibbert,12,8
27,1,8:17.0,,Turnover by C. Miles (lost ball; steal by D. Williams),12,8
28,1,8:11.0,J. Johnson misses 3-pt jump shot from 25 ft,,12,8
29,1,8:10.0,,Defensive rebound by R. Hibbert,12,8
30,1,7:59.0,,R. Hibbert makes 2-pt jump shot from 19 ft (assist by G. Hill),12,10
31,1,7:41.0,D. Williams makes 3-pt jump shot from 26 ft (assist by T. Young),,15,10
32,1,7:23.0,,C. Miles makes 3-pt jump shot from 23 ft (assist by S. Hill),15,13
33,1,7:12.0,D. Williams misses 3-pt jump shot from 24 ft,,15,13
34,1,7:11.0,,Defensive rebound by C. Miles,15,13
35,1,6:59.0,,R. Hibbert makes 2-pt jump shot from 18 ft (assist by G. Hill),15,15
36,1,6:36.0,B. Lopez makes 2-pt hook shot from 8 ft,,17,15
