,QUARTER,TIME_REMAINING,ORLANDO_ACTION,PHILADELPHIA_ACTION,ORLANDO_SCORE,PHILADELPHIA_SCORE
0,1,11:46.0,Personal foul by T. Wroten (drawn by C. Frye),,0,0
1,1,11:39.0,C. Frye misses 3-pt jump shot from 25 ft,,0,0
2,1,11:38.0,,Defensive rebound by T. Wroten,0,0
3,1,11:28.0,,L. Mbah a Moute makes 2-pt dunk at rim (assist by B. Davies),0,2
4,1,11:16.0,Personal foul by L. Mbah a Moute (drawn by C. Frye),,0,2
5,1,11:10.0,T. Harris makes 2-pt layup at rim,,2,2
6,1,10:55.0,,Turnover by T. Wroten (traveling),2,2
7,1,10:46.0,E. Fournier misses 3-pt jump shot from 26 ft,,2,2
8,1,10:44.0,Offensive rebound by N. Vučević,,2,2
9,1,10:41.0,N. Vučević makes 2-pt layup at rim,,4,2
10,1,10:32.0,,B. Davies makes 2-pt hook shot from 6 ft (assist by T. Wroten),4,4
11,1,10:17.0,N. Vučević makes 2-pt hook shot from 1 ft,,6,4
12,1,9:58.0,,N. Noel makes 2-pt jump shot from 16 ft (assist by T. Wroten),6,6
13,1,9:42.0,C. Frye misses 3-pt jump shot from 24 ft,,6,6
14,1,9:39.0,Offensive rebound by T. Harris,,6,6
15,1,9:29.0,Turnover by C. Frye (bad pass; steal by T. Wroten),,6,6
16,1,9:23.0,,T. Wroten makes 2-pt layup from 1 ft,6,8
17,1,9:17.0,E. Payton makes 2-pt layup from 1 ft,,8,8
18,1,9:04.0,,H. Thompson makes 3-pt jump shot from 25 ft (assist by L. Mbah a Moute),8,11
19,1,8:53.0,N. Vučević misses 2-pt jump shot from 13 ft,,8,11
20,1,8:51.0,,Defensive rebound by H. Thompson,8,11
21,1,8:39.0,,H. Sims enters the game for N. Noel,8,11
22,1,8:30.0,,H. Sims misses 2-pt jump shot from 19 ft,8,11
23,1,8:25.0,Defensive rebound by Team,,8,11
24,1,8:23.0,,Loose ball foul by H. Sims (drawn by N. Vučević),8,11
25,1,8:17.0,Turnover by E. Payton (bad pass; steal by H. Sims),,8,11
26,1,8:12.0,,Turnover by T. Wroten (bad pass; steal by E. Payton),8,11
27,1,8:03.0,E. Payton makes 2-pt layup at rim,,10,11
28,1,7:56.0,,L. Mbah a Moute misses 3-pt jump shot from 27 ft,10,11
29,1,7:54.0,Defensive rebound by E. Payton,,10,11
30,1,7:51.0,E. Fournier makes 2-pt layup at rim,,12,11
31,1,7:51.0,Shooting foul by L. Mbah a Moute (drawn by E. Fournier),,12,11
32,1,7:51.0,,N. Noel enters the game for H. Sims,12,11
33,1,7:51.0,E. Fournier makes free throw 1 of 1,,13,11
34,1,7:35.0,,T. Wroten misses 3-pt jump shot from 26 ft,13,11
35,1,7:34.0,Defensive rebound by E. Fournier,,13,11
36,1,7:29.0,E. Fournier makes 2-pt layup at rim,,15,11
37,1,7:10.0,,Turnover by T. Wroten (bad pass; steal by C. Frye),15,11
38,1,7:04.0,N. Vučević makes 2-pt layup at rim (assist by E. Payton),,17,11
39,1,7:04.0,,Philadelphia full timeout,17,11
40,1,7:04.0,,K. McDaniels enters the game for L. Mbah a Moute,17,11
41,1,6:52.0,,Shooting foul by E. Payton (drawn by B. Davies),17,11
42,1,6:52.0,,B. Davies makes free throw 1 of 2,17,12
43,1,6:52.0,,B. Davies misses free throw 2 of 2,17,12
44,1,6:52.0,Defensive rebound by C. Frye,,17,12
45,1,6:31.0,C. Frye misses 3-pt jump shot from 24 ft,,17,12
46,1,6:28.0,,Defensive rebound by K. McDaniels,17,12
47,1,6:13.0,,T. Wroten misses 2-pt layup at rim (block by E. Payton),17,12
48,1,6:13.0,,Offensive rebound by Team,17,12
49,1,6:13.0,,H. Sims enters the game for B. Davies,17,12
50,1,6:13.0,A. Gordon enters the game for C. Frye,,17,12
51,1,6:10.0,,H. Sims misses 2-pt jump shot from 17 ft,17,12
52,1,6:07.0,,Offensive rebound by H. Sims,17,12
53,1,6:05.0,,T. Wroten makes 3-pt jump shot from 24 ft (assist by H. Sims),17,15
54,1,5:48.0,Turnover by E. Payton (lost ball; steal by T. Wroten),,17,15
55,1,5:42.0,,Turnover by T. Wroten (lost ball),17,15
56,1,5:28.0,N. Vučević makes 2-pt hook shot from 4 ft,,19,15
57,1,5:14.0,,H. Thompson misses 3-pt jump shot from 24 ft,19,15
58,1,5:13.0,Defensive rebound by A. Gordon,,19,15
59,1,5:05.0,Orlando full timeout,,19,15
60,1,5:05.0,L. Ridnour enters the game for E. Payton,,19,15
