,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,SAN ANTONIO_ACTION,PHILADELPHIA_SCORE,SAN ANTONIO_SCORE
0,1,11:38.0,,M. Bonner misses 2-pt jump shot from 20 ft,0,0
1,1,11:37.0,,Offensive rebound by T. Duncan,0,0
2,1,11:26.0,,Turnover by T. Parker (offensive foul),0,0
3,1,11:26.0,Offensive charge foul by T. Parker (drawn by B. Davies),,0,0
4,1,11:13.0,Turnover by T. Wroten (lost ball; steal by K. Leonard),,0,0
5,1,11:10.0,,K. Leonard makes 2-pt dunk at rim (assist by D. Green),0,2
6,1,10:52.0,L. Mbah a Moute makes 2-pt jump shot from 18 ft (assist by B. Davies),,2,2
7,1,10:27.0,,M. Bonner makes 2-pt jump shot from 3 ft (assist by T. Duncan),2,4
8,1,10:15.0,L. Mbah a Moute makes 2-pt layup from 2 ft (assist by B. Davies),,4,4
9,1,9:56.0,,M. Bonner misses 3-pt jump shot from 24 ft,4,4
10,1,9:55.0,Defensive rebound by H. Thompson,,4,4
11,1,9:44.0,B. Davies misses 2-pt jump shot from 9 ft,,4,4
12,1,9:43.0,,Defensive rebound by T. Duncan,4,4
13,1,9:28.0,,M. Bonner makes 3-pt jump shot from 24 ft (assist by T. Parker),4,7
14,1,9:14.0,H. Thompson misses 3-pt jump shot from 25 ft,,4,7
15,1,9:12.0,,Defensive rebound by T. Duncan,4,7
16,1,9:07.0,,D. Green misses 3-pt jump shot from 25 ft,4,7
17,1,9:06.0,Defensive rebound by L. Mbah a Moute,,4,7
18,1,8:53.0,B. Davies misses 2-pt jump shot from 22 ft,,4,7
19,1,8:52.0,,Defensive rebound by K. Leonard,4,7
20,1,8:42.0,,D. Green makes 3-pt jump shot from 25 ft (assist by M. Bonner),4,10
21,1,8:31.0,,Violation by T. Duncan (kicked ball),4,10
22,1,8:31.0,,B. Diaw enters the game for M. Bonner,4,10
23,1,8:21.0,H. Sims makes 2-pt layup from 1 ft (assist by T. Wroten),,6,10
24,1,8:09.0,,T. Parker misses 2-pt jump shot from 9 ft,6,10
25,1,8:08.0,,Offensive rebound by Team,6,10
26,1,7:56.0,,T. Duncan makes 2-pt jump shot from 10 ft (assist by D. Green),6,12
27,1,7:38.0,T. Wroten misses 2-pt layup at rim,,6,12
28,1,7:37.0,,Defensive rebound by T. Duncan,6,12
29,1,7:31.0,,D. Green misses 3-pt jump shot from 23 ft,6,12
30,1,7:30.0,Defensive rebound by H. Sims,,6,12
31,1,7:17.0,Turnover by L. Mbah a Moute (bad pass; steal by T. Parker),,6,12
32,1,7:14.0,,T. Parker makes 2-pt layup at rim,6,14
33,1,7:13.0,Philadelphia full timeout,,6,14
34,1,7:13.0,M. Carter-Williams enters the game for H. Thompson,,6,14
35,1,7:00.0,T. Wroten misses 3-pt jump shot from 26 ft,,6,14
36,1,6:59.0,,Defensive rebound by K. Leonard,6,14
37,1,6:51.0,,D. Green makes 2-pt jump shot from 17 ft (assist by T. Parker),6,16
38,1,6:36.0,M. Carter-Williams misses 2-pt jump shot from 20 ft,,6,16
39,1,6:35.0,,Defensive rebound by K. Leonard,6,16
40,1,6:28.0,,K. Leonard misses 2-pt jump shot from 13 ft,6,16
41,1,6:27.0,Defensive rebound by H. Sims,,6,16
42,1,6:13.0,T. Wroten misses 2-pt jump shot from 7 ft (block by D. Green),,6,16
43,1,6:12.0,,Defensive rebound by B. Diaw,6,16
44,1,5:48.0,,T. Duncan misses 2-pt jump shot from 13 ft,6,16
45,1,5:47.0,Defensive rebound by H. Sims,,6,16
46,1,5:30.0,Turnover by M. Carter-Williams (bad pass; steal by K. Leonard),,6,16
47,1,5:17.0,,K. Leonard misses 2-pt jump shot from 18 ft,6,16
48,1,5:16.0,Defensive rebound by B. Davies,,6,16
49,1,5:06.0,B. Davies misses 3-pt jump shot from 25 ft,,6,16
50,1,5:05.0,,Defensive rebound by K. Leonard,6,16
51,1,5:00.0,,B. Diaw misses 2-pt layup from 1 ft,6,16
52,1,4:59.0,,Offensive rebound by K. Leonard,6,16
53,1,4:56.0,,D. Green misses 3-pt jump shot from 25 ft,6,16
54,1,4:55.0,Defensive rebound by H. Sims,,6,16
55,1,4:39.0,Turnover by M. Carter-Williams (lost ball; steal by T. Parker),,6,16
56,1,4:36.0,,Turnover by T. Parker (lost ball),6,16
57,1,4:36.0,A. Shved enters the game for T. Wroten,,6,16
58,1,4:36.0,N. Noel enters the game for B. Davies,,6,16
