,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DALLAS_ACTION,PHILADELPHIA_SCORE,DALLAS_SCORE
0,1,11:35.0,H. Thompson misses 3-pt jump shot from 24 ft,,0,0
1,1,11:34.0,,Defensive rebound by T. Chandler,0,0
2,1,11:19.0,,M. Ellis makes 2-pt layup from 1 ft (assist by T. Chandler),0,2
3,1,11:04.0,L. Mbah a Moute misses 2-pt jump shot from 20 ft,,0,2
4,1,11:03.0,,Defensive rebound by T. Chandler,0,2
5,1,10:41.0,,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by C. Parsons),0,4
6,1,10:24.0,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by T. Wroten),,2,4
7,1,10:05.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by M. Ellis),2,7
8,1,9:48.0,Turnover by T. Wroten (bad pass),,2,7
9,1,9:37.0,,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by T. Chandler),2,9
10,1,9:18.0,T. Wroten makes 2-pt layup from 1 ft,,4,9
11,1,9:07.0,,C. Parsons misses 3-pt jump shot from 26 ft,4,9
12,1,9:05.0,,Offensive rebound by Team,4,9
13,1,8:57.0,,J. Nelson misses 3-pt jump shot from 24 ft,4,9
14,1,8:55.0,Defensive rebound by K. McDaniels,,4,9
15,1,8:51.0,,Offensive charge foul by K. McDaniels (drawn by M. Ellis),4,9
16,1,8:51.0,Turnover by K. McDaniels (offensive foul),,4,9
17,1,8:34.0,,M. Ellis misses 2-pt jump shot from 17 ft,4,9
18,1,8:33.0,Defensive rebound by L. Mbah a Moute,,4,9
19,1,8:22.0,H. Sims misses 2-pt jump shot from 15 ft,,4,9
20,1,8:21.0,,Defensive rebound by T. Chandler,4,9
21,1,8:06.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by M. Ellis),4,12
22,1,8:05.0,Philadelphia full timeout,,4,12
23,1,7:48.0,H. Thompson misses 2-pt jump shot from 22 ft,,4,12
24,1,7:47.0,,Defensive rebound by C. Parsons,4,12
25,1,7:29.0,,Shooting block foul by T. Wroten (drawn by T. Chandler),4,12
26,1,7:29.0,,T. Chandler makes free throw 1 of 2,4,13
27,1,7:29.0,,T. Chandler makes free throw 2 of 2,4,14
28,1,7:19.0,L. Mbah a Moute misses 3-pt jump shot from 24 ft,,4,14
29,1,7:19.0,,Defensive rebound by C. Parsons,4,14
30,1,7:08.0,,J. Nelson misses 3-pt jump shot from 24 ft,4,14
31,1,7:07.0,Defensive rebound by T. Wroten,,4,14
32,1,6:55.0,K. McDaniels misses 3-pt jump shot from 24 ft,,4,14
33,1,6:54.0,,Defensive rebound by J. Nelson,4,14
34,1,6:42.0,,Shooting foul by T. Wroten (drawn by J. Nelson),4,14
35,1,6:42.0,,J. Nelson makes free throw 1 of 2,4,15
36,1,6:42.0,N. Noel enters the game for H. Sims,,4,15
37,1,6:42.0,M. Carter-Williams enters the game for T. Wroten,,4,15
38,1,6:42.0,,J. Nelson makes free throw 2 of 2,4,16
39,1,6:34.0,M. Carter-Williams makes 2-pt dunk at rim,,6,16
40,1,6:17.0,,Shooting foul by K. McDaniels (drawn by D. Nowitzki),6,16
41,1,6:17.0,,D. Nowitzki makes free throw 1 of 2,6,17
42,1,6:17.0,J. Sampson enters the game for K. McDaniels,,6,17
43,1,6:17.0,,D. Nowitzki makes free throw 2 of 2,6,18
44,1,5:59.0,Shooting foul by J. Nelson (drawn by N. Noel),,6,18
45,1,5:59.0,N. Noel misses free throw 1 of 2,,6,18
46,1,5:59.0,Offensive rebound by Team,,6,18
