,QUARTER,TIME_REMAINING,CHICAGO_ACTION,SACRAMENTO_ACTION,CHICAGO_SCORE,SACRAMENTO_SCORE
0,1,11:48.0,,Offensive foul by D. Cousins (drawn by M. Dunleavy),0,0
1,1,11:48.0,,Turnover by D. Cousins (offensive foul),0,0
2,1,11:30.0,J. Butler misses 3-pt jump shot from 24 ft,,0,0
3,1,11:29.0,,Defensive rebound by D. Cousins,0,0
4,1,11:21.0,,D. Collison makes 2-pt jump shot from 19 ft,0,2
5,1,11:00.0,J. Noah misses 2-pt hook shot from 6 ft (block by D. Cousins),,0,2
6,1,11:00.0,Offensive rebound by Team,,0,2
7,1,10:59.0,Turnover by M. Dunleavy (bad pass; steal by B. McLemore),,0,2
8,1,10:56.0,,Turnover by B. McLemore (lost ball),0,2
9,1,10:37.0,K. Hinrich misses 3-pt jump shot from 23 ft,,0,2
10,1,10:36.0,,Defensive rebound by D. Cousins,0,2
11,1,10:25.0,,Personal block foul by M. Dunleavy (drawn by B. McLemore),0,2
12,1,10:17.0,,R. Gay makes 2-pt layup from 2 ft,0,4
13,1,10:03.0,T. Gibson misses 2-pt jump shot from 14 ft,,0,4
14,1,9:58.0,,Defensive rebound by D. Cousins,0,4
15,1,9:47.0,,J. Thompson misses 2-pt jump shot from 6 ft,0,4
16,1,9:45.0,Defensive rebound by Team,,0,4
17,1,9:26.0,M. Dunleavy makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,4
18,1,9:13.0,,D. Cousins misses 2-pt jump shot from 20 ft,3,4
19,1,9:12.0,Defensive rebound by T. Gibson,,3,4
20,1,8:54.0,K. Hinrich makes 2-pt jump shot from 5 ft (assist by T. Gibson),,5,4
21,1,8:53.0,Technical foul by K. Hinrich,,5,4
22,1,8:53.0,,R. Gay makes technical free throw,5,5
23,1,8:36.0,,D. Cousins misses 2-pt jump shot from 17 ft,5,5
24,1,8:35.0,Defensive rebound by J. Noah,,5,5
25,1,8:22.0,K. Hinrich misses 3-pt jump shot from 24 ft,,5,5
26,1,8:21.0,,Defensive rebound by J. Thompson,5,5
27,1,8:05.0,,D. Collison makes 2-pt jump shot from 14 ft,5,7
28,1,7:50.0,M. Dunleavy misses 2-pt jump shot from 19 ft,,5,7
29,1,7:49.0,Offensive rebound by T. Gibson,,5,7
30,1,7:48.0,,Loose ball foul by R. Gay (drawn by K. Hinrich),5,7
31,1,7:39.0,J. Noah misses 2-pt jump shot from 19 ft,,5,7
32,1,7:38.0,,Defensive rebound by B. McLemore,5,7
33,1,7:31.0,,D. Cousins makes 2-pt layup from 1 ft (assist by D. Collison),5,9
34,1,7:13.0,J. Butler makes 2-pt jump shot from 13 ft (assist by K. Hinrich),,7,9
35,1,7:04.0,,J. Thompson misses 2-pt jump shot from 3 ft (block by T. Gibson),7,9
36,1,7:02.0,Defensive rebound by J. Butler,,7,9
37,1,6:46.0,K. Hinrich misses 3-pt jump shot from 23 ft (block by D. Collison),,7,9
38,1,6:45.0,Offensive rebound by J. Butler,,7,9
39,1,6:40.0,M. Dunleavy makes 3-pt jump shot from 24 ft (assist by J. Noah),,10,9
40,1,6:27.0,,Personal foul by J. Noah (drawn by D. Cousins),10,9
41,1,6:25.0,,Personal foul by M. Dunleavy (drawn by B. McLemore),10,9
42,1,6:13.0,,D. Cousins misses 2-pt jump shot from 5 ft,10,9
43,1,6:12.0,Defensive rebound by T. Gibson,,10,9
44,1,5:49.0,M. Dunleavy misses 2-pt jump shot from 22 ft,,10,9
45,1,5:48.0,,Defensive rebound by J. Thompson,10,9
46,1,5:41.0,,B. McLemore makes 3-pt jump shot from 24 ft,10,12
47,1,5:21.0,K. Hinrich makes 3-pt jump shot from 24 ft (assist by J. Noah),,13,12
48,1,4:58.0,,R. Gay misses 2-pt jump shot from 3 ft,13,12
49,1,4:57.0,Defensive rebound by T. Gibson,,13,12
50,1,4:53.0,Turnover by J. Butler (offensive foul),,13,12
51,1,4:53.0,,Offensive charge foul by J. Butler (drawn by D. Cousins),13,12
52,1,4:53.0,,Sacramento full timeout,13,12
53,1,4:53.0,A. Brooks enters the game for J. Noah,,13,12
54,1,4:53.0,N. Mirotić enters the game for K. Hinrich,,13,12
55,1,4:53.0,,O. Casspi enters the game for R. Gay,13,12
56,1,4:34.0,,B. McLemore makes 3-pt jump shot from 24 ft (assist by D. Cousins),13,15
57,1,4:18.0,A. Brooks makes 3-pt jump shot from 24 ft,,16,15
58,1,4:07.0,,Personal foul by N. Mirotić (drawn by J. Thompson),16,15
59,1,3:54.0,,D. Cousins misses 2-pt jump shot from 19 ft,16,15
60,1,3:53.0,Defensive rebound by N. Mirotić,,16,15
61,1,3:42.0,A. Brooks makes 2-pt layup from 3 ft,,18,15
62,1,3:27.0,,O. Casspi makes 2-pt jump shot from 3 ft (assist by D. Collison),18,17
63,1,3:11.0,N. Mirotić makes 2-pt jump shot from 14 ft,,20,17
64,1,2:59.0,,D. Collison misses 2-pt jump shot from 15 ft,20,17
65,1,2:58.0,Defensive rebound by N. Mirotić,,20,17
66,1,2:51.0,Personal block foul by J. Thompson (drawn by N. Mirotić),,20,17
67,1,2:51.0,Chicago full timeout,,20,17
68,1,2:51.0,,R. Sessions enters the game for J. Thompson,20,17
69,1,2:51.0,,D. Williams enters the game for D. Collison,20,17
70,1,2:37.0,A. Brooks misses 2-pt layup from 2 ft,,20,17
71,1,2:37.0,Offensive rebound by T. Gibson,,20,17
72,1,2:37.0,Shooting foul by R. Sessions (drawn by T. Gibson),,20,17
73,1,2:37.0,T. Gibson makes 2-pt tip-in at rim,,22,17
74,1,2:37.0,T. Gibson misses free throw 1 of 1,,22,17
75,1,2:35.0,,Defensive rebound by D. Cousins,22,17
76,1,2:14.0,,D. Cousins misses 2-pt jump shot from 12 ft,22,17
77,1,2:13.0,Defensive rebound by J. Butler,,22,17
78,1,2:08.0,J. Butler makes 2-pt layup at rim (assist by A. Brooks),,24,17
79,1,2:01.0,,Sacramento full timeout,24,17
80,1,1:45.0,,O. Casspi makes 2-pt layup from 3 ft (assist by D. Williams),24,19
81,1,1:23.0,T. Gibson makes 2-pt hook shot from 5 ft,,26,19
82,1,1:08.0,,D. Cousins misses 2-pt jump shot from 3 ft,26,19
83,1,1:06.0,Defensive rebound by A. Brooks,,26,19
84,1,0:55.0,N. Mirotić makes 3-pt jump shot from 24 ft (assist by M. Dunleavy),,29,19
85,1,0:41.0,,Shooting foul by N. Mirotić (drawn by O. Casspi),29,19
86,1,0:41.0,,O. Casspi makes free throw 1 of 2,29,20
87,1,0:41.0,,C. Landry enters the game for D. Cousins,29,20
88,1,0:41.0,D. McDermott enters the game for M. Dunleavy,,29,20
89,1,0:41.0,,O. Casspi makes free throw 2 of 2,29,21
90,1,0:32.0,N. Mirotić misses 3-pt jump shot from 25 ft,,29,21
91,1,0:31.0,,Defensive rebound by C. Landry,29,21
92,1,0:19.0,,Shooting foul by N. Mirotić (drawn by D. Williams),29,21
93,1,0:19.0,,D. Williams misses free throw 1 of 2,29,21
94,1,0:19.0,,Offensive rebound by Team,29,21
95,1,0:19.0,,D. Williams makes free throw 2 of 2,29,22
96,1,0:05.0,Personal take foul by R. Sessions (drawn by A. Brooks),,29,22
97,1,0:00.0,A. Brooks misses 3-pt jump shot from 25 ft,,29,22
98,1,0:00.0,Offensive rebound by Team,,29,22
99,2,11:41.0,J. Noah makes 2-pt hook shot from 3 ft (assist by A. Brooks),,31,22
100,2,11:27.0,,D. Williams makes 2-pt jump shot from 19 ft (assist by R. Sessions),31,24
101,2,11:01.0,Turnover by Team (shot clock),,31,24
102,2,10:47.0,,R. Sessions makes 2-pt jump shot from 21 ft (assist by C. Landry),31,26
103,2,10:27.0,J. Noah makes 2-pt dunk at rim (assist by A. Brooks),,33,26
104,2,10:08.0,,C. Landry misses 2-pt jump shot from 19 ft,33,26
105,2,10:08.0,Defensive rebound by N. Mirotić,,33,26
106,2,9:49.0,N. Mirotić misses 2-pt jump shot from 18 ft,,33,26
107,2,9:48.0,,Defensive rebound by R. Gay,33,26
108,2,9:41.0,,R. Gay misses 2-pt jump shot from 7 ft,33,26
109,2,9:39.0,Defensive rebound by N. Mirotić,,33,26
110,2,9:34.0,Turnover by A. Brooks (bad pass; steal by R. Sessions),,33,26
111,2,9:26.0,,O. Casspi makes 2-pt layup from 1 ft (assist by D. Williams),33,28
112,2,9:03.0,T. Snell misses 3-pt jump shot from 25 ft,,33,28
113,2,9:00.0,,Defensive rebound by R. Gay,33,28
114,2,8:50.0,,D. Williams makes 2-pt jump shot from 7 ft,33,30
115,2,8:50.0,,Shooting foul by N. Mirotić (drawn by D. Williams),33,30
116,2,8:50.0,Official timeout,,33,30
117,2,8:50.0,T. Gibson enters the game for N. Mirotić,,33,30
118,2,8:50.0,,D. Williams misses free throw 1 of 1,33,30
119,2,8:49.0,Defensive rebound by T. Snell,,33,30
120,2,8:28.0,T. Gibson makes 2-pt hook shot from 4 ft (assist by A. Brooks),,35,30
121,2,8:14.0,,D. Williams misses 2-pt jump shot from 19 ft,35,30
122,2,8:13.0,Defensive rebound by T. Snell,,35,30
123,2,8:06.0,A. Brooks makes 2-pt jump shot from 9 ft,,37,30
124,2,7:40.0,,C. Landry makes 2-pt jump shot from 11 ft (assist by R. Sessions),37,32
125,2,7:24.0,Turnover by A. Brooks (bad pass; steal by O. Casspi),,37,32
126,2,7:20.0,Offensive charge foul by R. Sessions (drawn by A. Brooks),,37,32
127,2,7:20.0,,Turnover by R. Sessions (offensive foul),37,32
128,2,7:20.0,,D. Collison enters the game for R. Sessions,37,32
129,2,7:20.0,K. Hinrich enters the game for T. Snell,,37,32
130,2,7:06.0,T. Gibson misses 2-pt jump shot from 15 ft,,37,32
131,2,7:06.0,,Defensive rebound by D. Collison,37,32
132,2,6:53.0,,D. Williams makes 2-pt layup from 2 ft (assist by R. Gay),37,34
133,2,6:53.0,,Shooting foul by T. Gibson (drawn by D. Williams),37,34
134,2,6:53.0,J. Butler enters the game for D. McDermott,,37,34
135,2,6:53.0,,D. Williams makes free throw 1 of 1,37,35
136,2,6:28.0,A. Brooks misses 2-pt jump shot from 19 ft,,37,35
137,2,6:27.0,,Defensive rebound by R. Gay,37,35
138,2,6:23.0,Offensive charge foul by C. Landry (drawn by T. Gibson),,37,35
139,2,6:23.0,,Turnover by C. Landry (offensive foul),37,35
140,2,6:23.0,M. Dunleavy enters the game for A. Brooks,,37,35
141,2,6:23.0,,D. Cousins enters the game for O. Casspi,37,35
142,2,6:09.0,M. Dunleavy misses 3-pt jump shot from 24 ft,,37,35
143,2,6:08.0,,Defensive rebound by D. Cousins,37,35
144,2,5:55.0,,R. Gay makes 2-pt layup from 3 ft (assist by D. Collison),37,37
145,2,5:43.0,Turnover by T. Gibson (offensive foul),,37,37
146,2,5:43.0,,Offensive charge foul by T. Gibson (drawn by D. Cousins),37,37
147,2,5:43.0,,Sacramento full timeout,37,37
148,2,5:30.0,,Shooting foul by T. Gibson (drawn by D. Cousins),37,37
149,2,5:30.0,,D. Cousins makes free throw 1 of 2,37,38
150,2,5:30.0,C. Bairstow enters the game for T. Gibson,,37,38
151,2,5:30.0,,D. Cousins makes free throw 2 of 2,37,39
152,2,5:13.0,J. Noah misses 2-pt jump shot from 17 ft,,37,39
153,2,5:12.0,,Defensive rebound by D. Williams,37,39
154,2,5:01.0,,D. Cousins makes 2-pt jump shot from 14 ft,37,41
155,2,4:47.0,Personal foul by R. Gay (drawn by J. Butler),,37,41
156,2,4:41.0,J. Butler misses 2-pt jump shot from 7 ft,,37,41
157,2,4:39.0,Offensive rebound by J. Noah,,37,41
