,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW YORK_ACTION,LA LAKERS_SCORE,NEW YORK_SCORE
0,1,11:43.0,,C. Anthony misses 3-pt jump shot from 25 ft,0,0
1,1,11:42.0,Defensive rebound by R. Kelly,,0,0
2,1,11:18.0,Turnover by Team (shot clock),,0,0
3,1,11:02.0,,J. Smith misses 2-pt jump shot from 9 ft,0,0
4,1,11:01.0,Defensive rebound by J. Hill,,0,0
5,1,10:50.0,J. Hill misses 2-pt jump shot from 20 ft,,0,0
6,1,10:49.0,,Defensive rebound by J. Calderón,0,0
7,1,10:38.0,,J. Smith makes 2-pt jump shot from 16 ft (assist by J. Calderón),0,2
8,1,10:14.0,R. Sacre misses 2-pt hook shot from 5 ft,,0,2
9,1,10:13.0,Offensive rebound by R. Sacre,,0,2
10,1,10:12.0,R. Sacre misses 2-pt jump shot from 4 ft,,0,2
11,1,10:11.0,Offensive rebound by J. Hill,,0,2
12,1,10:11.0,J. Hill makes 2-pt tip-in from 1 ft,,2,2
13,1,9:57.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by J. Calderón),2,5
14,1,9:41.0,W. Ellington misses 2-pt jump shot from 21 ft,,2,5
15,1,9:40.0,,Defensive rebound by L. Amundson,2,5
16,1,9:34.0,,Turnover by C. Anthony (lost ball),2,5
17,1,9:21.0,R. Sacre misses 2-pt jump shot from 18 ft,,2,5
18,1,9:20.0,,Defensive rebound by C. Anthony,2,5
19,1,9:06.0,,J. Smith makes 2-pt jump shot from 12 ft (assist by C. Anthony),2,7
20,1,8:51.0,Shooting foul by C. Anthony (drawn by W. Ellington),,2,7
21,1,8:51.0,W. Ellington makes free throw 1 of 2,,3,7
22,1,8:51.0,W. Ellington makes free throw 2 of 2,,4,7
23,1,8:36.0,,C. Anthony misses 2-pt jump shot from 15 ft,4,7
24,1,8:35.0,Defensive rebound by J. Clarkson,,4,7
25,1,8:27.0,R. Sacre misses 2-pt hook shot from 5 ft,,4,7
26,1,8:26.0,Offensive rebound by J. Hill,,4,7
27,1,8:26.0,J. Hill misses 2-pt tip-in from 2 ft,,4,7
28,1,8:25.0,,Defensive rebound by L. Galloway,4,7
29,1,8:10.0,,J. Smith misses 3-pt jump shot from 22 ft,4,7
30,1,8:09.0,Defensive rebound by R. Sacre,,4,7
31,1,7:58.0,Turnover by J. Hill (lost ball; steal by J. Calderón),,4,7
32,1,7:53.0,,C. Anthony misses 2-pt jump shot from 17 ft,4,7
33,1,7:52.0,Defensive rebound by J. Hill,,4,7
34,1,7:50.0,Personal foul by J. Calderón (drawn by W. Ellington),,4,7
35,1,7:35.0,J. Clarkson makes 2-pt jump shot from 21 ft,,6,7
36,1,7:26.0,,Personal foul by R. Kelly (drawn by C. Anthony),6,7
37,1,7:21.0,,L. Galloway misses 2-pt jump shot from 22 ft,6,7
38,1,7:20.0,Defensive rebound by J. Hill,,6,7
39,1,7:12.0,Turnover by J. Hill (lost ball; steal by J. Calderón),,6,7
40,1,7:07.0,,Turnover by J. Smith (lost ball; steal by W. Ellington),6,7
41,1,6:55.0,Turnover by R. Kelly (bad pass),,6,7
42,1,6:44.0,,J. Calderón makes 2-pt jump shot from 22 ft (assist by L. Galloway),6,9
43,1,6:23.0,W. Ellington misses 2-pt layup from 1 ft,,6,9
44,1,6:22.0,,Defensive rebound by Team,6,9
45,1,6:07.0,,L. Galloway makes 2-pt jump shot from 18 ft,6,11
46,1,5:45.0,J. Clarkson misses 3-pt jump shot from 24 ft,,6,11
47,1,5:44.0,,Defensive rebound by L. Amundson,6,11
48,1,5:36.0,,C. Anthony makes 2-pt jump shot from 22 ft,6,13
49,1,5:28.0,LA Lakers full timeout,,6,13
50,1,5:28.0,J. Lin enters the game for R. Sacre,,6,13
51,1,5:28.0,C. Boozer enters the game for W. Ellington,,6,13
52,1,5:18.0,R. Kelly makes 3-pt jump shot from 24 ft (assist by J. Lin),,9,13
53,1,5:04.0,,L. Galloway makes 3-pt jump shot from 25 ft (assist by C. Anthony),9,16
54,1,4:47.0,J. Clarkson makes 3-pt jump shot from 24 ft (assist by J. Lin),,12,16
55,1,4:40.0,E. Davis enters the game for J. Hill,,12,16
56,1,4:36.0,,L. Galloway makes 2-pt layup at rim,12,18
57,1,4:36.0,,Shooting foul by E. Davis (drawn by L. Galloway),12,18
58,1,4:36.0,,L. Galloway makes free throw 1 of 1,12,19
59,1,4:14.0,E. Davis misses 2-pt layup from 1 ft (block by L. Galloway),,12,19
60,1,4:13.0,Offensive rebound by E. Davis,,12,19
61,1,4:12.0,E. Davis misses 2-pt layup from 1 ft,,12,19
62,1,4:11.0,,Defensive rebound by Team,12,19
63,1,3:48.0,,J. Calderón makes 3-pt jump shot from 25 ft (assist by L. Amundson),12,22
64,1,3:32.0,C. Boozer misses 2-pt jump shot from 9 ft,,12,22
65,1,3:31.0,,Defensive rebound by J. Smith,12,22
66,1,3:20.0,,C. Anthony makes 2-pt layup from 1 ft,12,24
67,1,3:05.0,R. Kelly misses 3-pt jump shot from 25 ft,,12,24
68,1,3:04.0,,Defensive rebound by L. Galloway,12,24
69,1,2:51.0,,C. Anthony makes 2-pt jump shot from 8 ft,12,26
70,1,2:40.0,Personal foul by L. Galloway (drawn by J. Lin),,12,26
71,1,2:40.0,,New York full timeout,12,26
72,1,2:40.0,,T. Hardaway enters the game for J. Smith,12,26
73,1,2:40.0,,Q. Acy enters the game for J. Calderón,12,26
74,1,2:40.0,W. Johnson enters the game for R. Kelly,,12,26
75,1,2:29.0,Def 3 sec tech foul by L. Amundson,,12,26
76,1,2:29.0,W. Johnson makes technical free throw,,13,26
77,1,2:21.0,Turnover by J. Lin (bad pass; steal by Q. Acy),,13,26
78,1,2:17.0,,L. Amundson misses 2-pt layup from 1 ft,13,26
79,1,2:14.0,,Offensive rebound by L. Amundson,13,26
80,1,2:14.0,,L. Amundson misses 2-pt layup from 2 ft,13,26
81,1,2:11.0,Defensive rebound by E. Davis,,13,26
82,1,2:05.0,J. Clarkson misses 2-pt layup at rim (block by L. Amundson),,13,26
83,1,2:04.0,Offensive rebound by Team,,13,26
84,1,2:04.0,,S. Larkin enters the game for L. Galloway,13,26
85,1,2:03.0,Shooting foul by L. Amundson (drawn by C. Boozer),,13,26
86,1,2:03.0,C. Boozer misses free throw 1 of 2,,13,26
87,1,2:03.0,Offensive rebound by Team,,13,26
88,1,2:03.0,C. Boozer makes free throw 2 of 2,,14,26
89,1,1:46.0,,T. Hardaway misses 2-pt jump shot from 15 ft,14,26
90,1,1:45.0,,Offensive rebound by Q. Acy,14,26
