,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,BROOKLYN_ACTION,WASHINGTON_SCORE,BROOKLYN_SCORE
0,1,11:41.0,,B. Lopez misses 2-pt hook shot from 10 ft,0,0
1,1,11:40.0,Defensive rebound by R. Sessions,,0,0
2,1,11:17.0,N. Hilário misses 2-pt jump shot from 17 ft,,0,0
3,1,11:16.0,,Defensive rebound by J. Johnson,0,0
4,1,11:07.0,,D. Williams misses 2-pt layup from 1 ft,0,0
5,1,11:06.0,,Offensive rebound by T. Young,0,0
6,1,10:59.0,,T. Young misses 2-pt jump shot from 14 ft,0,0
7,1,10:58.0,Defensive rebound by M. Gortat,,0,0
8,1,10:49.0,P. Pierce makes 3-pt jump shot from 25 ft (assist by R. Sessions),,3,0
9,1,10:38.0,,Turnover by D. Williams (lost ball),3,0
10,1,10:14.0,Turnover by Team (shot clock),,3,0
11,1,9:57.0,,M. Brown misses 2-pt jump shot from 17 ft,3,0
12,1,9:56.0,Defensive rebound by M. Gortat,,3,0
13,1,9:48.0,N. Hilário makes 2-pt layup at rim (assist by R. Sessions),,5,0
14,1,9:36.0,,B. Lopez makes 2-pt jump shot from 11 ft (assist by D. Williams),5,2
15,1,9:11.0,B. Beal misses 2-pt jump shot from 22 ft,,5,2
16,1,9:10.0,,Defensive rebound by J. Johnson,5,2
17,1,8:49.0,,B. Lopez makes 2-pt jump shot from 12 ft (assist by J. Johnson),5,4
18,1,8:41.0,Turnover by R. Sessions (bad pass),,5,4
19,1,8:29.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by D. Williams),5,7
20,1,8:05.0,P. Pierce misses 2-pt jump shot from 23 ft,,5,7
21,1,8:04.0,,Defensive rebound by B. Lopez,5,7
22,1,7:56.0,,M. Brown makes 2-pt layup at rim (assist by J. Johnson),5,9
23,1,7:43.0,R. Sessions misses 2-pt jump shot from 5 ft,,5,9
24,1,7:42.0,Offensive rebound by R. Sessions,,5,9
25,1,7:19.0,B. Beal misses 2-pt jump shot from 10 ft,,5,9
26,1,7:18.0,Offensive rebound by Team,,5,9
27,1,7:18.0,Turnover by Team (shot clock),,5,9
28,1,7:06.0,,B. Lopez makes 2-pt jump shot from 7 ft,5,11
