,QUARTER,TIME_REMAINING,BOSTON_ACTION,HOUSTON_ACTION,BOSTON_SCORE,HOUSTON_SCORE
0,1,11:40.0,,T. Jones makes 2-pt layup from 4 ft,0,2
1,1,11:26.0,A. Bradley misses 3-pt jump shot from 26 ft,,0,2
2,1,11:24.0,,Defensive rebound by D. Howard,0,2
3,1,11:09.0,,Shooting foul by K. Olynyk (drawn by T. Jones),0,2
4,1,11:09.0,,T. Jones makes free throw 1 of 2,0,3
5,1,11:09.0,,T. Jones makes free throw 2 of 2,0,4
6,1,10:52.0,K. Olynyk misses 2-pt jump shot from 17 ft,,0,4
7,1,10:51.0,,Defensive rebound by J. Harden,0,4
8,1,10:43.0,,J. Harden misses 2-pt jump shot from 3 ft,0,4
9,1,10:42.0,Defensive rebound by R. Rondo,,0,4
10,1,10:33.0,A. Bradley misses 3-pt jump shot from 23 ft,,0,4
11,1,10:32.0,,Defensive rebound by Team,0,4
12,1,10:32.0,Loose ball foul by K. Olynyk (drawn by D. Howard),,0,4
13,1,10:14.0,,Shooting foul by J. Sullinger (drawn by D. Howard),0,4
14,1,10:14.0,,D. Howard makes free throw 1 of 2,0,5
15,1,10:14.0,,D. Howard makes free throw 2 of 2,0,6
16,1,9:59.0,J. Green makes 2-pt jump shot from 4 ft,,2,6
17,1,9:47.0,,Shooting foul by R. Rondo (drawn by J. Harden),2,6
18,1,9:47.0,,J. Harden makes free throw 1 of 2,2,7
19,1,9:47.0,,J. Harden makes free throw 2 of 2,2,8
20,1,9:36.0,K. Olynyk makes 2-pt layup from 1 ft,,4,8
21,1,9:19.0,,T. Ariza misses 2-pt layup from 1 ft (block by K. Olynyk),4,8
22,1,9:18.0,,Offensive rebound by T. Jones,4,8
23,1,9:17.0,,T. Jones makes 2-pt tip-in from 2 ft,4,10
24,1,9:05.0,J. Green misses 3-pt jump shot from 27 ft,,4,10
25,1,9:03.0,,Defensive rebound by J. Harden,4,10
26,1,8:52.0,,J. Harden makes 2-pt layup from 1 ft,4,12
27,1,8:35.0,K. Olynyk misses 3-pt jump shot from 25 ft,,4,12
28,1,8:34.0,,Defensive rebound by J. Harden,4,12
29,1,8:32.0,,Turnover by J. Harden (bad pass),4,12
30,1,8:18.0,J. Green misses 3-pt jump shot from 24 ft,,4,12
31,1,8:16.0,,Defensive rebound by D. Howard,4,12
32,1,7:59.0,,T. Ariza misses 2-pt jump shot from 10 ft,4,12
33,1,7:58.0,,Offensive rebound by T. Jones,4,12
34,1,7:58.0,,T. Jones makes 2-pt tip-in from 1 ft,4,14
35,1,7:32.0,J. Sullinger misses 2-pt hook shot from 9 ft,,4,14
36,1,7:30.0,,Defensive rebound by J. Harden,4,14
37,1,7:27.0,Offensive charge foul by T. Jones (drawn by R. Rondo),,4,14
38,1,7:27.0,,Turnover by T. Jones (offensive foul),4,14
39,1,7:27.0,B. Bass enters the game for K. Olynyk,,4,14
40,1,7:20.0,Personal foul by T. Ariza (drawn by A. Bradley),,4,14
41,1,7:07.0,B. Bass makes 2-pt jump shot from 18 ft (assist by J. Green),,6,14
42,1,6:54.0,,T. Ariza makes 2-pt layup from 1 ft,6,16
43,1,6:33.0,B. Bass makes 2-pt jump shot from 14 ft (assist by R. Rondo),,8,16
44,1,6:14.0,,I. Canaan makes 3-pt jump shot from 22 ft (assist by T. Ariza),8,19
45,1,6:13.0,Boston full timeout,,8,19
46,1,6:02.0,R. Rondo misses 2-pt layup from 1 ft,,8,19
47,1,6:00.0,,Defensive rebound by J. Harden,8,19
48,1,5:56.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),8,22
49,1,5:42.0,Turnover by R. Rondo (bad pass; steal by I. Canaan),,8,22
50,1,5:38.0,,T. Jones misses 2-pt layup from 3 ft (block by J. Sullinger),8,22
51,1,5:38.0,,Offensive rebound by Team,8,22
52,1,5:38.0,M. Smart enters the game for R. Rondo,,8,22
53,1,5:37.0,,Turnover by T. Ariza (bad pass),8,22
54,1,5:22.0,M. Smart misses 3-pt jump shot from 23 ft,,8,22
55,1,5:21.0,,Defensive rebound by T. Jones,8,22
56,1,5:01.0,,I. Canaan misses 3-pt jump shot from 25 ft,8,22
57,1,5:00.0,Defensive rebound by B. Bass,,8,22
58,1,4:55.0,J. Sullinger makes 2-pt layup from 1 ft (assist by A. Bradley),,10,22
59,1,4:42.0,,J. Harden makes 2-pt jump shot from 16 ft,10,24
60,1,4:31.0,J. Sullinger misses 3-pt jump shot from 27 ft,,10,24
61,1,4:30.0,,Defensive rebound by D. Howard,10,24
62,1,4:19.0,,T. Jones makes 2-pt layup from 2 ft (assist by J. Harden),10,26
63,1,4:03.0,B. Bass makes 2-pt jump shot from 20 ft,,12,26
64,1,3:55.0,,Personal foul by A. Bradley (drawn by J. Harden),12,26
65,1,3:55.0,,J. Harden makes free throw 1 of 2,12,27
66,1,3:55.0,,T. Black enters the game for D. Howard,12,27
67,1,3:55.0,,J. Terry enters the game for I. Canaan,12,27
68,1,3:55.0,E. Turner enters the game for J. Sullinger,,12,27
69,1,3:55.0,M. Thornton enters the game for A. Bradley,,12,27
70,1,3:55.0,,J. Harden makes free throw 2 of 2,12,28
71,1,3:49.0,Turnover by J. Green (lost ball; steal by J. Harden),,12,28
72,1,3:49.0,,Personal foul by J. Green (drawn by J. Harden),12,28
73,1,3:49.0,,J. Harden makes free throw 1 of 2,12,29
74,1,3:49.0,,J. Harden makes free throw 2 of 2,12,30
75,1,3:39.0,J. Green misses 3-pt jump shot from 25 ft,,12,30
76,1,3:37.0,,Defensive rebound by T. Ariza,12,30
77,1,3:30.0,,J. Harden misses 3-pt jump shot from 25 ft,12,30
78,1,3:29.0,Defensive rebound by J. Green,,12,30
79,1,3:13.0,Personal foul by T. Ariza (drawn by B. Bass),,12,30
80,1,3:13.0,,K. Papanikolaou enters the game for T. Ariza,12,30
81,1,3:04.0,J. Green makes 2-pt jump shot from 10 ft,,14,30
82,1,2:53.0,,Offensive foul by T. Black (drawn by B. Bass),14,30
83,1,2:53.0,,Turnover by T. Black (offensive foul),14,30
84,1,2:53.0,,Houston full timeout,14,30
85,1,2:53.0,T. Zeller enters the game for B. Bass,,14,30
86,1,2:40.0,J. Green makes 2-pt jump shot from 9 ft,,16,30
87,1,2:22.0,,Turnover by K. Papanikolaou (traveling),16,30
88,1,2:04.0,Turnover by M. Smart (bad pass; steal by J. Harden),,16,30
89,1,1:56.0,,T. Jones misses 3-pt jump shot from 26 ft,16,30
90,1,1:54.0,,Offensive rebound by K. Papanikolaou,16,30
91,1,1:50.0,,T. Jones makes 2-pt layup from 2 ft (assist by J. Harden),16,32
92,1,1:38.0,T. Zeller makes 2-pt layup from 1 ft,,18,32
93,1,1:38.0,Shooting foul by T. Black (drawn by T. Zeller),,18,32
94,1,1:38.0,,D. Howard enters the game for J. Harden,18,32
95,1,1:38.0,,I. Canaan enters the game for T. Jones,18,32
96,1,1:38.0,R. Rondo enters the game for M. Smart,,18,32
97,1,1:38.0,,D. Motiejūnas enters the game for T. Black,18,32
98,1,1:38.0,J. Sullinger enters the game for J. Green,,18,32
99,1,1:38.0,T. Zeller misses free throw 1 of 1,,18,32
100,1,1:38.0,,Defensive rebound by D. Howard,18,32
101,1,1:16.0,,D. Howard makes 2-pt jump shot from 6 ft (assist by D. Motiejūnas),18,34
102,1,0:52.0,J. Sullinger misses 2-pt jump shot from 9 ft,,18,34
103,1,0:50.0,,Defensive rebound by I. Canaan,18,34
104,1,0:37.0,,D. Howard misses 2-pt layup from 1 ft (block by T. Zeller),18,34
105,1,0:36.0,,Offensive rebound by Team,18,34
106,1,0:29.0,,J. Terry makes 3-pt jump shot from 27 ft (assist by D. Howard),18,37
107,1,0:21.0,Shooting foul by K. Papanikolaou (drawn by E. Turner),,18,37
108,1,0:21.0,E. Turner makes free throw 1 of 2,,19,37
109,1,0:21.0,E. Turner makes free throw 2 of 2,,20,37
110,1,0:07.0,,Turnover by J. Terry (bad pass; steal by E. Turner),20,37
111,1,0:02.0,M. Thornton makes 2-pt layup from 1 ft (assist by R. Rondo),,22,37
112,1,0:00.0,,I. Canaan misses 3-pt jump shot from 47 ft,22,37
113,1,0:00.0,,Offensive rebound by Team,22,37
114,2,11:45.0,E. Turner misses 2-pt jump shot from 18 ft,,22,37
115,2,11:43.0,Offensive rebound by T. Zeller,,22,37
116,2,11:27.0,Personal foul by D. Motiejūnas (drawn by T. Zeller),,22,37
117,2,11:22.0,E. Turner misses 2-pt jump shot from 12 ft,,22,37
118,2,11:20.0,,Defensive rebound by D. Motiejūnas,22,37
119,2,11:12.0,,Personal foul by T. Zeller (drawn by D. Howard),22,37
120,2,11:12.0,,Personal foul by E. Turner (drawn by I. Canaan),22,37
121,2,11:00.0,,Shooting foul by R. Rondo (drawn by D. Motiejūnas),22,37
122,2,11:00.0,,D. Motiejūnas makes free throw 1 of 2,22,38
123,2,11:00.0,,D. Motiejūnas makes free throw 2 of 2,22,39
124,2,10:46.0,Personal foul by I. Canaan (drawn by R. Rondo),,22,39
125,2,10:33.0,J. Sullinger makes 2-pt layup from 3 ft,,24,39
126,2,10:24.0,,Turnover by K. Papanikolaou (bad pass; steal by E. Turner),24,39
127,2,10:20.0,M. Thornton makes 2-pt layup from 1 ft (assist by R. Rondo),,26,39
128,2,9:46.0,,J. Terry misses 3-pt jump shot from 31 ft,26,39
129,2,9:45.0,,Offensive rebound by Team,26,39
130,2,9:45.0,,Turnover by Team (shot clock),26,39
131,2,9:31.0,Turnover by R. Rondo (lost ball; steal by I. Canaan),,26,39
132,2,9:27.0,,K. Papanikolaou misses 2-pt layup from 1 ft (block by E. Turner),26,39
133,2,9:23.0,Defensive rebound by T. Zeller,,26,39
134,2,9:20.0,M. Thornton misses 3-pt jump shot from 24 ft,,26,39
135,2,9:20.0,,Defensive rebound by Team,26,39
136,2,9:07.0,K. Olynyk enters the game for T. Zeller,,26,39
137,2,9:04.0,,Shooting foul by J. Sullinger (drawn by D. Howard),26,39
138,2,9:04.0,,D. Howard makes free throw 1 of 2,26,40
139,2,9:04.0,,D. Howard misses free throw 2 of 2,26,40
140,2,9:04.0,Defensive rebound by J. Sullinger,,26,40
141,2,8:47.0,Turnover by J. Sullinger (bad pass; steal by J. Terry),,26,40
142,2,8:44.0,,Shooting foul by J. Sullinger (drawn by D. Howard),26,40
143,2,8:44.0,,Houston full timeout,26,40
144,2,8:44.0,B. Bass enters the game for J. Sullinger,,26,40
145,2,8:44.0,,J. Harden enters the game for J. Terry,26,40
146,2,8:44.0,,D. Howard misses free throw 1 of 2,26,40
147,2,8:44.0,,Offensive rebound by Team,26,40
148,2,8:44.0,,D. Howard makes free throw 2 of 2,26,41
149,2,8:30.0,K. Olynyk makes 2-pt layup from 1 ft (assist by R. Rondo),,28,41
150,2,8:17.0,,I. Canaan misses 3-pt jump shot from 23 ft,28,41
151,2,8:16.0,Defensive rebound by K. Olynyk,,28,41
152,2,8:10.0,Turnover by K. Olynyk (bad pass; steal by K. Papanikolaou),,28,41
153,2,8:05.0,,I. Canaan makes 3-pt jump shot from 24 ft (assist by J. Harden),28,44
154,2,7:38.0,Turnover by Team (shot clock),,28,44
155,2,7:38.0,A. Bradley enters the game for M. Thornton,,28,44
156,2,7:22.0,,D. Howard makes 2-pt hook shot from 6 ft (assist by K. Papanikolaou),28,46
157,2,7:00.0,B. Bass misses 2-pt jump shot from 1 ft,,28,46
158,2,6:59.0,Offensive rebound by B. Bass,,28,46
159,2,6:59.0,B. Bass misses 2-pt tip-in from 1 ft,,28,46
160,2,6:57.0,,Defensive rebound by D. Motiejūnas,28,46
161,2,6:46.0,,D. Howard misses 2-pt hook shot from 8 ft,28,46
162,2,6:44.0,Defensive rebound by R. Rondo,,28,46
163,2,6:38.0,E. Turner makes 2-pt jump shot from 13 ft,,30,46
164,2,6:28.0,,I. Canaan misses 3-pt jump shot from 25 ft,30,46
165,2,6:26.0,Defensive rebound by R. Rondo,,30,46
166,2,6:16.0,R. Rondo misses 2-pt jump shot from 9 ft,,30,46
167,2,6:14.0,,Defensive rebound by J. Harden,30,46
168,2,6:09.0,,K. Papanikolaou misses 3-pt jump shot from 23 ft,30,46
169,2,6:08.0,Defensive rebound by R. Rondo,,30,46
170,2,6:01.0,K. Olynyk misses 3-pt jump shot from 25 ft,,30,46
171,2,5:59.0,,Defensive rebound by J. Harden,30,46
172,2,5:54.0,,Houston full timeout,30,46
173,2,5:54.0,J. Green enters the game for R. Rondo,,30,46
174,2,5:54.0,M. Smart enters the game for E. Turner,,30,46
175,2,5:54.0,,T. Ariza enters the game for D. Howard,30,46
176,2,5:54.0,,T. Black enters the game for K. Papanikolaou,30,46
177,2,5:54.0,,T. Jones enters the game for D. Motiejūnas,30,46
