,QUARTER,TIME_REMAINING,ORLANDO_ACTION,PORTLAND_ACTION,ORLANDO_SCORE,PORTLAND_SCORE
0,1,11:38.0,,C. Kaman makes 2-pt jump shot from 6 ft,0,2
1,1,11:26.0,Turnover by E. Payton (bad pass),,0,2
2,1,11:05.0,,L. Aldridge misses 2-pt jump shot from 16 ft,0,2
3,1,11:04.0,,Offensive rebound by N. Batum,0,2
4,1,10:59.0,,N. Batum misses 3-pt jump shot from 26 ft,0,2
5,1,10:58.0,Defensive rebound by N. Vučević,,0,2
6,1,10:51.0,Shooting foul by C. Kaman (drawn by V. Oladipo),,0,2
7,1,10:51.0,V. Oladipo makes free throw 1 of 2,,1,2
8,1,10:51.0,V. Oladipo makes free throw 2 of 2,,2,2
9,1,10:28.0,,Turnover by N. Batum (bad pass; steal by D. Marble),2,2
10,1,10:12.0,N. Vučević makes 2-pt hook shot from 4 ft,,4,2
11,1,9:56.0,,L. Aldridge makes 2-pt jump shot from 11 ft,4,4
12,1,9:48.0,Turnover by N. Vučević (lost ball; steal by D. Lillard),,4,4
13,1,9:39.0,,L. Aldridge misses 2-pt jump shot from 12 ft,4,4
14,1,9:39.0,Defensive rebound by N. Vučević,,4,4
15,1,9:30.0,Shooting foul by C. Kaman (drawn by N. Vučević),,4,4
16,1,9:30.0,N. Vučević misses free throw 1 of 2,,4,4
17,1,9:30.0,Offensive rebound by Team,,4,4
18,1,9:30.0,,M. Leonard enters the game for C. Kaman,4,4
19,1,9:30.0,N. Vučević makes free throw 2 of 2,,5,4
20,1,9:14.0,,L. Aldridge misses 2-pt jump shot from 7 ft,5,4
21,1,9:13.0,Defensive rebound by C. Frye,,5,4
22,1,8:58.0,C. Frye misses 3-pt jump shot from 26 ft,,5,4
23,1,8:57.0,,Defensive rebound by N. Batum,5,4
24,1,8:47.0,,M. Leonard makes 3-pt jump shot from 26 ft (assist by D. Lillard),5,7
25,1,8:32.0,V. Oladipo misses 2-pt layup at rim (block by N. Batum),,5,7
26,1,8:30.0,,Defensive rebound by N. Batum,5,7
27,1,8:25.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by N. Batum),5,10
28,1,8:10.0,V. Oladipo misses 3-pt jump shot from 24 ft,,5,10
29,1,8:10.0,Offensive rebound by E. Payton,,5,10
30,1,7:57.0,N. Vučević makes 2-pt hook shot from 11 ft,,7,10
31,1,7:36.0,,L. Aldridge makes 2-pt hook shot from 3 ft (assist by D. Lillard),7,12
32,1,7:21.0,N. Vučević misses 2-pt jump shot from 10 ft,,7,12
33,1,7:20.0,,Defensive rebound by N. Batum,7,12
34,1,7:14.0,,W. Matthews misses 3-pt jump shot from 25 ft,7,12
35,1,7:13.0,,Offensive rebound by L. Aldridge,7,12
36,1,7:11.0,,L. Aldridge makes 2-pt layup at rim,7,14
37,1,6:58.0,V. Oladipo misses 2-pt layup from 1 ft,,7,14
38,1,6:57.0,Offensive rebound by N. Vučević,,7,14
39,1,6:54.0,N. Vučević misses 2-pt layup from 1 ft,,7,14
40,1,6:53.0,,Defensive rebound by L. Aldridge,7,14
41,1,6:44.0,,D. Lillard makes 3-pt jump shot from 24 ft (assist by W. Matthews),7,17
42,1,6:42.0,Orlando full timeout,,7,17
43,1,6:30.0,C. Frye misses 2-pt jump shot from 20 ft,,7,17
44,1,6:29.0,,Defensive rebound by N. Batum,7,17
45,1,6:18.0,,Turnover by L. Aldridge (traveling),7,17
46,1,6:08.0,E. Payton misses 2-pt jump shot from 16 ft,,7,17
47,1,6:07.0,,Defensive rebound by N. Batum,7,17
48,1,5:53.0,,M. Leonard makes 2-pt hook shot from 7 ft (assist by W. Matthews),7,19
49,1,5:30.0,Turnover by N. Vučević (bad pass; steal by W. Matthews),,7,19
50,1,5:25.0,,W. Matthews misses 3-pt jump shot from 25 ft,7,19
51,1,5:21.0,Defensive rebound by C. Frye,,7,19
52,1,5:20.0,Turnover by C. Frye (bad pass; steal by W. Matthews),,7,19
53,1,5:16.0,,L. Aldridge misses 2-pt jump shot from 18 ft,7,19
54,1,5:15.0,Defensive rebound by N. Vučević,,7,19
55,1,5:07.0,C. Frye misses 3-pt jump shot from 26 ft,,7,19
56,1,5:05.0,,Defensive rebound by M. Leonard,7,19
57,1,4:57.0,,D. Lillard misses 3-pt jump shot from 27 ft,7,19
58,1,4:56.0,Defensive rebound by V. Oladipo,,7,19
59,1,4:51.0,E. Payton misses 2-pt layup from 1 ft (block by N. Batum),,7,19
60,1,4:48.0,Offensive rebound by V. Oladipo,,7,19
61,1,4:46.0,V. Oladipo misses 2-pt layup from 1 ft (block by N. Batum),,7,19
62,1,4:44.0,,Defensive rebound by N. Batum,7,19
63,1,4:42.0,,Shooting foul by D. Marble (drawn by D. Lillard),7,19
64,1,4:42.0,,D. Lillard makes free throw 1 of 2,7,20
65,1,4:42.0,,C. McCollum enters the game for W. Matthews,7,20
66,1,4:42.0,M. Harkless enters the game for D. Marble,,7,20
67,1,4:42.0,,D. Lillard misses free throw 2 of 2,7,20
68,1,4:41.0,Defensive rebound by C. Frye,,7,20
69,1,4:27.0,V. Oladipo makes 2-pt jump shot from 11 ft,,9,20
70,1,4:08.0,,N. Batum misses 2-pt layup from 1 ft,9,20
71,1,4:07.0,Defensive rebound by N. Vučević,,9,20
72,1,3:58.0,V. Oladipo misses 3-pt jump shot from 25 ft,,9,20
73,1,3:57.0,,Defensive rebound by M. Leonard,9,20
74,1,3:37.0,,Turnover by M. Leonard (lost ball),9,20
75,1,3:37.0,K. O'Quinn enters the game for N. Vučević,,9,20
76,1,3:24.0,C. Frye misses 3-pt jump shot from 26 ft,,9,20
77,1,3:23.0,,Defensive rebound by D. Lillard,9,20
78,1,3:16.0,,Shooting foul by K. O'Quinn (drawn by D. Lillard),9,20
79,1,3:16.0,,D. Lillard makes free throw 1 of 2,9,21
80,1,3:16.0,L. Ridnour enters the game for E. Payton,,9,21
81,1,3:16.0,,D. Lillard makes free throw 2 of 2,9,22
82,1,3:06.0,M. Harkless misses 2-pt layup at rim (block by L. Aldridge),,9,22
83,1,3:02.0,,Defensive rebound by M. Leonard,9,22
84,1,2:53.0,,C. McCollum misses 3-pt jump shot from 25 ft,9,22
85,1,2:52.0,Defensive rebound by K. O'Quinn,,9,22
86,1,2:46.0,Offensive foul by K. O'Quinn (drawn by N. Batum),,9,22
87,1,2:46.0,Turnover by K. O'Quinn (offensive foul),,9,22
88,1,2:46.0,,Portland full timeout,9,22
89,1,2:46.0,,S. Blake enters the game for D. Lillard,9,22
90,1,2:38.0,,M. Leonard misses 2-pt dunk at rim,9,22
91,1,2:36.0,Defensive rebound by C. Frye,,9,22
92,1,2:21.0,V. Oladipo misses 3-pt jump shot from 24 ft,,9,22
93,1,2:20.0,,Defensive rebound by N. Batum,9,22
94,1,2:07.0,,M. Leonard makes 2-pt jump shot from 11 ft,9,24
95,1,1:50.0,K. O'Quinn makes 2-pt jump shot from 12 ft,,11,24
96,1,1:30.0,,Turnover by N. Batum (traveling),11,24
97,1,1:30.0,A. Nicholson enters the game for C. Frye,,11,24
98,1,1:30.0,B. Gordon enters the game for V. Oladipo,,11,24
99,1,1:30.0,,W. Matthews enters the game for N. Batum,11,24
100,1,1:18.0,M. Harkless misses 3-pt jump shot from 27 ft,,11,24
101,1,1:17.0,Offensive rebound by L. Ridnour,,11,24
102,1,1:02.0,Turnover by K. O'Quinn (lost ball),,11,24
103,1,0:51.0,,L. Aldridge makes 2-pt layup at rim,11,26
104,1,0:45.0,M. Harkless makes 2-pt dunk from 2 ft (assist by L. Ridnour),,13,26
105,1,0:31.0,,Turnover by W. Matthews (bad pass),13,26
106,1,0:10.0,A. Nicholson misses 2-pt hook shot from 7 ft,,13,26
107,1,0:09.0,,Defensive rebound by M. Leonard,13,26
108,1,0:01.0,,M. Leonard misses 3-pt jump shot from 29 ft,13,26
109,1,0:00.0,Defensive rebound by K. O'Quinn,,13,26
110,2,11:42.0,B. Gordon misses 2-pt jump shot from 19 ft,,13,26
111,2,11:41.0,,Defensive rebound by W. Matthews,13,26
112,2,11:25.0,,C. Kaman misses 2-pt jump shot from 19 ft,13,26
113,2,11:24.0,Defensive rebound by B. Gordon,,13,26
114,2,11:15.0,A. Nicholson makes 2-pt jump shot from 20 ft (assist by B. Gordon),,15,26
115,2,10:51.0,,C. Kaman makes 2-pt jump shot from 15 ft (assist by M. Leonard),15,28
116,2,10:39.0,B. Gordon misses 2-pt jump shot from 14 ft,,15,28
117,2,10:38.0,,Defensive rebound by M. Leonard,15,28
118,2,10:32.0,,W. Barton makes 2-pt dunk at rim (assist by S. Blake),15,30
