,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CLEVELAND_ACTION,ORLANDO_SCORE,CLEVELAND_SCORE
0,1,11:49.0,E. Fournier misses 2-pt layup from 1 ft,,0,0
1,1,11:48.0,Offensive rebound by N. Vučević,,0,0
2,1,11:48.0,N. Vučević makes 2-pt dunk at rim,,2,0
3,1,11:31.0,,Turnover by A. Varejão (bad pass),2,0
4,1,11:23.0,Turnover by V. Oladipo (lost ball),,2,0
5,1,11:03.0,,L. James misses 2-pt jump shot from 11 ft,2,0
6,1,11:00.0,Defensive rebound by N. Vučević,,2,0
7,1,10:52.0,E. Fournier makes 2-pt layup from 1 ft,,4,0
8,1,10:35.0,,A. Varejão makes 2-pt layup at rim (assist by L. James),4,2
9,1,10:20.0,M. Harkless misses 3-pt jump shot from 23 ft,,4,2
10,1,10:19.0,,Defensive rebound by K. Love,4,2
11,1,10:15.0,,L. James makes 2-pt layup at rim (assist by K. Love),4,4
12,1,9:50.0,E. Fournier misses 3-pt jump shot from 29 ft,,4,4
13,1,9:49.0,,Defensive rebound by A. Varejão,4,4
14,1,9:38.0,,K. Love misses 2-pt jump shot from 12 ft,4,4
15,1,9:37.0,,Offensive rebound by A. Varejão,4,4
16,1,9:23.0,,K. Love misses 2-pt jump shot from 4 ft,4,4
17,1,9:19.0,,Offensive rebound by S. Marion,4,4
18,1,9:19.0,,S. Marion misses 2-pt tip-in at rim,4,4
19,1,9:16.0,Defensive rebound by C. Frye,,4,4
20,1,9:10.0,V. Oladipo makes 2-pt dunk at rim,,6,4
21,1,8:47.0,,S. Marion misses 2-pt jump shot from 6 ft (block by E. Fournier),6,4
22,1,8:46.0,Defensive rebound by M. Harkless,,6,4
23,1,8:28.0,N. Vučević misses 2-pt jump shot from 4 ft (block by A. Varejão),,6,4
24,1,8:26.0,,Defensive rebound by Team,6,4
25,1,8:15.0,,Shooting foul by M. Harkless (drawn by L. James),6,4
26,1,8:15.0,,L. James makes free throw 1 of 2,6,5
27,1,8:15.0,,L. James makes free throw 2 of 2,6,6
28,1,8:02.0,Turnover by E. Fournier (lost ball; steal by K. Irving),,6,6
29,1,7:57.0,,L. James makes 2-pt dunk at rim (assist by K. Irving),6,8
30,1,7:39.0,V. Oladipo misses 2-pt jump shot from 6 ft (block by A. Varejão),,6,8
31,1,7:37.0,,Defensive rebound by A. Varejão,6,8
32,1,7:34.0,,Shooting foul by M. Harkless (drawn by L. James),6,8
33,1,7:34.0,,L. James makes free throw 1 of 2,6,9
34,1,7:34.0,,L. James makes free throw 2 of 2,6,10
