,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW ORLEANS_ACTION,MEMPHIS_SCORE,NEW ORLEANS_SCORE
0,1,11:40.0,,A. Davis misses 2-pt jump shot from 19 ft,0,0
1,1,11:39.0,Defensive rebound by J. Green,,0,0
2,1,11:21.0,C. Lee misses 2-pt jump shot from 17 ft,,0,0
3,1,11:20.0,,Defensive rebound by Q. Pondexter,0,0
4,1,11:00.0,,Turnover by Q. Pondexter (step out of bounds),0,0
5,1,10:42.0,Z. Randolph misses 2-pt jump shot from 15 ft,,0,0
6,1,10:42.0,,Defensive rebound by Ö. Aşık,0,0
7,1,10:34.0,,A. Davis makes 2-pt layup from 1 ft (assist by T. Evans),0,2
8,1,10:11.0,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Conley),,2,2
9,1,9:52.0,,Turnover by Q. Pondexter (bad pass; steal by M. Gasol),2,2
10,1,9:47.0,Offensive foul by Z. Randolph (drawn by A. Davis),,2,2
11,1,9:47.0,Turnover by Z. Randolph (offensive foul),,2,2
12,1,9:29.0,,A. Davis misses 2-pt jump shot from 15 ft,2,2
13,1,9:29.0,Defensive rebound by M. Conley,,2,2
14,1,9:18.0,M. Conley makes 2-pt layup from 4 ft,,4,2
15,1,9:02.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by A. Davis),4,5
16,1,8:46.0,J. Green makes 2-pt layup from 3 ft (assist by Z. Randolph),,6,5
17,1,8:31.0,,Personal block foul by C. Lee (drawn by E. Gordon),6,5
18,1,8:27.0,,Turnover by A. Davis (lost ball),6,5
19,1,8:04.0,J. Green makes 2-pt jump shot from 20 ft (assist by M. Conley),,8,5
20,1,7:49.0,,Turnover by Ö. Aşık (bad pass; steal by Z. Randolph),8,5
21,1,7:44.0,Turnover by J. Green (lost ball; steal by E. Gordon),,8,5
22,1,7:37.0,,Turnover by T. Evans (bad pass; steal by C. Lee),8,5
23,1,7:32.0,Z. Randolph makes 2-pt dunk at rim (assist by M. Gasol),,10,5
24,1,7:04.0,,A. Davis makes 2-pt jump shot from 16 ft,10,7
25,1,6:55.0,,Violation by Q. Pondexter (kicked ball),10,7
26,1,6:42.0,M. Conley makes 3-pt jump shot from 26 ft (assist by Z. Randolph),,13,7
27,1,6:24.0,,A. Davis misses 2-pt jump shot from 20 ft,13,7
28,1,6:24.0,Defensive rebound by M. Gasol,,13,7
29,1,6:19.0,Shooting foul by A. Davis (drawn by M. Gasol),,13,7
30,1,6:19.0,M. Gasol makes free throw 1 of 2,,14,7
31,1,6:19.0,M. Gasol misses free throw 2 of 2,,14,7
32,1,6:17.0,,Defensive rebound by Ö. Aşık,14,7
33,1,5:59.0,,A. Davis misses 2-pt jump shot from 6 ft,14,7
34,1,5:57.0,Defensive rebound by M. Gasol,,14,7
35,1,5:48.0,J. Green makes 2-pt layup from 2 ft (assist by M. Gasol),,16,7
36,1,5:46.0,,New Orleans full timeout,16,7
37,1,5:46.0,T. Allen enters the game for J. Green,,16,7
38,1,5:33.0,,Ö. Aşık makes 2-pt dunk at rim (assist by E. Gordon),16,9
39,1,5:09.0,Z. Randolph misses 2-pt jump shot from 6 ft (block by Ö. Aşık),,16,9
40,1,5:08.0,,Defensive rebound by Q. Pondexter,16,9
41,1,4:55.0,,A. Davis makes 2-pt layup from 3 ft (assist by Q. Pondexter),16,11
42,1,4:41.0,M. Conley misses 2-pt jump shot from 19 ft,,16,11
43,1,4:41.0,,Defensive rebound by Ö. Aşık,16,11
44,1,4:33.0,,Turnover by Ö. Aşık (lost ball; steal by Z. Randolph),16,11
45,1,4:29.0,C. Lee misses 2-pt layup from 2 ft (block by Q. Pondexter),,16,11
46,1,4:28.0,,Defensive rebound by A. Davis,16,11
47,1,4:28.0,,Personal foul by M. Conley (drawn by A. Davis),16,11
48,1,4:28.0,B. Udrih enters the game for M. Conley,,16,11
49,1,4:18.0,,Ö. Aşık makes 2-pt dunk at rim (assist by T. Evans),16,13
50,1,4:02.0,B. Udrih makes 2-pt jump shot from 13 ft (assist by M. Gasol),,18,13
51,1,4:02.0,Shooting foul by Q. Pondexter (drawn by B. Udrih),,18,13
52,1,4:02.0,,N. Cole enters the game for E. Gordon,18,13
53,1,4:02.0,B. Udrih makes free throw 1 of 1,,19,13
54,1,3:46.0,,N. Cole misses 3-pt jump shot from 23 ft,19,13
55,1,3:45.0,Defensive rebound by M. Gasol,,19,13
56,1,3:41.0,C. Lee makes 2-pt layup from 1 ft (assist by B. Udrih),,21,13
