,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,SACRAMENTO_ACTION,PHILADELPHIA_SCORE,SACRAMENTO_SCORE
0,1,11:44.0,,B. McLemore makes 2-pt hook shot from 7 ft,0,2
1,1,11:31.0,I. Smith makes 3-pt jump shot from 24 ft (assist by L. Mbah a Moute),,3,2
2,1,11:23.0,,Shooting foul by J. Sampson (drawn by D. Cousins),3,2
3,1,11:23.0,,D. Cousins makes free throw 1 of 2,3,3
4,1,11:23.0,,D. Cousins makes free throw 2 of 2,3,4
5,1,11:03.0,N. Noel misses 2-pt jump shot from 4 ft,,3,4
6,1,11:02.0,,Defensive rebound by D. Cousins,3,4
7,1,10:55.0,,D. Cousins misses 2-pt layup from 2 ft (block by N. Noel),3,4
8,1,10:53.0,Defensive rebound by I. Smith,,3,4
9,1,10:48.0,I. Smith makes 2-pt layup from 4 ft,,5,4
10,1,10:35.0,,D. Cousins misses 2-pt jump shot from 4 ft,5,4
11,1,10:34.0,,Offensive rebound by Team,5,4
12,1,10:23.0,,D. Cousins misses 2-pt jump shot from 18 ft,5,4
13,1,10:22.0,Defensive rebound by L. Mbah a Moute,,5,4
14,1,10:14.0,I. Smith makes 2-pt layup from 3 ft,,7,4
15,1,9:46.0,,D. Cousins misses 3-pt jump shot from 23 ft,7,4
16,1,9:46.0,Defensive rebound by N. Noel,,7,4
17,1,9:33.0,I. Smith misses 2-pt layup from 2 ft,,7,4
18,1,9:32.0,,Defensive rebound by D. Cousins,7,4
19,1,9:25.0,,O. Casspi misses 3-pt jump shot from 23 ft,7,4
20,1,9:24.0,Defensive rebound by N. Noel,,7,4
21,1,9:08.0,Def 3 sec tech foul by R. Gay,,7,4
22,1,9:08.0,R. Covington misses technical free throw,,7,4
23,1,9:08.0,Offensive rebound by Team,,7,4
24,1,8:58.0,Turnover by I. Smith (bad pass; steal by D. Cousins),,7,4
25,1,8:54.0,,O. Casspi makes 2-pt layup from 2 ft (assist by R. McCallum),7,6
26,1,8:35.0,I. Smith makes 2-pt layup from 3 ft,,9,6
27,1,8:20.0,,R. Gay misses 2-pt hook shot from 6 ft,9,6
28,1,8:19.0,Defensive rebound by L. Mbah a Moute,,9,6
29,1,8:08.0,L. Mbah a Moute misses 3-pt jump shot from 24 ft,,9,6
30,1,8:07.0,Offensive rebound by N. Noel,,9,6
31,1,8:02.0,J. Sampson makes 3-pt jump shot from 24 ft (assist by N. Noel),,12,6
32,1,7:57.0,,Sacramento full timeout,12,6
33,1,7:46.0,,R. Gay misses 2-pt jump shot from 15 ft,12,6
34,1,7:45.0,Defensive rebound by L. Mbah a Moute,,12,6
35,1,7:33.0,N. Noel misses 2-pt jump shot from 16 ft,,12,6
36,1,7:32.0,,Defensive rebound by O. Casspi,12,6
37,1,7:19.0,,R. McCallum misses 2-pt jump shot from 9 ft,12,6
38,1,7:19.0,Defensive rebound by J. Sampson,,12,6
39,1,7:07.0,N. Noel misses 2-pt jump shot from 8 ft (block by R. Gay),,12,6
40,1,7:05.0,,Defensive rebound by O. Casspi,12,6
41,1,7:03.0,,B. McLemore makes 2-pt dunk at rim (assist by O. Casspi),12,8
42,1,6:44.0,Personal foul by B. McLemore (drawn by J. Sampson),,12,8
43,1,6:35.0,I. Smith misses 2-pt jump shot from 3 ft (block by D. Cousins),,12,8
44,1,6:34.0,Offensive rebound by N. Noel,,12,8
45,1,6:34.0,N. Noel makes 2-pt dunk at rim,,14,8
46,1,6:10.0,,B. McLemore makes 3-pt jump shot from 23 ft (assist by D. Cousins),14,11
47,1,5:50.0,L. Mbah a Moute makes 3-pt jump shot from 24 ft (assist by I. Smith),,17,11
48,1,5:38.0,,D. Cousins misses 2-pt jump shot at rim,17,11
49,1,5:37.0,,Offensive rebound by D. Cousins,17,11
50,1,5:37.0,,D. Cousins makes 2-pt tip-in at rim,17,13
51,1,5:31.0,N. Noel makes 2-pt dunk at rim (assist by I. Smith),,19,13
52,1,5:15.0,,Turnover by R. Gay (lost ball; steal by L. Mbah a Moute),19,13
53,1,5:08.0,J. Sampson misses 3-pt jump shot from 22 ft,,19,13
54,1,5:08.0,,Defensive rebound by R. Gay,19,13
55,1,5:02.0,,J. Thompson enters the game for R. Gay,19,13
56,1,5:02.0,I. Canaan enters the game for L. Mbah a Moute,,19,13
57,1,5:02.0,J. Grant enters the game for I. Smith,,19,13
58,1,5:02.0,T. Robinson enters the game for J. Sampson,,19,13
59,1,4:55.0,,Shooting foul by J. Grant (drawn by D. Cousins),19,13
60,1,4:55.0,,D. Cousins makes free throw 1 of 2,19,14
61,1,4:55.0,F. Aldemir enters the game for N. Noel,,19,14
62,1,4:55.0,,D. Cousins makes free throw 2 of 2,19,15
63,1,4:55.0,Philadelphia full timeout,,19,15
64,1,4:39.0,,Offensive charge foul by J. Grant (drawn by D. Cousins),19,15
65,1,4:39.0,Turnover by J. Grant (offensive foul),,19,15
66,1,4:30.0,,Personal foul by T. Robinson (drawn by J. Thompson),19,15
67,1,4:22.0,,D. Cousins misses 2-pt jump shot from 4 ft,19,15
68,1,4:20.0,,Offensive rebound by J. Thompson,19,15
69,1,4:20.0,,J. Thompson misses 2-pt tip-in at rim,19,15
70,1,4:19.0,,Offensive rebound by J. Thompson,19,15
71,1,4:19.0,,J. Thompson makes 2-pt tip-in at rim,19,17
72,1,4:07.0,H. Thompson enters the game for R. Covington,,19,17
