,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CHICAGO_ACTION,LA LAKERS_SCORE,CHICAGO_SCORE
0,1,11:38.0,,M. Dunleavy misses 3-pt jump shot from 24 ft,0,0
1,1,11:37.0,Defensive rebound by E. Davis,,0,0
2,1,11:20.0,W. Johnson misses 3-pt jump shot from 25 ft,,0,0
3,1,11:19.0,,Defensive rebound by J. Noah,0,0
4,1,11:13.0,,D. Rose makes 2-pt jump shot from 21 ft,0,2
5,1,10:52.0,J. Hill misses 2-pt jump shot from 16 ft,,0,2
6,1,10:51.0,,Defensive rebound by M. Dunleavy,0,2
7,1,10:43.0,,D. Rose makes 2-pt jump shot from 7 ft,0,4
8,1,10:29.0,Shooting foul by J. Butler (drawn by W. Johnson),,0,4
9,1,10:29.0,W. Johnson misses free throw 1 of 2,,0,4
10,1,10:29.0,Offensive rebound by Team,,0,4
11,1,10:29.0,W. Johnson makes free throw 2 of 2,,1,4
12,1,10:15.0,,J. Butler misses 2-pt jump shot from 7 ft,1,4
13,1,10:14.0,Defensive rebound by E. Davis,,1,4
14,1,10:02.0,W. Johnson misses 2-pt jump shot from 20 ft,,1,4
15,1,10:01.0,,Defensive rebound by J. Noah,1,4
16,1,9:51.0,,D. Rose makes 3-pt jump shot from 24 ft (assist by M. Dunleavy),1,7
17,1,9:32.0,J. Hill makes 2-pt jump shot from 15 ft (assist by W. Ellington),,3,7
18,1,9:13.0,,Turnover by D. Rose (bad pass; steal by W. Johnson),3,7
19,1,9:06.0,W. Johnson misses 3-pt jump shot from 24 ft,,3,7
20,1,9:04.0,,Defensive rebound by D. Rose,3,7
21,1,8:54.0,,P. Gasol misses 2-pt jump shot from 12 ft,3,7
22,1,8:53.0,Defensive rebound by W. Johnson,,3,7
23,1,8:42.0,J. Hill misses 2-pt jump shot from 20 ft,,3,7
24,1,8:41.0,,Defensive rebound by M. Dunleavy,3,7
25,1,8:27.0,,D. Rose misses 2-pt jump shot from 13 ft,3,7
26,1,8:26.0,Defensive rebound by J. Hill,,3,7
27,1,8:09.0,Turnover by J. Hill (traveling),,3,7
28,1,7:54.0,,P. Gasol misses 2-pt hook shot from 9 ft,3,7
29,1,7:53.0,,Offensive rebound by J. Noah,3,7
30,1,7:53.0,,J. Noah makes 2-pt layup from 1 ft,3,9
31,1,7:36.0,W. Ellington misses 2-pt jump shot from 22 ft,,3,9
32,1,7:36.0,Offensive rebound by E. Davis,,3,9
33,1,7:36.0,Shooting foul by M. Dunleavy (drawn by E. Davis),,3,9
34,1,7:36.0,E. Davis misses free throw 1 of 2,,3,9
35,1,7:36.0,Offensive rebound by Team,,3,9
36,1,7:36.0,E. Davis makes free throw 2 of 2,,4,9
37,1,7:19.0,,M. Dunleavy misses 2-pt layup from 2 ft (block by J. Hill),4,9
38,1,7:18.0,Defensive rebound by J. Hill,,4,9
39,1,7:08.0,W. Ellington misses 2-pt layup from 2 ft,,4,9
40,1,7:07.0,Offensive rebound by E. Davis,,4,9
41,1,7:07.0,E. Davis makes 2-pt tip-in from 2 ft,,6,9
42,1,6:39.0,,J. Butler misses 3-pt jump shot from 26 ft,6,9
43,1,6:37.0,Defensive rebound by E. Davis,,6,9
44,1,6:28.0,R. Price misses 2-pt jump shot from 15 ft,,6,9
45,1,6:27.0,,Defensive rebound by P. Gasol,6,9
46,1,6:24.0,,Turnover by P. Gasol (bad pass; steal by R. Price),6,9
47,1,6:10.0,W. Johnson makes 2-pt jump shot from 21 ft (assist by W. Ellington),,8,9
48,1,5:56.0,,D. Rose misses 2-pt jump shot from 14 ft,8,9
49,1,5:55.0,Defensive rebound by W. Johnson,,8,9
50,1,5:44.0,R. Price makes 3-pt jump shot from 24 ft (assist by J. Hill),,11,9
51,1,5:21.0,,J. Noah misses 2-pt jump shot from 20 ft,11,9
52,1,5:19.0,,Offensive rebound by J. Butler,11,9
53,1,5:19.0,,J. Butler makes 2-pt tip-in from 1 ft,11,11
54,1,4:57.0,W. Ellington makes 2-pt jump shot from 22 ft,,13,11
55,1,4:42.0,,J. Butler makes 3-pt jump shot from 24 ft (assist by D. Rose),13,14
56,1,4:26.0,W. Johnson misses 2-pt jump shot from 20 ft,,13,14
57,1,4:25.0,,Defensive rebound by J. Butler,13,14
58,1,4:14.0,,J. Butler makes 2-pt layup from 1 ft,13,16
59,1,3:55.0,W. Johnson misses 2-pt jump shot from 14 ft,,13,16
60,1,3:54.0,Offensive rebound by E. Davis,,13,16
61,1,3:54.0,E. Davis misses 2-pt tip-in from 1 ft,,13,16
62,1,3:52.0,Offensive rebound by E. Davis,,13,16
63,1,3:52.0,E. Davis misses 2-pt tip-in from 1 ft,,13,16
64,1,3:51.0,Offensive rebound by W. Johnson,,13,16
65,1,3:46.0,W. Ellington misses 3-pt jump shot from 23 ft,,13,16
66,1,3:44.0,Offensive rebound by E. Davis,,13,16
67,1,3:44.0,E. Davis makes 2-pt tip-in from 1 ft,,15,16
68,1,3:36.0,,Chicago full timeout,15,16
69,1,3:36.0,N. Young enters the game for W. Johnson,,15,16
70,1,3:36.0,C. Boozer enters the game for E. Davis,,15,16
71,1,3:36.0,J. Lin enters the game for R. Price,,15,16
72,1,3:36.0,,T. Gibson enters the game for J. Noah,15,16
73,1,3:36.0,,A. Brooks enters the game for D. Rose,15,16
74,1,3:24.0,,A. Brooks misses 2-pt jump shot from 15 ft,15,16
75,1,3:21.0,Defensive rebound by J. Hill,,15,16
76,1,3:14.0,J. Lin makes 2-pt layup from 1 ft,,17,16
77,1,3:01.0,,P. Gasol makes 2-pt layup at rim,17,18
78,1,3:01.0,,Shooting foul by J. Hill (drawn by P. Gasol),17,18
79,1,3:01.0,R. Sacre enters the game for J. Hill,,17,18
80,1,3:01.0,,P. Gasol makes free throw 1 of 1,17,19
81,1,2:46.0,Personal foul by A. Brooks (drawn by J. Lin),,17,19
82,1,2:46.0,LA Lakers full timeout,,17,19
83,1,2:32.0,C. Boozer misses 2-pt jump shot from 14 ft,,17,19
84,1,2:31.0,,Defensive rebound by A. Brooks,17,19
85,1,2:13.0,,M. Dunleavy makes 3-pt jump shot from 25 ft (assist by P. Gasol),17,22
86,1,1:56.0,N. Young makes 3-pt jump shot from 25 ft,,20,22
87,1,1:39.0,,P. Gasol makes 3-pt jump shot from 23 ft (assist by A. Brooks),20,25
88,1,1:25.0,J. Lin misses 2-pt jump shot from 14 ft,,20,25
89,1,1:24.0,Offensive rebound by R. Sacre,,20,25
90,1,1:19.0,J. Lin misses 2-pt jump shot from 22 ft,,20,25
91,1,1:18.0,,Defensive rebound by J. Butler,20,25
92,1,1:07.0,,Personal foul by R. Sacre (drawn by P. Gasol),20,25
93,1,1:01.0,,A. Brooks makes 2-pt layup from 1 ft,20,27
94,1,0:44.0,J. Lin misses 2-pt jump shot from 16 ft,,20,27
95,1,0:43.0,Offensive rebound by C. Boozer,,20,27
96,1,0:43.0,C. Boozer makes 2-pt tip-in from 2 ft,,22,27
97,1,0:30.0,,A. Brooks misses 3-pt jump shot from 24 ft,22,27
98,1,0:29.0,Defensive rebound by Team,,22,27
99,1,0:04.0,W. Ellington misses 2-pt jump shot from 20 ft,,22,27
100,1,0:03.0,Offensive rebound by W. Ellington,,22,27
101,1,0:00.0,W. Ellington makes 2-pt layup from 2 ft,,24,27
102,2,11:45.0,C. Boozer makes 2-pt jump shot from 15 ft,,26,27
103,2,11:28.0,,A. Brooks misses 2-pt layup from 1 ft (block by R. Sacre),26,27
104,2,11:26.0,Defensive rebound by C. Boozer,,26,27
105,2,11:10.0,Turnover by N. Young (traveling),,26,27
106,2,10:59.0,,Shooting foul by N. Young (drawn by J. Butler),26,27
107,2,10:59.0,,J. Butler makes free throw 1 of 2,26,28
108,2,10:59.0,,J. Butler makes free throw 2 of 2,26,29
109,2,10:40.0,R. Sacre makes 2-pt hook shot from 4 ft (assist by J. Clarkson),,28,29
