,QUARTER,TIME_REMAINING,TORONTO_ACTION,BOSTON_ACTION,TORONTO_SCORE,BOSTON_SCORE
0,1,11:42.0,P. Patterson makes 2-pt layup at rim (assist by D. DeRozan),,2,0
1,1,11:22.0,,J. Sullinger makes 2-pt layup at rim (assist by J. Green),2,2
2,1,11:03.0,Offensive foul by D. DeRozan (drawn by J. Green),,2,2
3,1,11:03.0,Turnover by D. DeRozan (offensive foul),,2,2
4,1,10:51.0,,J. Green makes 2-pt dunk at rim (assist by R. Rondo),2,4
5,1,10:32.0,Shooting foul by A. Bradley (drawn by K. Lowry),,2,4
6,1,10:32.0,K. Lowry makes free throw 1 of 2,,3,4
7,1,10:32.0,K. Lowry misses free throw 2 of 2,,3,4
8,1,10:31.0,,Defensive rebound by K. Olynyk,3,4
9,1,10:15.0,,J. Green makes 3-pt jump shot from 25 ft (assist by R. Rondo),3,7
10,1,9:57.0,D. DeRozan makes 2-pt jump shot from 20 ft (assist by P. Patterson),,5,7
11,1,9:44.0,,A. Bradley makes 2-pt layup at rim (assist by J. Green),5,9
12,1,9:33.0,Personal foul by J. Green (drawn by D. DeRozan),,5,9
13,1,9:23.0,Personal foul by A. Bradley (drawn by K. Lowry),,5,9
14,1,9:18.0,D. DeRozan misses 2-pt jump shot from 17 ft,,5,9
15,1,9:17.0,,Defensive rebound by J. Sullinger,5,9
16,1,9:09.0,,Shooting foul by T. Hansbrough (drawn by K. Olynyk),5,9
17,1,9:09.0,,K. Olynyk makes free throw 1 of 2,5,10
18,1,9:09.0,,K. Olynyk makes free throw 2 of 2,5,11
19,1,8:50.0,T. Ross misses 2-pt jump shot from 12 ft,,5,11
20,1,8:49.0,,Defensive rebound by R. Rondo,5,11
21,1,8:42.0,,J. Sullinger makes 2-pt hook shot from 3 ft (assist by R. Rondo),5,13
22,1,8:36.0,Toronto full timeout,,5,13
23,1,8:24.0,D. DeRozan misses 2-pt jump shot from 17 ft,,5,13
24,1,8:22.0,,Defensive rebound by R. Rondo,5,13
25,1,8:15.0,,Turnover by R. Rondo (bad pass; steal by D. DeRozan),5,13
26,1,8:00.0,P. Patterson misses 2-pt layup at rim,,5,13
27,1,7:59.0,Offensive rebound by T. Hansbrough,,5,13
28,1,7:58.0,T. Hansbrough makes 2-pt layup from 1 ft,,7,13
29,1,7:33.0,,A. Bradley makes 2-pt layup from 1 ft,7,15
30,1,7:20.0,P. Patterson misses 3-pt jump shot from 25 ft,,7,15
31,1,7:19.0,,Defensive rebound by K. Olynyk,7,15
32,1,7:12.0,,J. Green makes 2-pt layup at rim,7,17
33,1,6:52.0,T. Ross misses 2-pt jump shot from 10 ft (block by J. Green),,7,17
34,1,6:51.0,Offensive rebound by Team,,7,17
35,1,6:51.0,,M. Smart enters the game for A. Bradley,7,17
36,1,6:48.0,Turnover by T. Ross (lost ball; steal by M. Smart),,7,17
37,1,6:42.0,,K. Olynyk makes 2-pt layup at rim (assist by R. Rondo),7,19
38,1,6:23.0,K. Lowry makes 2-pt jump shot from 16 ft,,9,19
39,1,6:10.0,,K. Olynyk misses 2-pt layup from 1 ft,9,19
40,1,6:09.0,,Offensive rebound by J. Sullinger,9,19
41,1,6:09.0,,J. Sullinger makes 2-pt dunk at rim,9,21
42,1,5:57.0,Toronto full timeout,,9,21
43,1,5:57.0,L. Williams enters the game for T. Ross,,9,21
44,1,5:57.0,,B. Bass enters the game for K. Olynyk,9,21
45,1,5:44.0,D. DeRozan misses 2-pt layup at rim,,9,21
46,1,5:43.0,,Defensive rebound by R. Rondo,9,21
47,1,5:36.0,,R. Rondo makes 2-pt jump shot from 17 ft,9,23
48,1,5:16.0,D. DeRozan misses 2-pt layup at rim (block by J. Green),,9,23
49,1,5:15.0,,Defensive rebound by B. Bass,9,23
50,1,5:06.0,,R. Rondo makes 2-pt layup from 1 ft,9,25
