,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW YORK_ACTION,BROOKLYN_SCORE,NEW YORK_SCORE
0,1,11:39.0,,A. Bargnani misses 2-pt jump shot from 8 ft,0,0
1,1,11:38.0,Defensive rebound by T. Young,,0,0
2,1,11:20.0,Turnover by T. Young (lost ball; steal by S. Larkin),,0,0
3,1,11:02.0,,L. Amundson misses 2-pt hook shot from 4 ft,0,0
4,1,11:01.0,Defensive rebound by T. Young,,0,0
5,1,10:57.0,Shooting foul by L. Galloway (drawn by M. Brown),,0,0
6,1,10:57.0,Brooklyn full timeout,,0,0
7,1,10:57.0,M. Brown makes free throw 1 of 2,,1,0
8,1,10:57.0,M. Brown makes free throw 2 of 2,,2,0
9,1,10:44.0,,A. Bargnani misses 2-pt layup from 3 ft,2,0
10,1,10:43.0,Defensive rebound by J. Johnson,,2,0
11,1,10:33.0,T. Young misses 2-pt layup from 3 ft (block by L. Amundson),,2,0
12,1,10:33.0,,Defensive rebound by Team,2,0
13,1,10:21.0,,Turnover by L. Thomas (bad pass; steal by J. Johnson),2,0
14,1,10:10.0,D. Williams misses 3-pt jump shot from 24 ft,,2,0
15,1,10:09.0,,Defensive rebound by L. Amundson,2,0
16,1,9:51.0,,S. Larkin makes 2-pt layup from 2 ft,2,2
17,1,9:42.0,D. Williams misses 2-pt jump shot from 13 ft,,2,2
18,1,9:41.0,,Defensive rebound by L. Amundson,2,2
19,1,9:34.0,,S. Larkin misses 3-pt jump shot from 26 ft,2,2
20,1,9:33.0,Defensive rebound by T. Young,,2,2
21,1,9:23.0,D. Williams makes 2-pt jump shot from 21 ft,,4,2
22,1,9:08.0,,Turnover by A. Bargnani (bad pass; steal by M. Brown),4,2
23,1,9:02.0,T. Young makes 2-pt dunk at rim (assist by M. Brown),,6,2
24,1,8:47.0,,Personal foul by M. Brown (drawn by A. Bargnani),6,2
25,1,8:40.0,,A. Bargnani makes 3-pt jump shot from 24 ft (assist by L. Amundson),6,5
26,1,8:31.0,M. Brown misses 2-pt jump shot from 14 ft,,6,5
27,1,8:30.0,Offensive rebound by B. Lopez,,6,5
28,1,8:21.0,B. Lopez makes 2-pt hook shot from 4 ft,,8,5
29,1,8:05.0,,L. Thomas makes 2-pt jump shot from 21 ft (assist by L. Galloway),8,7
30,1,7:53.0,Shooting foul by S. Larkin (drawn by M. Brown),,8,7
31,1,7:53.0,M. Brown makes free throw 1 of 2,,9,7
32,1,7:53.0,M. Brown makes free throw 2 of 2,,10,7
33,1,7:38.0,,L. Galloway makes 2-pt layup from 1 ft (assist by L. Amundson),10,9
34,1,7:27.0,Personal foul by L. Thomas (drawn by J. Johnson),,10,9
35,1,7:25.0,Personal foul by L. Galloway (drawn by M. Brown),,10,9
36,1,7:25.0,,R. Ledo enters the game for L. Galloway,10,9
37,1,7:12.0,J. Johnson makes 3-pt jump shot from 24 ft (assist by D. Williams),,13,9
38,1,6:55.0,,Turnover by L. Amundson (traveling),13,9
39,1,6:32.0,J. Johnson misses 2-pt hook shot from 5 ft,,13,9
40,1,6:31.0,,Defensive rebound by A. Bargnani,13,9
41,1,6:18.0,,R. Ledo misses 2-pt jump shot from 21 ft,13,9
42,1,6:16.0,Defensive rebound by T. Young,,13,9
43,1,6:07.0,B. Lopez makes 2-pt layup from 1 ft (assist by D. Williams),,15,9
44,1,6:00.0,,New York full timeout,15,9
45,1,5:46.0,,Turnover by A. Bargnani (lost ball; steal by M. Brown),15,9
46,1,5:41.0,T. Young misses 2-pt layup at rim,,15,9
