,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PHOENIX_ACTION,GOLDEN STATE_SCORE,PHOENIX_SCORE
0,1,11:35.0,,M. Morris makes 2-pt jump shot from 15 ft,0,2
1,1,11:21.0,Personal foul by B. Knight (drawn by S. Curry),,0,2
2,1,11:14.0,K. Thompson misses 2-pt jump shot from 15 ft,,0,2
3,1,11:11.0,Offensive rebound by H. Barnes,,0,2
4,1,11:04.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by H. Barnes),,3,2
5,1,10:40.0,,Turnover by E. Bledsoe (lost ball; steal by A. Bogut),3,2
6,1,10:36.0,K. Thompson makes 2-pt dunk at rim (assist by S. Curry),,5,2
7,1,10:13.0,,A. Len misses 2-pt hook shot from 4 ft,5,2
8,1,10:11.0,Defensive rebound by S. Curry,,5,2
9,1,10:05.0,S. Curry makes 2-pt layup at rim,,7,2
10,1,9:38.0,,Turnover by Team (shot clock),7,2
11,1,9:30.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),,10,2
12,1,9:14.0,,B. Knight misses 2-pt jump shot from 5 ft (block by K. Thompson),10,2
13,1,9:11.0,,Offensive rebound by B. Knight,10,2
14,1,9:08.0,,Turnover by M. Morris (bad pass),10,2
15,1,9:04.0,K. Thompson misses 3-pt jump shot from 23 ft,,10,2
16,1,9:02.0,,Defensive rebound by P. Tucker,10,2
17,1,8:53.0,,B. Knight makes 2-pt jump shot from 16 ft,10,4
18,1,8:40.0,D. Green misses 3-pt jump shot from 24 ft,,10,4
19,1,8:39.0,Offensive rebound by Team,,10,4
20,1,8:30.0,D. Green misses 3-pt jump shot from 24 ft,,10,4
21,1,8:28.0,,Defensive rebound by A. Len,10,4
22,1,8:12.0,,B. Knight misses 2-pt jump shot from 11 ft,10,4
23,1,8:10.0,Defensive rebound by A. Bogut,,10,4
24,1,8:00.0,S. Curry makes 2-pt jump shot from 17 ft,,12,4
25,1,7:41.0,,P. Tucker makes 2-pt hook shot from 6 ft,12,6
26,1,7:32.0,K. Thompson misses 2-pt jump shot from 15 ft,,12,6
27,1,7:29.0,,Defensive rebound by M. Morris,12,6
28,1,7:19.0,,A. Len misses 2-pt jump shot from 15 ft,12,6
29,1,7:17.0,Defensive rebound by D. Green,,12,6
30,1,7:11.0,A. Bogut makes 2-pt layup from 1 ft (assist by K. Thompson),,14,6
31,1,6:48.0,,P. Tucker misses 2-pt layup from 2 ft (block by A. Bogut),14,6
32,1,6:48.0,,Offensive rebound by Team,14,6
33,1,6:48.0,,Phoenix full timeout,14,6
34,1,6:44.0,,A. Len makes 2-pt jump shot from 16 ft (assist by M. Morris),14,8
35,1,6:14.0,S. Curry misses 3-pt jump shot from 27 ft,,14,8
36,1,6:12.0,,Defensive rebound by E. Bledsoe,14,8
37,1,6:09.0,,M. Morris misses 2-pt jump shot from 12 ft,14,8
38,1,6:08.0,Defensive rebound by Team,,14,8
