,QUARTER,TIME_REMAINING,DALLAS_ACTION,SAN ANTONIO_ACTION,DALLAS_SCORE,SAN ANTONIO_SCORE
0,1,11:48.0,,T. Parker misses 2-pt jump shot from 18 ft,0,0
1,1,11:47.0,Defensive rebound by C. Parsons,,0,0
2,1,11:32.0,T. Chandler misses 2-pt layup from 1 ft,,0,0
3,1,11:31.0,,Defensive rebound by M. Bonner,0,0
4,1,11:19.0,,T. Parker misses 2-pt jump shot from 5 ft,0,0
5,1,11:18.0,Defensive rebound by M. Ellis,,0,0
6,1,11:06.0,Turnover by M. Ellis (bad pass; steal by D. Green),,0,0
7,1,10:59.0,,D. Green misses 3-pt jump shot from 24 ft,0,0
8,1,10:58.0,Defensive rebound by T. Chandler,,0,0
9,1,10:46.0,C. Parsons misses 2-pt jump shot from 11 ft,,0,0
10,1,10:45.0,Offensive rebound by T. Chandler,,0,0
11,1,10:29.0,J. Nelson misses 3-pt jump shot from 25 ft,,0,0
12,1,10:28.0,,Defensive rebound by T. Duncan,0,0
13,1,10:09.0,,D. Green makes 2-pt jump shot from 18 ft (assist by T. Duncan),0,2
14,1,9:46.0,M. Ellis makes 2-pt jump shot from 19 ft (assist by J. Nelson),,2,2
15,1,9:31.0,,Turnover by D. Green (bad pass),2,2
16,1,9:19.0,C. Parsons makes 2-pt dunk at rim,,4,2
17,1,9:09.0,,M. Bonner misses 3-pt jump shot from 23 ft,4,2
18,1,9:08.0,Defensive rebound by M. Ellis,,4,2
19,1,8:58.0,D. Nowitzki misses 2-pt jump shot from 11 ft,,4,2
20,1,8:57.0,,Defensive rebound by T. Duncan,4,2
21,1,8:47.0,,M. Belinelli makes 2-pt layup from 1 ft,4,4
22,1,8:34.0,M. Ellis misses 3-pt jump shot from 25 ft,,4,4
23,1,8:33.0,,Defensive rebound by M. Bonner,4,4
24,1,8:18.0,,T. Duncan misses 2-pt jump shot from 5 ft,4,4
25,1,8:17.0,Defensive rebound by D. Nowitzki,,4,4
26,1,8:09.0,M. Ellis misses 2-pt layup from 2 ft,,4,4
27,1,8:08.0,,Defensive rebound by T. Duncan,4,4
28,1,8:06.0,,Turnover by T. Duncan (lost ball; steal by T. Chandler),4,4
29,1,8:03.0,T. Chandler misses 2-pt layup from 1 ft,,4,4
30,1,8:02.0,Offensive rebound by M. Ellis,,4,4
