,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MINNESOTA_ACTION,HOUSTON_SCORE,MINNESOTA_SCORE
0,1,11:46.0,,T. Young makes 2-pt layup from 1 ft (assist by A. Wiggins),0,2
1,1,11:18.0,T. Ariza makes 3-pt jump shot from 24 ft,,3,2
2,1,11:02.0,,A. Wiggins makes 2-pt layup from 1 ft,3,4
3,1,11:02.0,,Shooting foul by T. Black (drawn by A. Wiggins),3,4
4,1,11:02.0,,A. Wiggins makes free throw 1 of 1,3,5
5,1,10:52.0,Turnover by T. Ariza (lost ball; steal by C. Brewer),,3,5
6,1,10:49.0,,C. Brewer makes 2-pt dunk at rim,3,7
7,1,10:31.0,J. Terry makes 3-pt jump shot from 24 ft (assist by J. Harden),,6,7
8,1,10:06.0,,T. Young misses 3-pt jump shot from 24 ft,6,7
9,1,10:05.0,Defensive rebound by D. Motiejūnas,,6,7
10,1,9:52.0,Turnover by T. Black (lost ball; steal by T. Young),,6,7
11,1,9:45.0,,A. Wiggins misses 3-pt jump shot from 23 ft,6,7
12,1,9:44.0,Defensive rebound by T. Ariza,,6,7
13,1,9:38.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),,9,7
14,1,9:15.0,,G. Dieng makes 2-pt hook shot from 5 ft (assist by C. Brewer),9,9
15,1,9:06.0,J. Harden makes 2-pt layup at rim,,11,9
16,1,8:39.0,,Z. LaVine misses 2-pt jump shot from 22 ft,11,9
17,1,8:38.0,Defensive rebound by T. Ariza,,11,9
18,1,8:26.0,Turnover by D. Motiejūnas (traveling),,11,9
19,1,8:14.0,,A. Wiggins misses 3-pt jump shot from 23 ft,11,9
20,1,8:13.0,Defensive rebound by D. Motiejūnas,,11,9
21,1,8:07.0,Personal foul by A. Wiggins (drawn by J. Harden),,11,9
22,1,7:51.0,J. Harden makes 2-pt jump shot from 17 ft,,13,9
23,1,7:38.0,,Personal foul by J. Harden (drawn by A. Wiggins),13,9
24,1,7:34.0,,A. Wiggins makes 2-pt dunk at rim (assist by C. Brewer),13,11
25,1,7:21.0,J. Terry makes 2-pt jump shot from 4 ft (assist by J. Harden),,15,11
26,1,7:21.0,Shooting foul by Z. LaVine (drawn by J. Terry),,15,11
27,1,7:21.0,J. Terry misses free throw 1 of 1,,15,11
28,1,7:20.0,,Defensive rebound by T. Young,15,11
29,1,7:04.0,,C. Brewer misses 2-pt jump shot from 20 ft,15,11
30,1,7:02.0,Defensive rebound by D. Motiejūnas,,15,11
31,1,6:51.0,T. Ariza misses 2-pt layup from 3 ft,,15,11
32,1,6:50.0,,Defensive rebound by Team,15,11
33,1,6:40.0,,Z. LaVine misses 2-pt jump shot from 10 ft,15,11
34,1,6:39.0,Defensive rebound by T. Black,,15,11
35,1,6:34.0,Shooting foul by T. Young (drawn by D. Motiejūnas),,15,11
36,1,6:34.0,D. Motiejūnas makes free throw 1 of 2,,16,11
37,1,6:34.0,,Minnesota full timeout,16,11
38,1,6:34.0,D. Motiejūnas misses free throw 2 of 2,,16,11
39,1,6:33.0,,Defensive rebound by C. Brewer,16,11
40,1,6:18.0,,T. Young makes 2-pt layup at rim,16,13
41,1,6:05.0,D. Motiejūnas misses 2-pt jump shot from 3 ft,,16,13
42,1,6:04.0,,Defensive rebound by G. Dieng,16,13
43,1,5:49.0,,T. Young misses 2-pt jump shot from 4 ft,16,13
44,1,5:46.0,N. Johnson enters the game for J. Terry,,16,13
45,1,5:45.0,Offensive rebound by Team,,16,13
46,1,5:36.0,Turnover by J. Harden (lost ball; steal by G. Dieng),,16,13
47,1,5:23.0,,G. Dieng misses 2-pt jump shot from 18 ft,16,13
48,1,5:21.0,Defensive rebound by T. Black,,16,13
49,1,5:07.0,D. Motiejūnas makes 2-pt hook shot from 8 ft,,18,13
50,1,4:42.0,,T. Young makes 2-pt jump shot from 4 ft,18,15
51,1,4:16.0,T. Ariza makes 3-pt jump shot from 22 ft (assist by T. Black),,21,15
52,1,3:51.0,,T. Young makes 2-pt jump shot from 14 ft,21,17
53,1,3:28.0,Shooting foul by Z. LaVine (drawn by T. Black),,21,17
54,1,3:28.0,T. Black makes free throw 1 of 2,,22,17
55,1,3:28.0,,C. Budinger enters the game for C. Brewer,22,17
56,1,3:28.0,F. García enters the game for T. Ariza,,22,17
57,1,3:28.0,T. Black makes free throw 2 of 2,,23,17
58,1,3:03.0,,T. Young makes 2-pt jump shot from 19 ft (assist by C. Budinger),23,19
59,1,2:54.0,Personal foul by A. Wiggins (drawn by D. Motiejūnas),,23,19
60,1,2:54.0,Houston full timeout,,23,19
61,1,2:54.0,J. Dorsey enters the game for T. Black,,23,19
62,1,2:54.0,,S. Muhammad enters the game for A. Wiggins,23,19
63,1,2:54.0,,C. Brewer enters the game for Z. LaVine,23,19
64,1,2:54.0,D. Motiejūnas makes free throw 1 of 2,,24,19
65,1,2:54.0,D. Motiejūnas makes free throw 2 of 2,,25,19
66,1,2:34.0,,T. Young misses 2-pt layup from 1 ft,25,19
67,1,2:32.0,Defensive rebound by Team,,25,19
68,1,2:32.0,K. Papanikolaou enters the game for D. Motiejūnas,,25,19
69,1,2:09.0,K. Papanikolaou makes 2-pt layup at rim,,27,19
