,QUARTER,TIME_REMAINING,UTAH_ACTION,OKLAHOMA CITY_ACTION,UTAH_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,,Turnover by S. Adams (bad pass; steal by G. Hayward),0,0
1,1,11:37.0,G. Hayward misses 2-pt layup from 1 ft,,0,0
2,1,11:36.0,,Defensive rebound by L. Thomas,0,0
3,1,11:19.0,,S. Ibaka makes 2-pt jump shot from 4 ft (assist by R. Jackson),0,2
4,1,11:08.0,Offensive foul by E. Freedom (drawn by L. Thomas),,0,2
5,1,11:08.0,Turnover by E. Freedom (offensive foul),,0,2
6,1,10:56.0,,L. Thomas misses 2-pt jump shot from 17 ft,0,2
7,1,10:55.0,Defensive rebound by E. Freedom,,0,2
8,1,10:44.0,A. Burks misses 2-pt dunk at rim (block by S. Ibaka),,0,2
9,1,10:43.0,Offensive rebound by T. Burke,,0,2
10,1,10:41.0,D. Favors makes 2-pt dunk at rim (assist by T. Burke),,2,2
11,1,10:26.0,,S. Ibaka makes 2-pt jump shot from 18 ft (assist by R. Jackson),2,4
12,1,10:06.0,D. Favors makes 2-pt layup from 1 ft (assist by G. Hayward),,4,4
13,1,10:06.0,Shooting foul by S. Ibaka (drawn by D. Favors),,4,4
14,1,10:06.0,D. Favors makes free throw 1 of 1,,5,4
15,1,9:58.0,,R. Jackson misses 2-pt jump shot from 18 ft,5,4
16,1,9:57.0,Defensive rebound by A. Burks,,5,4
17,1,9:45.0,A. Burks misses 3-pt jump shot from 22 ft,,5,4
18,1,9:44.0,,Defensive rebound by L. Thomas,5,4
19,1,9:31.0,,S. Ibaka misses 2-pt jump shot from 17 ft,5,4
20,1,9:30.0,Defensive rebound by G. Hayward,,5,4
21,1,9:21.0,G. Hayward makes 2-pt dunk at rim,,7,4
22,1,8:59.0,,S. Ibaka misses 2-pt layup from 1 ft,7,4
23,1,8:58.0,,Offensive rebound by S. Adams,7,4
24,1,8:58.0,,S. Adams misses 2-pt tip-in at rim,7,4
