,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW ORLEANS_ACTION,MINNESOTA_SCORE,NEW ORLEANS_SCORE
0,1,11:37.0,,J. Holiday makes 2-pt jump shot from 10 ft,0,2
1,1,11:21.0,K. Martin misses 2-pt jump shot from 17 ft,,0,2
2,1,11:20.0,,Defensive rebound by T. Evans,0,2
3,1,11:11.0,,Ö. Aşık makes 2-pt layup from 2 ft (assist by T. Evans),0,4
4,1,10:50.0,N. Peković misses 2-pt jump shot from 6 ft (block by A. Davis),,0,4
5,1,10:48.0,,Defensive rebound by A. Davis,0,4
6,1,10:43.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by A. Davis),0,7
7,1,10:29.0,Shooting foul by E. Gordon (drawn by K. Martin),,0,7
8,1,10:29.0,K. Martin makes free throw 1 of 2,,1,7
9,1,10:29.0,K. Martin makes free throw 2 of 2,,2,7
10,1,10:19.0,,A. Davis makes 2-pt jump shot from 17 ft (assist by J. Holiday),2,9
11,1,10:02.0,A. Wiggins misses 2-pt jump shot from 14 ft,,2,9
12,1,10:01.0,Offensive rebound by N. Peković,,2,9
13,1,10:01.0,N. Peković makes 2-pt tip-in from 2 ft,,4,9
14,1,9:48.0,,A. Davis misses 2-pt jump shot from 17 ft,4,9
15,1,9:47.0,Defensive rebound by Z. LaVine,,4,9
16,1,9:41.0,Z. LaVine makes 2-pt jump shot from 19 ft,,6,9
17,1,9:25.0,,J. Holiday makes 2-pt jump shot from 9 ft,6,11
18,1,9:07.0,Z. LaVine misses 2-pt jump shot from 22 ft,,6,11
19,1,9:06.0,,Defensive rebound by Ö. Aşık,6,11
20,1,9:00.0,,T. Evans misses 2-pt jump shot from 19 ft,6,11
21,1,8:59.0,Defensive rebound by K. Martin,,6,11
22,1,8:49.0,Personal foul by Ö. Aşık (drawn by N. Peković),,6,11
23,1,8:41.0,Personal foul by T. Evans (drawn by A. Wiggins),,6,11
24,1,8:33.0,N. Peković misses 2-pt layup from 1 ft,,6,11
25,1,8:32.0,,Defensive rebound by Ö. Aşık,6,11
26,1,8:22.0,,E. Gordon makes 2-pt layup from 2 ft,6,13
27,1,8:18.0,Minnesota full timeout,,6,13
28,1,8:04.0,Turnover by K. Martin (bad pass),,6,13
29,1,7:52.0,,Def 3 sec tech foul by N. Peković,6,13
30,1,7:52.0,,J. Holiday makes technical free throw,6,14
31,1,7:45.0,,E. Gordon makes 3-pt jump shot from 24 ft (assist by J. Holiday),6,17
32,1,7:45.0,,Shooting foul by K. Martin (drawn by E. Gordon),6,17
33,1,7:45.0,,E. Gordon makes free throw 1 of 1,6,18
34,1,7:23.0,Turnover by K. Martin (bad pass; steal by Ö. Aşık),,6,18
35,1,7:18.0,,T. Evans makes 2-pt dunk at rim (assist by Ö. Aşık),6,20
36,1,7:02.0,Personal foul by E. Gordon (drawn by A. Wiggins),,6,20
37,1,7:02.0,A. Bennett enters the game for G. Dieng,,6,20
38,1,7:02.0,,A. Rivers enters the game for E. Gordon,6,20
39,1,6:50.0,K. Martin misses 2-pt jump shot from 22 ft,,6,20
40,1,6:48.0,Offensive rebound by A. Wiggins,,6,20
41,1,6:43.0,A. Wiggins makes 3-pt jump shot from 22 ft,,9,20
42,1,6:29.0,,Ö. Aşık makes 2-pt dunk at rim (assist by J. Holiday),9,22
43,1,6:15.0,Shooting foul by J. Holiday (drawn by A. Wiggins),,9,22
44,1,6:15.0,A. Wiggins misses free throw 1 of 2,,9,22
45,1,6:15.0,Offensive rebound by Team,,9,22
46,1,6:15.0,M. Williams enters the game for Z. LaVine,,9,22
47,1,6:15.0,A. Wiggins misses free throw 2 of 2,,9,22
48,1,6:14.0,,Defensive rebound by T. Evans,9,22
49,1,5:59.0,,A. Davis makes 2-pt jump shot from 15 ft,9,24
50,1,5:41.0,A. Bennett misses 2-pt jump shot from 21 ft,,9,24
51,1,5:40.0,,Defensive rebound by Ö. Aşık,9,24
52,1,5:34.0,,T. Evans misses 2-pt layup from 1 ft,9,24
53,1,5:32.0,Defensive rebound by N. Peković,,9,24
54,1,5:28.0,Offensive foul by A. Wiggins (drawn by Ö. Aşık),,9,24
55,1,5:28.0,Turnover by A. Wiggins (offensive foul),,9,24
56,1,5:10.0,,T. Evans misses 2-pt jump shot from 18 ft,9,24
57,1,5:09.0,Defensive rebound by A. Bennett,,9,24
58,1,4:54.0,N. Peković misses 2-pt jump shot from 3 ft,,9,24
59,1,4:53.0,,Defensive rebound by A. Davis,9,24
60,1,4:43.0,,Shooting block foul by N. Peković (drawn by A. Davis),9,24
61,1,4:43.0,,A. Davis misses free throw 1 of 2,9,24
62,1,4:43.0,,Offensive rebound by Team,9,24
63,1,4:43.0,,L. Babbitt enters the game for T. Evans,9,24
64,1,4:43.0,,A. Davis makes free throw 2 of 2,9,25
65,1,4:29.0,Offensive foul by K. Martin (drawn by A. Rivers),,9,25
66,1,4:29.0,Turnover by K. Martin (offensive foul),,9,25
67,1,4:29.0,G. Dieng enters the game for N. Peković,,9,25
68,1,4:29.0,C. Brewer enters the game for K. Martin,,9,25
69,1,4:29.0,,R. Anderson enters the game for Ö. Aşık,9,25
70,1,4:17.0,,J. Holiday makes 2-pt jump shot from 19 ft (assist by A. Davis),9,27
71,1,4:02.0,C. Brewer misses 2-pt jump shot from 18 ft,,9,27
72,1,4:00.0,,Defensive rebound by L. Babbitt,9,27
73,1,3:54.0,,R. Anderson misses 3-pt jump shot from 25 ft,9,27
74,1,3:53.0,Defensive rebound by M. Williams,,9,27
75,1,3:50.0,Shooting foul by L. Babbitt (drawn by A. Bennett),,9,27
76,1,3:50.0,A. Bennett makes free throw 1 of 2,,10,27
77,1,3:50.0,S. Muhammad enters the game for A. Wiggins,,10,27
78,1,3:50.0,A. Bennett makes free throw 2 of 2,,11,27
79,1,3:41.0,,L. Babbitt makes 3-pt jump shot from 24 ft (assist by J. Holiday),11,30
80,1,3:23.0,C. Brewer makes 2-pt dunk at rim (assist by M. Williams),,13,30
81,1,3:06.0,,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),13,32
82,1,2:54.0,A. Bennett misses 2-pt jump shot from 21 ft,,13,32
83,1,2:53.0,,Defensive rebound by R. Anderson,13,32
84,1,2:35.0,,R. Anderson makes 2-pt jump shot from 19 ft,13,34
85,1,2:32.0,Minnesota full timeout,,13,34
86,1,2:32.0,,New Orleans full timeout,13,34
87,1,2:32.0,,D. Miller enters the game for J. Holiday,13,34
88,1,2:23.0,Shooting foul by L. Babbitt (drawn by C. Brewer),,13,34
89,1,2:23.0,C. Brewer makes free throw 1 of 2,,14,34
90,1,2:23.0,C. Brewer makes free throw 2 of 2,,15,34
91,1,2:08.0,,A. Rivers makes 2-pt layup from 2 ft (assist by A. Davis),15,36
92,1,1:54.0,C. Brewer misses 2-pt jump shot from 17 ft,,15,36
93,1,1:53.0,,Defensive rebound by L. Babbitt,15,36
94,1,1:42.0,,A. Rivers makes 2-pt jump shot from 9 ft,15,38
95,1,1:22.0,S. Muhammad makes 2-pt layup from 2 ft,,17,38
