,QUARTER,TIME_REMAINING,UTAH_ACTION,SACRAMENTO_ACTION,UTAH_SCORE,SACRAMENTO_SCORE
0,1,11:40.0,Shooting foul by B. McLemore (drawn by A. Burks),,0,0
1,1,11:40.0,A. Burks misses free throw 1 of 2,,0,0
2,1,11:40.0,Offensive rebound by Team,,0,0
3,1,11:40.0,A. Burks makes free throw 2 of 2,,1,0
4,1,11:28.0,,Personal foul by A. Burks (drawn by B. McLemore),1,0
5,1,11:22.0,,B. McLemore misses 2-pt jump shot from 19 ft,1,0
6,1,11:20.0,,Offensive rebound by R. Gay,1,0
7,1,11:08.0,,Turnover by R. Gay (lost ball; steal by G. Hayward),1,0
8,1,11:05.0,G. Hayward makes 2-pt dunk at rim (assist by T. Burke),,3,0
9,1,10:42.0,,D. Collison makes 2-pt jump shot from 17 ft (assist by R. Gay),3,2
10,1,10:24.0,T. Burke misses 2-pt jump shot from 20 ft,,3,2
11,1,10:23.0,,Defensive rebound by J. Thompson,3,2
12,1,10:04.0,,R. Evans makes 2-pt layup from 3 ft (assist by J. Thompson),3,4
13,1,9:40.0,D. Favors misses 2-pt jump shot from 18 ft,,3,4
14,1,9:38.0,,Defensive rebound by J. Thompson,3,4
15,1,9:29.0,,D. Collison makes 2-pt layup from 1 ft,3,6
16,1,9:13.0,E. Freedom misses 2-pt jump shot from 19 ft,,3,6
17,1,9:11.0,,Defensive rebound by R. Evans,3,6
18,1,9:02.0,,R. Gay makes 2-pt hook shot from 6 ft,3,8
19,1,8:41.0,E. Freedom makes 2-pt layup from 2 ft (assist by A. Burks),,5,8
20,1,8:27.0,,B. McLemore makes 2-pt layup from 1 ft (assist by D. Collison),5,10
21,1,8:09.0,A. Burks misses 2-pt jump shot from 20 ft,,5,10
22,1,8:08.0,,Defensive rebound by J. Thompson,5,10
23,1,7:56.0,,R. Gay misses 2-pt jump shot from 11 ft,5,10
24,1,7:56.0,Defensive rebound by D. Favors,,5,10
25,1,7:50.0,T. Burke misses 2-pt jump shot from 5 ft,,5,10
26,1,7:49.0,Offensive rebound by E. Freedom,,5,10
27,1,7:49.0,E. Freedom makes 2-pt layup from 1 ft,,7,10
