,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SACRAMENTO_ACTION,LA CLIPPERS_SCORE,SACRAMENTO_SCORE
0,1,11:39.0,J. Redick makes 3-pt jump shot from 23 ft (assist by C. Paul),,3,0
1,1,11:22.0,,R. Hollins makes 2-pt hook shot from 5 ft (assist by D. Collison),3,2
2,1,11:16.0,Turnover by C. Paul (bad pass; steal by B. McLemore),,3,2
3,1,11:11.0,,B. McLemore misses 2-pt layup from 2 ft,3,2
4,1,11:10.0,,Offensive rebound by J. Thompson,3,2
5,1,11:10.0,,J. Thompson misses 2-pt tip-in from 1 ft,3,2
6,1,11:09.0,,Offensive rebound by J. Thompson,3,2
7,1,11:07.0,,J. Thompson misses 2-pt jump shot from 2 ft,3,2
8,1,11:06.0,,Offensive rebound by J. Thompson,3,2
9,1,11:06.0,,J. Thompson misses 2-pt tip-in from 2 ft,3,2
10,1,11:05.0,,Offensive rebound by J. Thompson,3,2
11,1,11:04.0,,J. Thompson makes 2-pt jump shot from 5 ft,3,4
12,1,10:44.0,M. Barnes makes 2-pt layup from 2 ft,,5,4
13,1,10:26.0,,D. Williams makes 2-pt dunk at rim (assist by D. Collison),5,6
14,1,10:06.0,J. Redick makes 2-pt jump shot from 20 ft (assist by B. Griffin),,7,6
15,1,9:46.0,,R. Hollins misses 2-pt jump shot from 5 ft (block by D. Jordan),7,6
16,1,9:43.0,,Offensive rebound by R. Hollins,7,6
17,1,9:42.0,,R. Hollins misses 2-pt layup from 1 ft,7,6
18,1,9:41.0,,Offensive rebound by R. Hollins,7,6
19,1,9:40.0,,R. Hollins misses 2-pt hook shot from 3 ft,7,6
20,1,9:39.0,Defensive rebound by B. Griffin,,7,6
21,1,9:27.0,M. Barnes misses 3-pt jump shot from 25 ft,,7,6
22,1,9:27.0,,Defensive rebound by J. Thompson,7,6
23,1,9:17.0,,D. Williams makes 2-pt layup from 3 ft (assist by D. Collison),7,8
24,1,9:02.0,B. Griffin makes 2-pt jump shot from 20 ft,,9,8
25,1,8:43.0,,B. McLemore makes 2-pt layup from 2 ft,9,10
26,1,8:24.0,Shooting foul by R. Hollins (drawn by D. Jordan),,9,10
27,1,8:24.0,D. Jordan misses free throw 1 of 2,,9,10
