,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,GOLDEN STATE_ACTION,MEMPHIS_SCORE,GOLDEN STATE_SCORE
0,1,11:43.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by D. Green),0,2
1,1,11:19.0,Turnover by M. Gasol (bad pass; steal by K. Thompson),,0,2
2,1,11:03.0,,D. Green makes 3-pt jump shot from 25 ft (assist by S. Curry),0,5
3,1,10:43.0,C. Lee misses 3-pt jump shot from 24 ft,,0,5
4,1,10:41.0,Offensive rebound by Z. Randolph,,0,5
5,1,10:33.0,Z. Randolph misses 2-pt jump shot from 4 ft (block by A. Bogut),,0,5
6,1,10:33.0,Offensive rebound by Team,,0,5
7,1,10:29.0,Personal foul by H. Barnes (drawn by J. Green),,0,5
8,1,10:19.0,J. Green makes 2-pt jump shot from 17 ft (assist by B. Udrih),,2,5
9,1,10:09.0,,H. Barnes misses 2-pt layup from 2 ft,2,5
10,1,10:08.0,Defensive rebound by M. Gasol,,2,5
11,1,9:52.0,C. Lee makes 2-pt layup from 1 ft (assist by J. Green),,4,5
12,1,9:39.0,,K. Thompson makes 2-pt layup at rim (assist by D. Green),4,7
13,1,9:22.0,C. Lee misses 2-pt layup from 2 ft,,4,7
14,1,9:21.0,,Defensive rebound by A. Bogut,4,7
15,1,9:14.0,,D. Green misses 2-pt jump shot from 15 ft,4,7
16,1,9:14.0,Defensive rebound by C. Lee,,4,7
17,1,9:00.0,Z. Randolph makes 2-pt jump shot from 17 ft (assist by B. Udrih),,6,7
18,1,8:43.0,,Personal foul by B. Udrih (drawn by S. Curry),6,7
19,1,8:38.0,,K. Thompson makes 2-pt layup from 1 ft (assist by S. Curry),6,9
20,1,8:18.0,Z. Randolph makes 2-pt jump shot from 16 ft (assist by C. Lee),,8,9
21,1,8:06.0,,S. Curry makes 2-pt jump shot from 21 ft,8,11
22,1,7:53.0,B. Udrih misses 2-pt jump shot from 21 ft,,8,11
23,1,7:51.0,,Defensive rebound by A. Bogut,8,11
24,1,7:42.0,,Shooting foul by C. Lee (drawn by K. Thompson),8,11
25,1,7:42.0,,K. Thompson makes free throw 1 of 2,8,12
26,1,7:42.0,,K. Thompson makes free throw 2 of 2,8,13
27,1,7:26.0,B. Udrih makes 2-pt jump shot from 13 ft (assist by M. Gasol),,10,13
28,1,7:07.0,,S. Curry makes 2-pt layup from 1 ft,10,15
29,1,6:56.0,Turnover by J. Green (lost ball; steal by H. Barnes),,10,15
30,1,6:52.0,,H. Barnes makes 2-pt dunk at rim,10,17
31,1,6:42.0,Memphis full timeout,,10,17
32,1,6:36.0,Turnover by J. Green (bad pass; steal by D. Green),,10,17
33,1,6:29.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by H. Barnes),10,20
