,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CHICAGO_ACTION,NEW ORLEANS_SCORE,CHICAGO_SCORE
0,1,11:39.0,,Turnover by M. Dunleavy (bad pass; steal by T. Evans),0,0
1,1,11:21.0,A. Davis misses 2-pt jump shot from 16 ft,,0,0
2,1,11:19.0,,Defensive rebound by M. Dunleavy,0,0
3,1,11:04.0,,J. Butler makes 2-pt jump shot from 13 ft (assist by P. Gasol),0,2
4,1,10:52.0,J. Holiday misses 3-pt jump shot from 25 ft,,0,2
5,1,10:51.0,,Defensive rebound by P. Gasol,0,2
6,1,10:41.0,,Turnover by D. Rose (bad pass; steal by L. Babbitt),0,2
7,1,10:23.0,T. Evans makes 2-pt layup from 1 ft,,2,2
8,1,10:07.0,,D. Rose misses 3-pt jump shot from 24 ft,2,2
9,1,10:06.0,Defensive rebound by Ö. Aşık,,2,2
10,1,9:53.0,T. Evans makes 2-pt jump shot from 22 ft,,4,2
11,1,9:30.0,,D. Rose makes 3-pt jump shot from 25 ft (assist by P. Gasol),4,5
12,1,9:05.0,A. Davis misses 2-pt jump shot from 18 ft,,4,5
13,1,9:04.0,,Defensive rebound by M. Dunleavy,4,5
14,1,8:53.0,,D. Rose makes 2-pt jump shot from 7 ft,4,7
15,1,8:38.0,Ö. Aşık misses 2-pt layup from 2 ft (block by P. Gasol),,4,7
16,1,8:36.0,,Defensive rebound by J. Butler,4,7
17,1,8:20.0,,D. Rose misses 3-pt jump shot from 24 ft,4,7
18,1,8:19.0,Defensive rebound by L. Babbitt,,4,7
19,1,8:08.0,T. Evans misses 2-pt layup from 1 ft,,4,7
20,1,8:07.0,,Defensive rebound by P. Gasol,4,7
21,1,8:02.0,,J. Butler makes 2-pt layup from 2 ft (assist by M. Dunleavy),4,9
22,1,7:45.0,A. Davis makes 2-pt jump shot from 18 ft (assist by J. Holiday),,6,9
23,1,7:30.0,,Turnover by P. Gasol (lost ball; steal by Ö. Aşık),6,9
24,1,7:24.0,T. Evans makes 2-pt layup from 1 ft,,8,9
25,1,7:03.0,,J. Butler makes 2-pt jump shot from 5 ft,8,11
26,1,7:03.0,,Shooting foul by L. Babbitt (drawn by J. Butler),8,11
27,1,7:03.0,,J. Butler makes free throw 1 of 1,8,12
28,1,6:45.0,Ö. Aşık misses 2-pt layup from 2 ft (block by P. Gasol),,8,12
29,1,6:44.0,Offensive rebound by Team,,8,12
30,1,6:32.0,T. Evans misses 2-pt hook shot from 5 ft,,8,12
31,1,6:31.0,,Defensive rebound by P. Gasol,8,12
32,1,6:22.0,,Shooting foul by T. Evans (drawn by J. Butler),8,12
33,1,6:22.0,,J. Butler misses free throw 1 of 2,8,12
34,1,6:22.0,,Offensive rebound by Team,8,12
35,1,6:22.0,,J. Butler makes free throw 2 of 2,8,13
36,1,6:04.0,A. Davis makes 2-pt jump shot from 16 ft (assist by J. Holiday),,10,13
37,1,5:47.0,,M. Dunleavy makes 3-pt jump shot from 24 ft (assist by P. Gasol),10,16
38,1,5:21.0,A. Davis misses 2-pt jump shot from 10 ft (block by J. Noah),,10,16
39,1,5:20.0,,Defensive rebound by J. Butler,10,16
40,1,5:17.0,,J. Butler misses 2-pt layup from 2 ft,10,16
41,1,5:16.0,,Offensive rebound by P. Gasol,10,16
42,1,5:16.0,,P. Gasol makes 2-pt layup from 2 ft,10,18
43,1,5:16.0,New Orleans full timeout,,10,18
44,1,5:16.0,D. Cunningham enters the game for L. Babbitt,,10,18
45,1,5:07.0,Shooting foul by J. Noah (drawn by T. Evans),,10,18
46,1,5:07.0,T. Evans makes free throw 1 of 2,,11,18
47,1,5:07.0,R. Anderson enters the game for Ö. Aşık,,11,18
48,1,5:07.0,T. Evans makes free throw 2 of 2,,12,18
49,1,4:44.0,,P. Gasol misses 2-pt hook shot from 6 ft,12,18
50,1,4:43.0,Defensive rebound by A. Davis,,12,18
51,1,4:40.0,Personal foul by M. Dunleavy (drawn by T. Evans),,12,18
52,1,4:33.0,T. Evans misses 2-pt layup from 2 ft,,12,18
53,1,4:32.0,Offensive rebound by A. Davis,,12,18
54,1,4:28.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by A. Davis),,15,18
55,1,4:13.0,,Shooting foul by D. Cunningham (drawn by J. Noah),15,18
