,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,OKLAHOMA CITY_ACTION,CLEVELAND_SCORE,OKLAHOMA CITY_SCORE
0,1,11:47.0,,K. Durant misses 2-pt jump shot from 18 ft,0,0
1,1,11:46.0,Defensive rebound by K. Love,,0,0
2,1,11:26.0,K. Love misses 2-pt jump shot from 21 ft,,0,0
3,1,11:25.0,,Defensive rebound by R. Westbrook,0,0
4,1,11:16.0,,Turnover by R. Westbrook (lost ball; steal by A. Varejão),0,0
5,1,11:14.0,Shooting foul by A. Roberson (drawn by K. Irving),,0,0
6,1,11:14.0,K. Irving makes free throw 1 of 2,,1,0
7,1,11:14.0,K. Irving makes free throw 2 of 2,,2,0
8,1,11:01.0,,Turnover by K. Durant (bad pass),2,0
9,1,10:48.0,A. Varejão misses 2-pt jump shot from 11 ft,,2,0
10,1,10:47.0,,Defensive rebound by K. Durant,2,0
11,1,10:35.0,,S. Ibaka misses 3-pt jump shot from 25 ft,2,0
12,1,10:34.0,,Offensive rebound by S. Adams,2,0
13,1,10:32.0,,S. Adams misses 2-pt hook shot from 5 ft,2,0
14,1,10:30.0,Defensive rebound by K. Love,,2,0
15,1,10:17.0,K. Irving makes 3-pt jump shot from 24 ft (assist by M. Dellavedova),,5,0
16,1,9:57.0,,Personal block foul by M. Dellavedova (drawn by R. Westbrook),5,0
17,1,9:51.0,,R. Westbrook makes 2-pt layup from 2 ft,5,2
18,1,9:31.0,A. Varejão misses 2-pt jump shot from 3 ft,,5,2
19,1,9:30.0,,Defensive rebound by S. Adams,5,2
20,1,9:24.0,,R. Westbrook makes 2-pt jump shot from 17 ft,5,4
21,1,9:07.0,S. Marion misses 3-pt jump shot from 23 ft,,5,4
22,1,9:06.0,,Defensive rebound by A. Roberson,5,4
23,1,9:00.0,,R. Westbrook makes 2-pt jump shot from 17 ft,5,6
24,1,8:40.0,A. Varejão makes 2-pt layup at rim (assist by K. Irving),,7,6
25,1,8:23.0,,Turnover by K. Durant (lost ball; steal by K. Irving),7,6
26,1,8:19.0,K. Irving makes 2-pt layup from 2 ft,,9,6
27,1,8:06.0,,K. Durant misses 2-pt jump shot from 17 ft,9,6
28,1,8:05.0,,Offensive rebound by S. Adams,9,6
29,1,8:04.0,,S. Adams misses 2-pt hook shot from 4 ft,9,6
30,1,8:02.0,Defensive rebound by K. Love,,9,6
31,1,7:48.0,A. Varejão misses 2-pt jump shot from 16 ft,,9,6
32,1,7:47.0,,Defensive rebound by K. Durant,9,6
33,1,7:39.0,,S. Ibaka misses 3-pt jump shot from 25 ft,9,6
34,1,7:38.0,Defensive rebound by A. Varejão,,9,6
35,1,7:20.0,K. Love misses 2-pt jump shot from 5 ft,,9,6
36,1,7:20.0,,Defensive rebound by S. Adams,9,6
37,1,7:14.0,,R. Westbrook misses 2-pt jump shot from 15 ft,9,6
38,1,7:12.0,Defensive rebound by K. Love,,9,6
39,1,6:59.0,S. Marion makes 2-pt layup from 2 ft (assist by A. Varejão),,11,6
40,1,6:53.0,,Oklahoma City full timeout,11,6
41,1,6:53.0,,J. Lamb enters the game for K. Durant,11,6
