,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ATLANTA_ACTION,MILWAUKEE_SCORE,ATLANTA_SCORE
0,1,11:46.0,E. İlyasova misses 2-pt jump shot from 20 ft,,0,0
1,1,11:45.0,,Defensive rebound by J. Teague,0,0
2,1,11:21.0,,J. Teague makes 3-pt jump shot from 25 ft (assist by D. Carroll),0,3
3,1,11:01.0,Shooting foul by P. Millsap (drawn by E. İlyasova),,0,3
4,1,11:01.0,E. İlyasova misses free throw 1 of 2,,0,3
5,1,11:01.0,Offensive rebound by Team,,0,3
6,1,11:01.0,E. İlyasova makes free throw 2 of 2,,1,3
7,1,10:46.0,,J. Teague misses 2-pt layup at rim,1,3
8,1,10:45.0,,Offensive rebound by D. Carroll,1,3
9,1,10:42.0,,D. Carroll makes 2-pt layup from 1 ft,1,5
10,1,10:26.0,Shooting foul by A. Horford (drawn by M. Carter-Williams),,1,5
11,1,10:26.0,M. Carter-Williams makes free throw 1 of 2,,2,5
12,1,10:26.0,M. Carter-Williams makes free throw 2 of 2,,3,5
13,1,10:14.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by D. Carroll),3,7
14,1,9:53.0,E. İlyasova misses 2-pt jump shot from 18 ft,,3,7
15,1,9:52.0,,Defensive rebound by P. Millsap,3,7
16,1,9:31.0,,P. Millsap makes 2-pt jump shot from 6 ft,3,9
17,1,9:17.0,M. Carter-Williams misses 2-pt layup from 2 ft (block by A. Horford),,3,9
18,1,9:15.0,,Defensive rebound by A. Horford,3,9
19,1,9:11.0,,K. Korver misses 3-pt jump shot from 25 ft,3,9
20,1,9:09.0,Defensive rebound by G. Antetokounmpo,,3,9
21,1,9:02.0,Z. Pachulia makes 2-pt hook shot from 3 ft (assist by K. Middleton),,5,9
22,1,8:53.0,,Personal foul by Z. Pachulia (drawn by J. Teague),5,9
23,1,8:51.0,,Turnover by J. Teague (bad pass; steal by Z. Pachulia),5,9
24,1,8:41.0,Shooting foul by K. Korver (drawn by E. İlyasova),,5,9
25,1,8:41.0,E. İlyasova makes free throw 1 of 2,,6,9
26,1,8:41.0,E. İlyasova misses free throw 2 of 2,,6,9
27,1,8:41.0,,Defensive rebound by A. Horford,6,9
28,1,8:18.0,,P. Millsap misses 2-pt jump shot from 19 ft,6,9
29,1,8:17.0,Defensive rebound by G. Antetokounmpo,,6,9
30,1,8:03.0,G. Antetokounmpo makes 2-pt jump shot from 12 ft (assist by K. Middleton),,8,9
31,1,7:45.0,,A. Horford makes 2-pt layup from 2 ft (assist by K. Korver),8,11
32,1,7:22.0,Turnover by E. İlyasova (bad pass),,8,11
33,1,7:10.0,,D. Carroll misses 3-pt jump shot from 25 ft,8,11
34,1,7:09.0,Defensive rebound by Z. Pachulia,,8,11
35,1,6:56.0,Turnover by M. Carter-Williams (step out of bounds),,8,11
36,1,6:42.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by J. Teague),8,13
37,1,6:29.0,K. Middleton makes 2-pt jump shot from 20 ft (assist by M. Carter-Williams),,10,13
38,1,6:11.0,,Turnover by K. Korver (bad pass),10,13
39,1,5:48.0,M. Carter-Williams makes 2-pt layup at rim (assist by G. Antetokounmpo),,12,13
40,1,5:39.0,Violation by Z. Pachulia (kicked ball),,12,13
41,1,5:39.0,,Atlanta full timeout,12,13
42,1,5:24.0,,A. Horford misses 2-pt layup from 2 ft,12,13
43,1,5:22.0,Defensive rebound by Z. Pachulia,,12,13
44,1,5:16.0,M. Carter-Williams misses 2-pt layup from 1 ft,,12,13
45,1,5:13.0,Offensive rebound by M. Carter-Williams,,12,13
46,1,5:12.0,Z. Pachulia makes 2-pt layup at rim (assist by M. Carter-Williams),,14,13
47,1,4:49.0,,J. Teague misses 2-pt jump shot from 16 ft,14,13
48,1,4:47.0,,Offensive rebound by A. Horford,14,13
49,1,4:43.0,,P. Antić enters the game for A. Horford,14,13
50,1,4:43.0,,K. Bazemore enters the game for K. Korver,14,13
51,1,4:36.0,,P. Antić misses 2-pt jump shot from 21 ft,14,13
52,1,4:31.0,Defensive rebound by E. İlyasova,,14,13
53,1,4:14.0,M. Carter-Williams misses 3-pt jump shot from 24 ft,,14,13
54,1,4:13.0,,Defensive rebound by K. Bazemore,14,13
55,1,3:51.0,,P. Millsap misses 2-pt jump shot from 19 ft,14,13
56,1,3:50.0,Defensive rebound by M. Carter-Williams,,14,13
57,1,3:41.0,M. Carter-Williams misses 2-pt layup from 2 ft,,14,13
58,1,3:39.0,Offensive rebound by Z. Pachulia,,14,13
59,1,3:37.0,Z. Pachulia makes 2-pt layup from 1 ft,,16,13
60,1,3:22.0,,Shooting foul by G. Antetokounmpo (drawn by D. Carroll),16,13
61,1,3:22.0,,D. Carroll makes free throw 1 of 3,16,14
62,1,3:22.0,,D. Carroll misses free throw 2 of 3,16,14
63,1,3:22.0,,Offensive rebound by Team,16,14
64,1,3:22.0,,D. Schröder enters the game for J. Teague,16,14
65,1,3:22.0,J. Bayless enters the game for M. Carter-Williams,,16,14
66,1,3:22.0,,D. Carroll makes free throw 3 of 3,16,15
67,1,3:03.0,K. Middleton makes 2-pt jump shot from 19 ft (assist by G. Antetokounmpo),,18,15
68,1,2:46.0,,D. Schröder misses 3-pt jump shot from 23 ft,18,15
69,1,2:44.0,Defensive rebound by K. Middleton,,18,15
70,1,2:28.0,Turnover by J. Bayless (bad pass; steal by P. Antić),,18,15
71,1,2:23.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by D. Schröder),18,18
72,1,2:07.0,G. Antetokounmpo makes 2-pt jump shot from 11 ft,,20,18
73,1,1:52.0,,Personal foul by J. Bayless (drawn by D. Schröder),20,18
74,1,1:52.0,Milwaukee full timeout,,20,18
75,1,1:52.0,O. Mayo enters the game for Z. Pachulia,,20,18
76,1,1:52.0,J. Henson enters the game for K. Middleton,,20,18
77,1,1:45.0,,Shooting foul by J. Henson (drawn by P. Antić),20,18
78,1,1:45.0,,P. Antić makes 2-pt jump shot from 8 ft (assist by D. Carroll),20,20
79,1,1:45.0,,P. Antić makes free throw 1 of 1,20,21
80,1,1:26.0,J. Henson misses 2-pt layup from 1 ft,,20,21
81,1,1:25.0,Offensive rebound by O. Mayo,,20,21
82,1,1:17.0,O. Mayo misses 3-pt jump shot from 22 ft,,20,21
83,1,1:16.0,,Defensive rebound by K. Bazemore,20,21
84,1,1:01.0,,D. Schröder misses 2-pt layup from 1 ft,20,21
85,1,1:00.0,,Offensive rebound by P. Antić,20,21
86,1,1:00.0,,P. Antić makes 2-pt tip-in at rim,20,23
87,1,0:54.0,E. İlyasova misses 2-pt jump shot from 20 ft,,20,23
88,1,0:51.0,,Defensive rebound by P. Millsap,20,23
89,1,0:32.0,,Personal foul by O. Mayo (drawn by D. Schröder),20,23
90,1,0:32.0,,D. Schröder makes free throw 1 of 2,20,24
91,1,0:32.0,,A. Horford enters the game for P. Millsap,20,24
92,1,0:32.0,,K. Korver enters the game for D. Carroll,20,24
93,1,0:32.0,M. Plumlee enters the game for E. İlyasova,,20,24
94,1,0:32.0,,D. Schröder makes free throw 2 of 2,20,25
95,1,0:08.0,O. Mayo misses 2-pt jump shot from 22 ft,,20,25
96,1,0:06.0,,Defensive rebound by D. Schröder,20,25
97,2,11:47.0,,Turnover by K. Bazemore (step out of bounds),20,25
98,2,11:28.0,Turnover by T. Ennis (step out of bounds),,20,25
99,2,11:17.0,,Personal foul by T. Ennis (drawn by D. Schröder),20,25
100,2,11:03.0,,A. Horford makes 2-pt jump shot from 12 ft,20,27
101,2,10:43.0,J. Bayless misses 2-pt jump shot from 20 ft,,20,27
102,2,10:42.0,Offensive rebound by Team,,20,27
103,2,10:42.0,M. Carter-Williams enters the game for T. Ennis,,20,27
104,2,10:36.0,Turnover by Team (shot clock),,20,27
105,2,10:28.0,,Shooting foul by M. Plumlee (drawn by D. Schröder),20,27
106,2,10:28.0,,D. Schröder makes free throw 1 of 2,20,28
107,2,10:28.0,,T. Sefolosha enters the game for K. Bazemore,20,28
108,2,10:28.0,Z. Pachulia enters the game for M. Plumlee,,20,28
109,2,10:28.0,,D. Schröder makes free throw 2 of 2,20,29
110,2,10:18.0,Turnover by M. Carter-Williams (bad pass),,20,29
111,2,10:18.0,,M. Muscala enters the game for P. Antić,20,29
112,2,9:56.0,,A. Horford misses 2-pt jump shot from 19 ft,20,29
113,2,9:54.0,Defensive rebound by O. Mayo,,20,29
114,2,9:41.0,Turnover by M. Carter-Williams (lost ball; steal by T. Sefolosha),,20,29
115,2,9:36.0,,Shooting foul by O. Mayo (drawn by A. Horford),20,29
116,2,9:36.0,,A. Horford makes free throw 1 of 2,20,30
117,2,9:36.0,,J. Teague enters the game for D. Schröder,20,30
118,2,9:36.0,K. Middleton enters the game for O. Mayo,,20,30
119,2,9:36.0,,A. Horford makes free throw 2 of 2,20,31
120,2,9:09.0,Turnover by Team (shot clock),,20,31
121,2,9:02.0,,Personal foul by M. Carter-Williams (drawn by J. Teague),20,31
122,2,8:53.0,,A. Horford misses 3-pt jump shot from 23 ft,20,31
123,2,8:52.0,Defensive rebound by J. Bayless,,20,31
124,2,8:33.0,K. Middleton misses 3-pt jump shot from 25 ft,,20,31
125,2,8:32.0,,Defensive rebound by A. Horford,20,31
126,2,8:23.0,,K. Korver misses 3-pt jump shot from 22 ft,20,31
127,2,8:21.0,Defensive rebound by Z. Pachulia,,20,31
128,2,8:10.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by J. Henson),,22,31
129,2,8:00.0,,J. Teague misses 2-pt jump shot from 20 ft,22,31
130,2,7:58.0,Defensive rebound by K. Middleton,,22,31
131,2,7:56.0,Personal foul by T. Sefolosha (drawn by K. Middleton),,22,31
132,2,7:56.0,Official timeout,,22,31
133,2,7:56.0,E. İlyasova enters the game for J. Henson,,22,31
134,2,7:49.0,E. İlyasova misses 2-pt jump shot from 21 ft,,22,31
135,2,7:48.0,,Defensive rebound by T. Sefolosha,22,31
136,2,7:34.0,,A. Horford misses 2-pt jump shot from 9 ft,22,31
137,2,7:34.0,,Offensive rebound by Team,22,31
138,2,7:34.0,Loose ball foul by J. Bayless (drawn by T. Sefolosha),,22,31
139,2,7:34.0,,T. Sefolosha makes free throw 1 of 2,22,32
140,2,7:34.0,,T. Sefolosha makes free throw 2 of 2,22,33
141,2,7:10.0,Turnover by Team (shot clock),,22,33
142,2,6:52.0,,A. Horford misses 2-pt jump shot from 9 ft,22,33
143,2,6:49.0,,Offensive rebound by J. Teague,22,33
144,2,6:44.0,,T. Sefolosha misses 2-pt jump shot from 22 ft,22,33
145,2,6:43.0,,Offensive rebound by A. Horford,22,33
146,2,6:40.0,,K. Korver misses 3-pt jump shot from 24 ft,22,33
147,2,6:39.0,Defensive rebound by E. İlyasova,,22,33
148,2,6:33.0,,P. Millsap enters the game for A. Horford,22,33
149,2,6:33.0,,D. Carroll enters the game for K. Korver,22,33
150,2,6:33.0,G. Antetokounmpo enters the game for M. Carter-Williams,,22,33
151,2,6:28.0,E. İlyasova makes 2-pt jump shot from 20 ft (assist by J. Bayless),,24,33
152,2,6:09.0,,P. Millsap misses 3-pt jump shot from 23 ft,24,33
153,2,6:08.0,Defensive rebound by K. Middleton,,24,33
154,2,5:58.0,J. Bayless misses 2-pt jump shot from 18 ft,,24,33
155,2,5:56.0,,Defensive rebound by D. Carroll,24,33
156,2,5:44.0,,M. Muscala makes 3-pt jump shot from 22 ft (assist by J. Teague),24,36
157,2,5:30.0,E. İlyasova misses 3-pt jump shot from 24 ft,,24,36
158,2,5:28.0,,Defensive rebound by M. Muscala,24,36
159,2,5:22.0,,P. Millsap makes 2-pt layup from 1 ft (assist by J. Teague),24,38
160,2,5:20.0,Milwaukee full timeout,,24,38
161,2,5:20.0,J. O'Bryant enters the game for E. İlyasova,,24,38
162,2,5:05.0,K. Middleton misses 2-pt jump shot from 20 ft,,24,38
163,2,5:03.0,,Defensive rebound by J. Teague,24,38
164,2,4:57.0,Offensive charge foul by J. Teague (drawn by J. O'Bryant),,24,38
165,2,4:57.0,,Turnover by J. Teague (offensive foul),24,38
166,2,4:41.0,Personal foul by P. Millsap (drawn by Z. Pachulia),,24,38
167,2,4:35.0,J. Bayless makes 3-pt jump shot from 23 ft (assist by Z. Pachulia),,27,38
168,2,4:17.0,,D. Carroll misses 3-pt jump shot from 23 ft,27,38
169,2,4:16.0,Defensive rebound by Z. Pachulia,,27,38
170,2,4:05.0,G. Antetokounmpo makes 2-pt jump shot from 16 ft (assist by J. Bayless),,29,38
171,2,3:42.0,,Personal foul by K. Middleton (drawn by P. Millsap),29,38
172,2,3:42.0,,P. Millsap makes free throw 1 of 2,29,39
173,2,3:42.0,,S. Mack enters the game for J. Teague,29,39
174,2,3:42.0,,A. Horford enters the game for T. Sefolosha,29,39
175,2,3:42.0,,K. Korver enters the game for M. Muscala,29,39
176,2,3:42.0,,P. Millsap makes free throw 2 of 2,29,40
177,2,3:29.0,J. Bayless makes 2-pt jump shot from 22 ft (assist by G. Antetokounmpo),,31,40
178,2,3:06.0,,A. Horford makes 2-pt layup from 2 ft (assist by K. Korver),31,42
179,2,2:54.0,K. Middleton misses 3-pt jump shot from 24 ft,,31,42
180,2,2:51.0,Offensive rebound by Z. Pachulia,,31,42
181,2,2:43.0,Z. Pachulia makes 2-pt jump shot from 15 ft (assist by K. Middleton),,33,42
182,2,2:35.0,,Atlanta full timeout,33,42
183,2,2:22.0,,D. Carroll makes 2-pt jump shot from 14 ft (assist by S. Mack),33,44
184,2,2:07.0,J. O'Bryant makes 2-pt layup from 1 ft (assist by J. Bayless),,35,44
185,2,1:43.0,,A. Horford makes 2-pt jump shot from 15 ft (assist by S. Mack),35,46
186,2,1:22.0,Z. Pachulia makes 2-pt jump shot from 15 ft (assist by J. O'Bryant),,37,46
187,2,1:01.0,,A. Horford misses 2-pt jump shot from 20 ft,37,46
