,QUARTER,TIME_REMAINING,CHICAGO_ACTION,WASHINGTON_ACTION,CHICAGO_SCORE,WASHINGTON_SCORE
0,1,11:44.0,,B. Beal misses 2-pt jump shot from 18 ft,0,0
1,1,11:40.0,Defensive rebound by J. Noah,,0,0
2,1,11:26.0,Turnover by M. Dunleavy (bad pass; steal by B. Beal),,0,0
3,1,11:19.0,,B. Beal makes 2-pt layup at rim,0,2
4,1,10:54.0,Turnover by J. Noah (bad pass; steal by J. Wall),,0,2
5,1,10:48.0,,K. Humphries makes 2-pt dunk at rim (assist by J. Wall),0,4
6,1,10:33.0,P. Gasol makes 2-pt jump shot from 9 ft,,2,4
7,1,10:33.0,Shooting foul by J. Wall (drawn by P. Gasol),,2,4
8,1,10:33.0,P. Gasol makes free throw 1 of 1,,3,4
9,1,10:18.0,,Personal foul by J. Noah (drawn by K. Humphries),3,4
10,1,10:05.0,,M. Gortat misses 2-pt jump shot from 17 ft,3,4
11,1,10:03.0,Defensive rebound by M. Dunleavy,,3,4
12,1,9:52.0,M. Dunleavy misses 3-pt jump shot from 27 ft,,3,4
13,1,9:49.0,,Defensive rebound by Team,3,4
14,1,9:33.0,,M. Gortat makes 2-pt layup from 1 ft (assist by B. Beal),3,6
15,1,9:13.0,J. Butler misses 3-pt jump shot from 26 ft,,3,6
16,1,9:11.0,,Defensive rebound by M. Gortat,3,6
17,1,9:02.0,,M. Gortat misses 2-pt jump shot from 12 ft,3,6
18,1,9:00.0,Defensive rebound by J. Noah,,3,6
19,1,8:55.0,D. Rose makes 2-pt layup from 1 ft,,5,6
20,1,8:48.0,,K. Humphries misses 2-pt jump shot from 7 ft,5,6
21,1,8:46.0,Defensive rebound by J. Noah,,5,6
22,1,8:42.0,J. Butler makes 2-pt jump shot from 21 ft (assist by J. Noah),,7,6
23,1,8:22.0,,P. Pierce makes 2-pt layup from 2 ft (assist by K. Humphries),7,8
24,1,8:04.0,J. Noah makes 2-pt jump shot from 6 ft,,9,8
25,1,7:47.0,,B. Beal misses 2-pt layup from 1 ft (block by P. Gasol),9,8
26,1,7:46.0,Defensive rebound by P. Gasol,,9,8
27,1,7:39.0,J. Butler makes 3-pt jump shot from 26 ft (assist by D. Rose),,12,8
28,1,7:21.0,,K. Humphries misses 2-pt jump shot from 18 ft,12,8
29,1,7:20.0,Defensive rebound by P. Gasol,,12,8
30,1,7:07.0,P. Gasol makes 2-pt dunk at rim (assist by J. Butler),,14,8
31,1,6:55.0,,Turnover by J. Wall (bad pass; steal by D. Rose),14,8
32,1,6:38.0,D. Rose misses 2-pt jump shot from 19 ft,,14,8
33,1,6:37.0,,Defensive rebound by P. Pierce,14,8
34,1,6:25.0,,K. Humphries misses 2-pt jump shot from 15 ft,14,8
35,1,6:24.0,,Offensive rebound by M. Gortat,14,8
36,1,6:20.0,,M. Gortat makes 2-pt hook shot from 9 ft,14,10
37,1,5:56.0,P. Gasol misses 2-pt jump shot from 15 ft (block by M. Gortat),,14,10
