,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MEMPHIS_ACTION,HOUSTON_SCORE,MEMPHIS_SCORE
0,1,11:35.0,,T. Allen misses 2-pt jump shot from 20 ft,0,0
1,1,11:34.0,Defensive rebound by J. Harden,,0,0
2,1,11:17.0,D. Motiejūnas makes 2-pt hook shot from 5 ft (assist by T. Ariza),,2,0
3,1,10:59.0,,M. Gasol misses 2-pt layup from 2 ft,2,0
4,1,10:59.0,Defensive rebound by D. Howard,,2,0
5,1,10:57.0,Turnover by D. Howard (bad pass; steal by T. Allen),,2,0
6,1,10:55.0,,M. Gasol makes 2-pt layup at rim (assist by T. Allen),2,2
7,1,10:55.0,,Shooting foul by D. Howard (drawn by M. Gasol),2,2
8,1,10:55.0,,M. Gasol makes free throw 1 of 1,2,3
9,1,10:42.0,T. Ariza misses 3-pt jump shot from 25 ft,,2,3
10,1,10:41.0,,Defensive rebound by M. Conley,2,3
11,1,10:30.0,,J. Leuer makes 2-pt layup at rim (assist by T. Allen),2,5
12,1,10:15.0,Def 3 sec tech foul by T. Allen,,2,5
13,1,10:15.0,J. Harden makes technical free throw,,3,5
14,1,10:09.0,Turnover by J. Harden (bad pass; steal by T. Allen),,3,5
15,1,9:58.0,,M. Gasol misses 2-pt jump shot from 20 ft,3,5
16,1,9:57.0,Defensive rebound by T. Ariza,,3,5
17,1,9:43.0,D. Howard misses 2-pt jump shot from 9 ft (block by M. Gasol),,3,5
18,1,9:42.0,,Defensive rebound by M. Gasol,3,5
19,1,9:36.0,,T. Allen makes 2-pt layup at rim (assist by C. Lee),3,7
20,1,9:11.0,J. Harden misses 2-pt jump shot from 16 ft,,3,7
21,1,9:11.0,,Defensive rebound by Team,3,7
22,1,9:11.0,Loose ball foul by D. Howard (drawn by M. Gasol),,3,7
23,1,9:11.0,Technical foul by D. Howard,,3,7
24,1,9:11.0,J. Smith enters the game for D. Howard,,3,7
25,1,9:11.0,,C. Lee makes technical free throw,3,8
26,1,8:50.0,,M. Gasol misses 2-pt jump shot from 6 ft,3,8
27,1,8:49.0,Defensive rebound by T. Ariza,,3,8
28,1,8:42.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by J. Harden),,6,8
29,1,8:31.0,,M. Gasol makes 2-pt layup at rim (assist by M. Conley),6,10
30,1,8:22.0,J. Harden misses 3-pt jump shot from 25 ft,,6,10
31,1,8:21.0,,Defensive rebound by C. Lee,6,10
32,1,8:10.0,,M. Gasol makes 2-pt jump shot from 16 ft (assist by C. Lee),6,12
33,1,7:54.0,J. Smith misses 2-pt layup from 2 ft,,6,12
34,1,7:51.0,,Defensive rebound by J. Leuer,6,12
35,1,7:40.0,,T. Allen misses 2-pt layup from 2 ft,6,12
36,1,7:37.0,Defensive rebound by D. Motiejūnas,,6,12
37,1,7:33.0,J. Harden makes 2-pt layup at rim,,8,12
38,1,7:12.0,,Shooting foul by D. Motiejūnas (drawn by M. Gasol),8,12
39,1,7:12.0,,M. Gasol makes free throw 1 of 2,8,13
40,1,7:12.0,,M. Gasol makes free throw 2 of 2,8,14
41,1,6:59.0,T. Ariza makes 2-pt layup from 1 ft,,10,14
42,1,6:43.0,,M. Conley misses 3-pt jump shot from 25 ft,10,14
43,1,6:42.0,Defensive rebound by T. Ariza,,10,14
44,1,6:35.0,J. Smith makes 2-pt jump shot from 9 ft (assist by P. Beverley),,12,14
45,1,6:21.0,,Turnover by C. Lee (lost ball),12,14
46,1,6:21.0,,Loose ball foul by C. Lee (drawn by T. Ariza),12,14
47,1,6:08.0,J. Smith misses 2-pt jump shot from 19 ft,,12,14
48,1,6:08.0,,Defensive rebound by M. Gasol,12,14
49,1,6:01.0,,J. Leuer makes 2-pt layup from 1 ft (assist by T. Allen),12,16
50,1,5:59.0,Houston full timeout,,12,16
51,1,5:45.0,J. Smith makes 2-pt dunk at rim (assist by J. Harden),,14,16
52,1,5:29.0,,M. Gasol misses 2-pt jump shot from 9 ft,14,16
53,1,5:27.0,,Offensive rebound by T. Allen,14,16
54,1,5:27.0,,T. Allen misses 2-pt tip-in from 1 ft,14,16
55,1,5:27.0,Defensive rebound by Team,,14,16
56,1,5:14.0,P. Beverley misses 3-pt jump shot from 25 ft,,14,16
57,1,5:13.0,,Defensive rebound by M. Gasol,14,16
58,1,5:05.0,Violation by P. Beverley (kicked ball),,14,16
59,1,5:05.0,,T. Prince enters the game for J. Leuer,14,16
60,1,5:02.0,,C. Lee makes 3-pt jump shot from 24 ft (assist by M. Gasol),14,19
61,1,4:45.0,P. Beverley makes 2-pt layup from 1 ft,,16,19
