,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,NEW ORLEANS_ACTION,OKLAHOMA CITY_SCORE,NEW ORLEANS_SCORE
0,1,11:48.0,K. Durant misses 2-pt jump shot from 16 ft,,0,0
1,1,11:47.0,,Defensive rebound by A. Davis,0,0
2,1,11:30.0,,A. Davis misses 2-pt layup from 2 ft,0,0
3,1,11:29.0,,Offensive rebound by Ö. Aşık,0,0
4,1,11:27.0,,Ö. Aşık misses 2-pt layup from 2 ft (block by S. Ibaka),0,0
5,1,11:25.0,Defensive rebound by K. Durant,,0,0
6,1,11:17.0,S. Adams makes 2-pt layup from 2 ft,,2,0
7,1,11:17.0,Shooting foul by Ö. Aşık (drawn by S. Adams),,2,0
8,1,11:17.0,S. Adams misses free throw 1 of 1,,2,0
9,1,11:17.0,,Defensive rebound by A. Davis,2,0
10,1,11:01.0,,Turnover by T. Evans (bad pass; steal by S. Adams),2,0
11,1,10:57.0,Shooting foul by L. Babbitt (drawn by K. Durant),,2,0
12,1,10:57.0,K. Durant misses free throw 1 of 2,,2,0
13,1,10:57.0,Offensive rebound by Team,,2,0
14,1,10:57.0,K. Durant makes free throw 2 of 2,,3,0
15,1,10:35.0,,A. Davis misses 2-pt jump shot from 16 ft,3,0
16,1,10:34.0,Defensive rebound by S. Ibaka,,3,0
17,1,10:28.0,K. Durant makes 3-pt jump shot from 23 ft (assist by S. Adams),,6,0
18,1,10:16.0,,Turnover by L. Babbitt (step out of bounds),6,0
19,1,10:03.0,Turnover by K. Durant (bad pass; steal by A. Davis),,6,0
20,1,9:57.0,,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),6,2
21,1,9:42.0,S. Ibaka makes 2-pt jump shot from 10 ft (assist by R. Westbrook),,8,2
22,1,9:25.0,,L. Babbitt misses 2-pt jump shot from 4 ft,8,2
23,1,9:24.0,,Offensive rebound by Ö. Aşık,8,2
24,1,9:15.0,,T. Evans makes 2-pt layup from 2 ft (assist by L. Babbitt),8,4
25,1,9:00.0,S. Ibaka misses 2-pt jump shot from 16 ft,,8,4
26,1,8:59.0,,Defensive rebound by Ö. Aşık,8,4
27,1,8:53.0,,J. Holiday makes 2-pt layup from 2 ft (assist by T. Evans),8,6
28,1,8:33.0,S. Ibaka makes 2-pt dunk at rim,,10,6
29,1,8:20.0,,Shooting foul by S. Ibaka (drawn by Ö. Aşık),10,6
30,1,8:20.0,,Ö. Aşık misses free throw 1 of 2,10,6
31,1,8:20.0,,Offensive rebound by Team,10,6
32,1,8:20.0,Violation by R. Westbrook (lane),,10,6
33,1,8:20.0,,Ö. Aşık misses free throw 2 of 2,10,6
34,1,8:19.0,,Offensive rebound by Team,10,6
35,1,8:06.0,,T. Evans misses 2-pt layup from 1 ft,10,6
36,1,8:05.0,,Offensive rebound by T. Evans,10,6
37,1,8:03.0,,T. Evans misses 2-pt layup from 1 ft (block by S. Ibaka),10,6
38,1,8:00.0,Defensive rebound by A. Roberson,,10,6
39,1,7:56.0,R. Westbrook misses 2-pt jump shot from 7 ft,,10,6
40,1,7:54.0,,Defensive rebound by L. Babbitt,10,6
41,1,7:45.0,,L. Babbitt misses 3-pt jump shot from 27 ft,10,6
42,1,7:43.0,Defensive rebound by R. Westbrook,,10,6
43,1,7:30.0,R. Westbrook misses 2-pt jump shot from 14 ft,,10,6
44,1,7:29.0,,Defensive rebound by A. Davis,10,6
45,1,7:22.0,,Personal foul by A. Roberson (drawn by T. Evans),10,6
46,1,7:16.0,,Turnover by T. Evans (bad pass),10,6
47,1,7:05.0,K. Durant makes 2-pt jump shot from 16 ft (assist by R. Westbrook),,12,6
48,1,6:46.0,,A. Davis misses 2-pt jump shot from 8 ft,12,6
49,1,6:45.0,Defensive rebound by Team,,12,6
50,1,6:30.0,S. Adams misses 2-pt layup from 2 ft,,12,6
51,1,6:29.0,Offensive rebound by R. Westbrook,,12,6
52,1,6:21.0,R. Westbrook misses 2-pt jump shot from 4 ft (block by L. Babbitt),,12,6
53,1,6:20.0,,Defensive rebound by A. Davis,12,6
54,1,6:12.0,,L. Babbitt misses 3-pt jump shot from 23 ft,12,6
55,1,6:11.0,Defensive rebound by S. Adams,,12,6
56,1,6:02.0,A. Roberson misses 2-pt layup from 2 ft (block by Ö. Aşık),,12,6
57,1,6:01.0,,Defensive rebound by L. Babbitt,12,6
58,1,5:47.0,,A. Davis makes 2-pt jump shot from 18 ft (assist by J. Holiday),12,8
59,1,5:30.0,Shooting foul by A. Davis (drawn by K. Durant),,12,8
60,1,5:30.0,,New Orleans full timeout,12,8
61,1,5:30.0,R. Jackson enters the game for A. Roberson,,12,8
62,1,5:30.0,K. Durant makes free throw 1 of 2,,13,8
63,1,5:30.0,K. Durant makes free throw 2 of 2,,14,8
64,1,5:15.0,,T. Evans misses 2-pt jump shot from 14 ft,14,8
65,1,5:14.0,,Offensive rebound by Ö. Aşık,14,8
66,1,5:02.0,,A. Davis makes 2-pt jump shot from 19 ft (assist by J. Holiday),14,10
67,1,4:44.0,S. Ibaka misses 3-pt jump shot from 25 ft,,14,10
68,1,4:42.0,,Defensive rebound by J. Holiday,14,10
69,1,4:39.0,,Personal foul by S. Ibaka (drawn by A. Davis),14,10
70,1,4:39.0,,R. Anderson enters the game for Ö. Aşık,14,10
71,1,4:39.0,K. Perkins enters the game for S. Adams,,14,10
72,1,4:39.0,N. Collison enters the game for S. Ibaka,,14,10
73,1,4:39.0,A. Morrow enters the game for K. Durant,,14,10
74,1,4:27.0,,J. Holiday misses 2-pt jump shot from 5 ft,14,10
75,1,4:26.0,,Offensive rebound by A. Davis,14,10
76,1,4:26.0,,A. Davis makes 2-pt layup from 2 ft,14,12
77,1,4:26.0,,Shooting foul by N. Collison (drawn by A. Davis),14,12
78,1,4:26.0,,A. Davis makes free throw 1 of 1,14,13
79,1,4:11.0,R. Westbrook misses 3-pt jump shot from 25 ft,,14,13
80,1,4:09.0,Offensive rebound by K. Perkins,,14,13
81,1,4:05.0,R. Jackson misses 3-pt jump shot from 24 ft,,14,13
82,1,4:04.0,,Defensive rebound by A. Davis,14,13
83,1,3:56.0,,Shooting foul by A. Morrow (drawn by A. Davis),14,13
84,1,3:56.0,,A. Davis makes free throw 1 of 2,14,14
85,1,3:56.0,,J. Salmons enters the game for L. Babbitt,14,14
86,1,3:56.0,,A. Davis misses free throw 2 of 2,14,14
87,1,3:55.0,Defensive rebound by R. Jackson,,14,14
88,1,3:46.0,R. Westbrook misses 2-pt layup from 2 ft (block by J. Holiday),,14,14
89,1,3:45.0,Offensive rebound by K. Perkins,,14,14
90,1,3:44.0,K. Perkins makes 2-pt dunk at rim,,16,14
91,1,3:43.0,Technical foul by R. Westbrook,,16,14
92,1,3:43.0,,A. Davis makes technical free throw,16,15
93,1,3:33.0,,R. Anderson makes 2-pt dunk at rim (assist by T. Evans),16,17
94,1,3:15.0,N. Collison makes 2-pt layup from 2 ft (assist by R. Westbrook),,18,17
95,1,3:09.0,,Shooting foul by R. Jackson (drawn by J. Holiday),18,17
96,1,3:09.0,,J. Holiday makes free throw 1 of 2,18,18
97,1,3:09.0,J. Lamb enters the game for R. Westbrook,,18,18
98,1,3:09.0,,J. Holiday makes free throw 2 of 2,18,19
99,1,2:54.0,K. Perkins misses 2-pt jump shot from 6 ft (block by A. Davis),,18,19
100,1,2:54.0,Offensive rebound by Team,,18,19
101,1,2:54.0,Oklahoma City full timeout,,18,19
102,1,2:44.0,J. Lamb makes 2-pt jump shot from 16 ft,,20,19
103,1,2:25.0,,Shooting foul by K. Perkins (drawn by A. Davis),20,19
104,1,2:25.0,,A. Davis misses free throw 1 of 2,20,19
105,1,2:25.0,,Offensive rebound by Team,20,19
106,1,2:25.0,,A. Rivers enters the game for J. Holiday,20,19
107,1,2:25.0,,A. Davis misses free throw 2 of 2,20,19
108,1,2:23.0,,Offensive rebound by R. Anderson,20,19
109,1,2:18.0,,T. Evans makes 2-pt layup from 1 ft,20,21
110,1,2:00.0,K. Perkins misses 2-pt jump shot from 3 ft,,20,21
111,1,1:59.0,,Defensive rebound by T. Evans,20,21
112,1,1:53.0,,T. Evans makes 2-pt layup from 2 ft,20,23
113,1,1:35.0,N. Collison misses 3-pt jump shot from 22 ft,,20,23
114,1,1:33.0,,Defensive rebound by J. Salmons,20,23
115,1,1:24.0,,A. Rivers makes 3-pt jump shot from 23 ft (assist by T. Evans),20,26
116,1,1:02.0,Shooting foul by A. Rivers (drawn by R. Jackson),,20,26
117,1,1:02.0,R. Jackson makes free throw 1 of 2,,21,26
118,1,1:02.0,,J. Fredette enters the game for T. Evans,21,26
119,1,1:02.0,,A. Ajinça enters the game for A. Davis,21,26
120,1,1:02.0,R. Jackson makes free throw 2 of 2,,22,26
121,1,0:53.0,,Personal foul by A. Morrow (drawn by J. Salmons),22,26
122,1,0:53.0,,J. Salmons misses free throw 1 of 2,22,26
123,1,0:53.0,,Offensive rebound by Team,22,26
124,1,0:53.0,,J. Salmons misses free throw 2 of 2,22,26
125,1,0:52.0,Defensive rebound by J. Lamb,,22,26
126,1,0:39.0,R. Jackson makes 2-pt jump shot from 16 ft,,24,26
127,1,0:27.0,,Shooting foul by N. Collison (drawn by R. Anderson),24,26
128,1,0:27.0,,R. Anderson makes free throw 1 of 2,24,27
129,1,0:27.0,,R. Anderson makes free throw 2 of 2,24,28
130,1,0:06.0,R. Jackson makes 2-pt layup from 2 ft,,26,28
131,1,0:01.0,,Shooting block foul by N. Collison (drawn by A. Rivers),26,28
132,1,0:01.0,,A. Rivers makes free throw 1 of 2,26,29
133,1,0:01.0,,A. Rivers misses free throw 2 of 2,26,29
134,1,0:00.0,Defensive rebound by K. Perkins,,26,29
135,2,11:43.0,,R. Anderson makes 2-pt layup from 1 ft,26,31
