,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,GOLDEN STATE_ACTION,NEW ORLEANS_SCORE,GOLDEN STATE_SCORE
0,1,11:48.0,Turnover by A. Davis (lost ball; steal by D. Green),,0,0
1,1,11:30.0,,Turnover by K. Thompson (lost ball; steal by Q. Pondexter),0,0
2,1,11:25.0,Q. Pondexter makes 2-pt layup from 2 ft (assist by A. Davis),,2,0
3,1,10:54.0,,S. Curry misses 3-pt jump shot from 29 ft,2,0
4,1,10:53.0,Defensive rebound by Ö. Aşık,,2,0
5,1,10:37.0,A. Davis makes 2-pt jump shot from 16 ft,,4,0
6,1,10:26.0,,S. Curry makes 2-pt jump shot from 16 ft (assist by D. Green),4,2
7,1,10:11.0,Turnover by E. Gordon (bad pass; steal by K. Thompson),,4,2
8,1,9:58.0,,Turnover by S. Curry (step out of bounds),4,2
9,1,9:44.0,E. Gordon misses 2-pt hook shot from 3 ft,,4,2
10,1,9:43.0,Offensive rebound by Ö. Aşık,,4,2
11,1,9:43.0,Ö. Aşık misses 2-pt tip-in from 1 ft,,4,2
12,1,9:40.0,,Defensive rebound by H. Barnes,4,2
13,1,9:28.0,,H. Barnes makes 3-pt jump shot from 27 ft (assist by A. Bogut),4,5
14,1,9:01.0,Q. Pondexter misses 3-pt jump shot from 25 ft,,4,5
15,1,9:00.0,,Defensive rebound by A. Bogut,4,5
16,1,8:50.0,,A. Bogut makes 2-pt dunk at rim (assist by K. Thompson),4,7
17,1,8:33.0,A. Davis misses 3-pt jump shot from 28 ft,,4,7
18,1,8:32.0,,Defensive rebound by H. Barnes,4,7
19,1,8:25.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by H. Barnes),4,10
20,1,8:25.0,New Orleans full timeout,,4,10
21,1,8:06.0,A. Davis misses 2-pt jump shot from 7 ft (block by K. Thompson),,4,10
22,1,8:04.0,,Defensive rebound by A. Bogut,4,10
23,1,7:54.0,,S. Curry misses 3-pt jump shot from 25 ft,4,10
24,1,7:52.0,Defensive rebound by Ö. Aşık,,4,10
25,1,7:47.0,Shooting foul by K. Thompson (drawn by T. Evans),,4,10
26,1,7:47.0,T. Evans makes free throw 1 of 2,,5,10
27,1,7:47.0,T. Evans misses free throw 2 of 2,,5,10
28,1,7:46.0,,Defensive rebound by D. Green,5,10
29,1,7:36.0,,K. Thompson misses 2-pt jump shot from 9 ft,5,10
30,1,7:35.0,Defensive rebound by E. Gordon,,5,10
31,1,7:17.0,Q. Pondexter misses 3-pt jump shot from 23 ft,,5,10
32,1,7:16.0,,Defensive rebound by S. Curry,5,10
33,1,7:10.0,,S. Curry makes 2-pt layup from 3 ft,5,12
34,1,6:50.0,E. Gordon misses 3-pt jump shot from 25 ft (block by K. Thompson),,5,12
35,1,6:48.0,,Defensive rebound by D. Green,5,12
36,1,6:38.0,,K. Thompson misses 2-pt jump shot from 7 ft,5,12
37,1,6:37.0,,Offensive rebound by A. Bogut,5,12
38,1,6:37.0,,A. Bogut makes 2-pt tip-in from 1 ft,5,14
39,1,6:20.0,Personal foul by S. Curry (drawn by Q. Pondexter),,5,14
40,1,6:20.0,,A. Iguodala enters the game for H. Barnes,5,14
41,1,6:06.0,E. Gordon makes 3-pt jump shot from 27 ft,,8,14
42,1,5:46.0,,Personal foul by Q. Pondexter (drawn by S. Curry),8,14
43,1,5:37.0,,S. Curry misses 3-pt jump shot from 26 ft,8,14
44,1,5:36.0,Defensive rebound by Ö. Aşık,,8,14
45,1,5:26.0,T. Evans misses 2-pt jump shot from 21 ft,,8,14
46,1,5:25.0,,Defensive rebound by Team,8,14
47,1,5:11.0,,S. Curry makes 2-pt layup from 2 ft,8,16
